sample,substance,median_over_ink,control_median,contrast,fold_over_control,control_SD,SNR_contrast_over_SD,threshold_3SD,pct_pixels_above_3SD,n_pixels
leaf_dq,DQ,0.7610,0.2486,0.5124,3.06,0.1116,4.59,0.6103,83,100
leaf_tb1,DQ,0.8456,0.2486,0.5970,3.40,0.1116,5.35,0.6103,76,100
leaf_thi2,DQ,0.3679,0.2486,0.1194,1.48,0.1116,1.07,0.6103,2,100
cov3,DQ,0.2486,0.2486,0.0000,1.00,0.1116,0.00,0.6103,4,100
leavesmix,DQ,0.6284,0.2486,0.3798,2.53,0.1116,3.40,0.6103,53,400
leavesmix2peel,DQ,0.4645,0.2486,0.2159,1.87,0.1116,1.93,0.6103,10,400
leavesmix2peel2,DQ,0.3662,0.2486,0.1176,1.47,0.1116,1.05,0.6103,19,100
leaf_dq,TBZ,0.3263,0.1806,0.1458,1.81,0.0732,1.99,0.4143,31,100
leaf_tb1,TBZ,0.6347,0.1806,0.4541,3.51,0.0732,6.21,0.4143,94,100
leaf_thi2,TBZ,0.2046,0.1806,0.0240,1.13,0.0732,0.33,0.4143,2,100
cov3,TBZ,0.1806,0.1806,0.0000,1.00,0.0732,0.00,0.4143,2,100
leavesmix,TBZ,0.3965,0.1806,0.2159,2.20,0.0732,2.95,0.4143,43,400
leavesmix2peel,TBZ,0.3962,0.1806,0.2157,2.19,0.0732,2.95,0.4143,36,400
leavesmix2peel2,TBZ,0.3003,0.1806,0.1198,1.66,0.0732,1.64,0.4143,22,100
leaf_dq,THI,0.2536,0.1422,0.1114,1.78,0.0610,1.83,0.3372,30,100
leaf_tb1,THI,0.4284,0.1422,0.2862,3.01,0.0610,4.69,0.3372,80,100
leaf_thi2,THI,0.4249,0.1422,0.2827,2.99,0.0610,4.63,0.3372,71,100
cov3,THI,0.1422,0.1422,0.0000,1.00,0.0610,0.00,0.3372,3,100
leavesmix,THI,0.5747,0.1422,0.4325,4.04,0.0610,7.09,0.3372,81,400
leavesmix2peel,THI,0.3352,0.1422,0.1930,2.36,0.0610,3.16,0.3372,48,400
leavesmix2peel2,THI,0.2555,0.1422,0.1133,1.80,0.0610,1.86,0.3372,29,100
