sample,row,col,x_um,y_um,ink2137,DQ_1179,DQ_1521,DQ_1576,DQ,DQ_over_ink,TBZ_779,TBZ_1011,TBZ_1549,TBZ,TBZ_over_ink,THI_556,THI_1138,THI_1365,THI,THI_over_ink
leaf_dq,9,0,0,450,15562.9,7150.34,12408,25134,14897.4,0.957241,4319.47,1554.67,10902,5592.04,0.359318,2918.84,4332.76,6117.39,4456.33,0.286343
leaf_dq,9,1,50,450,17643.4,9963.03,19896.9,28940.2,19600,1.1109,3933.23,2414.77,18957.5,8435.16,0.478092,7945.73,9276.19,6089.67,7770.53,0.440422
leaf_dq,9,2,100,450,56715.7,15586.4,23392.7,55225.5,31401.5,0.553665,7030.6,3837.78,15442.3,8770.23,0.154635,5138.19,3213.82,8227.03,5526.35,0.0974394
leaf_dq,9,3,150,450,39596.3,13666.8,17165.8,47056.5,25963,0.655693,4992.52,3822.25,14501.7,7772.16,0.196285,4391.1,3809.17,6218.2,4806.16,0.121379
leaf_dq,9,4,200,450,82335.6,21731.3,30954.4,84096.4,45594,0.553758,8833.89,5198.62,15455.6,9829.37,0.119382,4892.72,1235.84,10983.8,5704.12,0.0692789
leaf_dq,9,5,250,450,43600.7,18683.8,16559.5,45320.6,26854.6,0.615921,5670.06,5565.88,13629.6,8288.51,0.1901,3060.51,13581.7,8978.25,8540.15,0.195872
leaf_dq,9,6,300,450,27879.6,6825.65,11268.5,26340.1,14811.4,0.531264,3943.13,3304.96,9865.53,5704.54,0.204614,4635.92,2780.6,6051.77,4489.43,0.161029
leaf_dq,9,7,350,450,30572.2,8853.33,15514.1,36015.4,20127.6,0.658364,4787.12,1286.11,14175.2,6749.47,0.220772,4168.79,2866.27,8812.2,5282.42,0.172785
leaf_dq,9,8,400,450,54805.8,14294.3,19521.7,48885.1,27567,0.502994,6196.08,3729.44,13646.7,7857.41,0.143368,4747.91,3033.11,7229.27,5003.43,0.0912938
leaf_dq,9,9,450,450,16718.3,4541.02,8367.76,16421.3,9776.7,0.584791,3357.77,2002.57,8664.36,4674.9,0.279628,3413.17,3883.37,4217.76,3838.1,0.229575
leaf_dq,8,9,450,400,14291.8,7703.07,9163.34,17375.1,11413.8,0.798628,2938.92,2373.37,10056.7,5123.01,0.358458,4789.24,5756.46,4512.15,5019.28,0.3512
