wavenumber_cm-1,leaf_dq_median,leaf_dq_q25,leaf_dq_q75,leaf_dq_median_over_ink,leaf_dq_minus_control,leaf_tb1_median,leaf_tb1_q25,leaf_tb1_q75,leaf_tb1_median_over_ink,leaf_tb1_minus_control,leaf_thi2_median,leaf_thi2_q25,leaf_thi2_q75,leaf_thi2_median_over_ink,leaf_thi2_minus_control,cov3_median,cov3_q25,cov3_q75,cov3_median_over_ink,cov3_minus_control,leavesmix_median,leavesmix_q25,leavesmix_q75,leavesmix_median_over_ink,leavesmix_minus_control,leavesmix2peel_median,leavesmix2peel_q25,leavesmix2peel_q75,leavesmix2peel_median_over_ink,leavesmix2peel_minus_control,leavesmix2peel2_median,leavesmix2peel2_q25,leavesmix2peel2_q75,leavesmix2peel2_median_over_ink,leavesmix2peel2_minus_control
100.00,-110.27,-140.944,-67.1162,-0.0061781,-0.00985232,-71.4132,-115.828,-41.6589,-0.00341177,-0.00708599,-29.6722,-77.261,7.32244,-0.00194291,-0.00561713,73.3977,37.9008,113.302,0.00367422,0,-89.9682,-147.197,-39.6571,-0.00808933,-0.0117635,-54.6723,-79.9124,-23.5913,-0.00663837,-0.0103126,-57.5048,-102.764,-21.75,-0.00416794,-0.00784216
101.55,-55.2856,-98.6766,-24.4579,-0.00309748,-0.00213502,-63.0324,-85.5773,-38.2826,-0.00301138,-0.00204892,-42.2301,-67.0748,-9.58062,-0.00276519,-0.00180273,-19.2265,-48.9251,0.0784135,-0.000962458,0,-61.8761,-109.034,-25.8611,-0.00556348,-0.00460102,-78.7645,-105.231,-58.963,-0.00956367,-0.00860121,18.5042,-18.2554,71.659,0.00134118,0.00230364
103.10,-29.1169,-57.3453,-1.58406,-0.00163133,-0.00252584,-41.3383,-61.7406,-20.846,-0.00197494,-0.00286945,-21.0185,-47.8891,-0.76119,-0.00137628,-0.00227078,17.8691,-5.11019,49.5969,0.000894508,0,-64.5036,-91.7332,-33.3693,-0.00579972,-0.00669423,-38.7882,-59.3604,-20.3198,-0.0047097,-0.00560421,125.534,84.871,163.334,0.00909866,0.00820416
104.65,0.921703,-32.2347,33.3434,5.16402e-05,-0.00450853,-17.4084,-47.6668,29.1006,-0.000831686,-0.00539185,6.69777,-21.4353,39.0953,0.000438564,-0.0041216,91.0959,59.1583,139.971,0.00456017,0,-49.0219,-80.2532,-24.9121,-0.00440772,-0.00896788,35.2448,-0.330016,64.6494,0.00427946,-0.000280704,225.929,178.059,282.747,0.0163753,0.0118151
106.20,64.6702,33.0516,100.863,0.00362327,0.000331666,68.9363,26.0196,111.016,0.00329344,1.83018e-06,19.4987,-0.46405,45.7488,0.00127676,-0.00201485,65.7546,32.2105,102.771,0.00329161,0,26.1538,-7.02951,65.5762,0.00235158,-0.00094003,105.021,70.6648,141.702,0.0127518,0.00946019,255.492,200.799,306.652,0.018518,0.0152264
107.75,93.3809,57.8971,128.688,0.00523184,0.00359279,106.585,67.0697,165.572,0.0050921,0.00345305,3.64399,-18.0206,29.7847,0.000238605,-0.00140045,32.7424,1.56661,63.353,0.00163905,0,100.836,67.3359,140.168,0.00906645,0.0074274,126.801,93.9662,166.065,0.0153964,0.0137573,221.949,164.628,289.76,0.0160869,0.0144478
109.30,97.5874,63.1684,163.396,0.00546752,0.00383389,155.366,104.276,203.969,0.00742263,0.00578901,6.73869,-27.2527,44.5566,0.000441243,-0.00119238,32.634,6.91633,76.4373,0.00163362,0,146.883,93.2815,198.349,0.0132067,0.0115731,143.111,104.433,188.447,0.0173767,0.0157431,189.101,135.192,280.977,0.013706,0.0120724
110.85,152.829,98.9441,213.833,0.00856252,0.001986,209.696,142.162,284.671,0.0100183,0.00344175,98.6231,65.5087,153.652,0.00645775,-0.000118759,131.375,105.672,191.385,0.00657651,0,94.2212,30.2179,168.223,0.00847173,0.00189522,200.402,162.719,248.053,0.0243331,0.0177566,268.674,186.751,358.81,0.0194734,0.0128969
112.40,167.692,102.801,230.331,0.00939526,0.0021568,260.173,179.879,321.917,0.0124298,0.00519135,93.228,61.1707,135.48,0.00610449,-0.00113397,144.598,104.59,182.347,0.00723845,0,135.606,69.7142,227.044,0.0121928,0.00495431,190.299,152.675,244.763,0.0231064,0.0158679,326.257,248.15,402.688,0.0236471,0.0164086
113.95,191.748,110.407,268.073,0.010743,0.004518,295.331,213.968,381.455,0.0141095,0.00788441,86.347,38.8481,125.202,0.00565393,-0.000571122,124.354,83.9478,151.995,0.00622505,0,201.113,113.638,309.68,0.0180827,0.0118577,185.74,143.209,245.722,0.0225527,0.0163277,363.191,303.982,447.405,0.0263241,0.020099
115.50,255.872,195.175,384.018,0.0143357,0.00789782,327.512,257.599,425.468,0.0156469,0.00920903,124.033,75.1327,183.72,0.00812157,0.00168369,128.606,73.8354,165.807,0.00643788,0,213.471,106.677,341.145,0.0191938,0.012756,244.209,197.967,312.151,0.0296521,0.0232142,386.016,302.408,496.254,0.0279784,0.0215405
117.05,292.821,208.536,398.796,0.0164059,0.00862233,361.348,300.421,425.755,0.0172634,0.00947989,161.707,119.466,211.352,0.0105884,0.00280491,155.487,105.053,211.399,0.00778352,0,305.063,185.694,434.816,0.0274292,0.0196457,184.381,138.039,252.748,0.0223878,0.0146042,414.849,313.822,531.249,0.0300682,0.0222847
118.60,327.089,206.765,411.926,0.0183258,0.00876707,418.272,361.079,474.206,0.019983,0.0104243,182.775,120.569,242.033,0.0119679,0.00240924,190.948,139.553,252.331,0.00955869,0,390.518,262.686,528.733,0.0351128,0.0255541,143.961,92.8003,220.794,0.0174799,0.00792117,439.052,331.089,544.741,0.0318224,0.0222637
120.15,353.654,231.997,505.278,0.0198142,0.00837151,551.203,466.269,635.126,0.0263338,0.0148911,150.97,102.04,219.868,0.00988538,-0.00155726,228.583,186.685,304.047,0.0114426,0,417.933,260.854,578.225,0.0375777,0.026135,214.78,156.78,312.131,0.0260788,0.0146362,481.211,341.574,594.347,0.0348781,0.0234355
