sample,readout,median,within_prep_SD,within_prep_CV_pct,p10,p90,n_pixels
leaf_dq,ink2137,17848.6,16173.4,65.5,12479.1,53097.7,100
leaf_dq,DQ,14854.4,8235.59,45.8,11068.1,28732.4,100
leaf_dq,TBZ,6278.04,2434.29,34.7,4947.43,9832.21,100
leaf_dq,THI,4793.14,1748.26,33.9,3513.05,7540.49,100
leaf_dq,DQ_over_ink,0.760986,0.226218,27.9,0.553297,1.11935,100
leaf_dq,TBZ_over_ink,0.32634,0.14763,42.5,0.171186,0.555325,100
leaf_dq,THI_over_ink,0.253643,0.13545,50.7,0.102279,0.456023,100
leaf_tb1,ink2137,20931.4,4803.46,22.8,15626.1,25752.8,100
leaf_tb1,DQ,18025.9,5575.75,33.9,6910.68,21891.9,100
leaf_tb1,TBZ,12812.7,5142.16,38.9,7619.36,17388.7,100
leaf_tb1,THI,8863.04,2755.65,33.2,3294.29,10929,100
leaf_tb1,DQ_over_ink,0.845627,0.234747,30.0,0.394451,1.05464,100
leaf_tb1,TBZ_over_ink,0.63468,0.145561,23.3,0.479586,0.775876,100
leaf_tb1,THI_over_ink,0.428367,0.121682,30.4,0.181615,0.526643,100
leaf_thi2,ink2137,15272,4694.47,29.1,11409.4,20574.9,100
leaf_thi2,DQ,5523.91,2570.57,42.5,3746.29,9848.91,100
leaf_thi2,TBZ,3155.88,1126.9,33.1,2353.77,4591.04,100
leaf_thi2,THI,6576.39,2729.3,38.9,4295.38,10253.6,100
leaf_thi2,DQ_over_ink,0.367933,0.125129,33.0,0.249427,0.508719,100
leaf_thi2,TBZ_over_ink,0.204577,0.0626619,28.8,0.153462,0.281405,100
leaf_thi2,THI_over_ink,0.424892,0.177451,39.0,0.248073,0.709782,100
cov3,ink2137,19976.4,5385.59,26.3,14722.9,27235.9,100
cov3,DQ,4872.26,2309.24,42.2,3466.86,8746.03,100
cov3,TBZ,3431.48,1359.07,35.5,2861.63,5135.01,100
cov3,THI,2725.48,1223.63,40.6,2260.61,3953.79,100
cov3,DQ_over_ink,0.248579,0.111617,40.5,0.184141,0.388568,100
cov3,TBZ_over_ink,0.180583,0.0731587,37.5,0.133745,0.250615,100
cov3,THI_over_ink,0.14221,0.0610132,39.6,0.0992071,0.204335,100
leavesmix,ink2137,11121.8,3929.08,32.9,8175.3,16734.4,400
leavesmix,DQ,7093.17,5044.45,62.2,2985.05,13370.8,400
leavesmix,TBZ,4684.22,2253.81,44.7,2700.33,7473.27,400
leavesmix,THI,6843.49,4887.2,62.4,2652.9,14993.2,400
leavesmix,DQ_over_ink,0.628367,0.23505,36.4,0.363824,0.915412,400
leavesmix,TBZ_over_ink,0.396484,0.119894,28.4,0.302003,0.568266,400
leavesmix,THI_over_ink,0.574711,0.308707,48.7,0.2927,1.08354,400
leavesmix2peel,ink2137,8235.8,1105.84,13.2,7146.73,9760.27,400
leavesmix2peel,DQ,3844.68,1045.67,26.7,2911.55,4633.77,400
leavesmix2peel,TBZ,3243.41,1061.72,31.3,2644.69,4096.66,400
leavesmix2peel,THI,2701.37,3734.77,96.9,2217.81,6494.15,400
leavesmix2peel,DQ_over_ink,0.464455,0.109781,23.3,0.350369,0.609562,400
leavesmix2peel,TBZ_over_ink,0.396243,0.0984429,24.2,0.30308,0.520085,400
leavesmix2peel,THI_over_ink,0.335239,0.366941,81.2,0.262127,0.727693,400
leavesmix2peel2,ink2137,13796.9,4977.09,33.0,11335.9,20177.9,100
leavesmix2peel2,DQ,4974.22,5232.38,74.4,3500.17,15913.9,100
leavesmix2peel2,TBZ,3925.62,4317.65,78.6,2995.63,10866.8,100
leavesmix2peel2,THI,3409.37,3942.75,77.8,2551.3,11754.5,100
leavesmix2peel2,DQ_over_ink,0.366224,0.198427,45.0,0.249399,0.737472,100
leavesmix2peel2,TBZ_over_ink,0.300338,0.134514,39.6,0.221162,0.526131,100
leavesmix2peel2,THI_over_ink,0.255547,0.155169,48.8,0.18905,0.523632,100
