fold_tolerance_x,Calibration inversion (Langmuir)_pct_within,PLS regression_pct_within,1D-CNN_pct_within,MLP-DL (ours)_pct_within
1.000,0.00,0.00,0.00,0.00
1.022,0.00,1.33,2.67,1.33
1.044,0.00,1.33,2.67,1.33
1.067,0.00,1.33,2.67,1.33
1.090,1.33,1.33,2.67,2.67
1.114,2.67,1.33,4.00,4.00
1.138,2.67,2.67,5.33,4.00
1.163,4.00,2.67,5.33,5.33
1.188,4.00,2.67,6.67,6.67
1.214,5.33,2.67,6.67,6.67
1.240,5.33,2.67,6.67,9.33
1.267,5.33,2.67,6.67,9.33
1.295,6.67,2.67,8.00,12.00
1.323,6.67,4.00,8.00,12.00
1.352,6.67,6.67,8.00,12.00
1.381,6.67,6.67,8.00,12.00
1.411,6.67,6.67,8.00,12.00
1.442,6.67,9.33,8.00,12.00
1.473,6.67,9.33,9.33,12.00
1.506,6.67,12.00,10.67,12.00
1.538,6.67,13.33,10.67,13.33
1.572,6.67,14.67,16.00,13.33
1.606,6.67,14.67,16.00,17.33
1.641,6.67,14.67,16.00,18.67
1.677,8.00,16.00,16.00,18.67
1.713,10.67,18.67,16.00,18.67
1.751,10.67,18.67,17.33,18.67
1.789,10.67,21.33,17.33,20.00
1.828,10.67,22.67,17.33,20.00
1.867,10.67,24.00,20.00,20.00
1.908,10.67,24.00,20.00,21.33
1.950,10.67,26.67,20.00,21.33
1.992,10.67,28.00,21.33,21.33
2.035,12.00,28.00,21.33,24.00
2.080,12.00,29.33,21.33,25.33
2.125,12.00,29.33,21.33,25.33
2.171,12.00,29.33,21.33,25.33
2.218,12.00,30.67,21.33,25.33
2.267,12.00,30.67,21.33,25.33
2.316,12.00,30.67,22.67,25.33
2.366,12.00,32.00,25.33,26.67
2.418,12.00,32.00,25.33,28.00
2.471,13.33,32.00,25.33,32.00
2.524,13.33,33.33,25.33,33.33
2.579,13.33,34.67,25.33,36.00
2.636,14.67,34.67,26.67,37.33
2.693,14.67,34.67,26.67,41.33
2.751,14.67,34.67,29.33,44.00
2.811,14.67,37.33,29.33,44.00
2.873,16.00,37.33,29.33,45.33
2.935,17.33,37.33,30.67,46.67
2.999,17.33,38.67,30.67,48.00
3.064,17.33,38.67,30.67,49.33
3.131,17.33,40.00,30.67,49.33
3.199,18.67,41.33,32.00,50.67
3.269,20.00,41.33,33.33,52.00
3.340,20.00,42.67,33.33,52.00
3.413,20.00,42.67,33.33,52.00
3.487,21.33,45.33,33.33,52.00
3.563,22.67,45.33,34.67,52.00
3.640,22.67,45.33,34.67,52.00
3.720,22.67,46.67,34.67,52.00
3.801,22.67,46.67,36.00,54.67
3.883,24.00,46.67,36.00,54.67
3.968,24.00,48.00,36.00,54.67
4.054,24.00,48.00,36.00,57.33
4.143,25.33,48.00,37.33,57.33
4.233,25.33,49.33,37.33,58.67
4.325,25.33,49.33,38.67,58.67
4.419,25.33,50.67,38.67,58.67
4.515,25.33,53.33,40.00,58.67
4.613,26.67,53.33,41.33,58.67
4.714,28.00,53.33,41.33,58.67
4.817,29.33,53.33,42.67,60.00
4.921,29.33,53.33,42.67,60.00
5.029,30.67,54.67,44.00,60.00
5.138,30.67,54.67,44.00,60.00
5.250,30.67,54.67,44.00,61.33
5.364,30.67,54.67,44.00,61.33
5.481,30.67,54.67,44.00,64.00
5.600,30.67,54.67,44.00,64.00
5.722,30.67,54.67,44.00,64.00
5.847,32.00,56.00,45.33,64.00
5.974,33.33,56.00,45.33,64.00
6.104,33.33,56.00,45.33,65.33
6.237,33.33,56.00,45.33,65.33
6.373,33.33,56.00,45.33,65.33
6.511,33.33,56.00,45.33,65.33
6.653,33.33,56.00,45.33,65.33
6.798,34.67,56.00,46.67,66.67
6.946,34.67,57.33,48.00,66.67
7.097,36.00,57.33,48.00,66.67
7.252,38.67,57.33,48.00,66.67
7.409,38.67,57.33,48.00,66.67
7.571,38.67,57.33,49.33,66.67
7.736,38.67,57.33,49.33,66.67
7.904,40.00,57.33,49.33,68.00
8.076,40.00,57.33,49.33,68.00
8.252,40.00,57.33,49.33,68.00
8.431,41.33,57.33,49.33,68.00
8.615,41.33,57.33,49.33,68.00
8.802,42.67,57.33,50.67,69.33
8.994,45.33,57.33,50.67,69.33
9.190,46.67,57.33,50.67,69.33
9.390,48.00,58.67,50.67,69.33
9.594,48.00,60.00,50.67,69.33
9.803,48.00,61.33,52.00,69.33
10.017,48.00,61.33,52.00,69.33
10.235,48.00,61.33,53.33,69.33
10.457,48.00,61.33,53.33,70.67
10.685,48.00,62.67,53.33,70.67
10.918,48.00,62.67,53.33,70.67
11.155,48.00,62.67,53.33,70.67
11.398,48.00,62.67,53.33,70.67
11.646,48.00,62.67,53.33,72.00
11.900,48.00,62.67,53.33,72.00
12.159,48.00,62.67,53.33,72.00
12.424,48.00,64.00,53.33,72.00
12.694,48.00,64.00,53.33,72.00
12.970,49.33,64.00,53.33,72.00
13.253,49.33,64.00,54.67,72.00
13.541,49.33,64.00,54.67,72.00
13.836,49.33,64.00,54.67,72.00
14.137,49.33,64.00,54.67,72.00
14.445,50.67,64.00,54.67,72.00
14.759,50.67,64.00,54.67,73.33
15.081,50.67,64.00,54.67,73.33
15.409,50.67,64.00,54.67,73.33
15.744,50.67,64.00,56.00,73.33
16.087,52.00,64.00,56.00,73.33
16.437,52.00,64.00,56.00,73.33
16.795,52.00,65.33,56.00,74.67
17.161,52.00,65.33,56.00,74.67
17.534,52.00,65.33,56.00,74.67
17.916,52.00,65.33,56.00,74.67
18.306,52.00,65.33,56.00,74.67
18.704,52.00,65.33,56.00,74.67
19.112,52.00,65.33,56.00,74.67
19.528,52.00,65.33,56.00,76.00
19.953,52.00,65.33,56.00,76.00
