method,AUC,fpr,tpr
NNLS,0.9112,0.0000,0.0000
NNLS,0.9112,0.0000,0.0800
NNLS,0.9112,0.0000,0.7000
NNLS,0.9112,0.0588,0.7000
NNLS,0.9112,0.0588,0.7400
NNLS,0.9112,0.0882,0.7400
NNLS,0.9112,0.0882,0.8600
NNLS,0.9112,0.2647,0.8600
NNLS,0.9112,0.2647,0.9000
NNLS,0.9112,0.3824,0.9000
NNLS,0.9112,0.3824,0.9200
NNLS,0.9112,0.4412,0.9200
NNLS,0.9112,1.0000,1.0000
linear RF,0.9247,0.0000,0.0000
linear RF,0.9247,0.0000,0.0800
linear RF,0.9247,0.0000,0.7800
linear RF,0.9247,0.0588,0.7800
linear RF,0.9247,0.0588,0.8000
linear RF,0.9247,0.0882,0.8000
linear RF,0.9247,0.0882,0.8600
linear RF,0.9247,0.1765,0.8600
linear RF,0.9247,0.1765,0.9000
linear RF,0.9247,0.2059,0.9000
linear RF,0.9247,0.2059,0.9200
linear RF,0.9247,0.4412,0.9200
linear RF,0.9247,1.0000,1.0000
PLS,0.9091,0.0000,0.0000
PLS,0.9091,0.0000,0.0200
PLS,0.9091,0.0000,0.5800
PLS,0.9091,0.0294,0.5800
PLS,0.9091,0.0294,0.7400
PLS,0.9091,0.0882,0.7400
PLS,0.9091,0.0882,0.7800
PLS,0.9091,0.1471,0.7800
PLS,0.9091,0.1471,0.8400
PLS,0.9091,0.2059,0.8400
PLS,0.9091,0.2059,0.8600
PLS,0.9091,0.2647,0.8600
PLS,0.9091,0.2647,0.8800
PLS,0.9091,0.3529,0.8800
PLS,0.9091,0.3529,0.9000
PLS,0.9091,0.3824,0.9000
PLS,0.9091,0.3824,0.9200
PLS,0.9091,0.5000,0.9200
PLS,0.9091,0.5000,0.9400
PLS,0.9091,0.5294,0.9400
PLS,0.9091,0.5294,0.9600
PLS,0.9091,0.6176,0.9600
PLS,0.9091,0.6176,0.9800
PLS,0.9091,0.6765,0.9800
PLS,0.9091,1.0000,1.0000
SVR,0.9071,0.0000,0.0000
SVR,0.9071,0.0000,0.0200
SVR,0.9071,0.0000,0.6800
SVR,0.9071,0.0294,0.6800
SVR,0.9071,0.0294,0.7400
SVR,0.9071,0.0588,0.7400
SVR,0.9071,0.0588,0.7600
SVR,0.9071,0.0882,0.7600
SVR,0.9071,0.0882,0.8000
SVR,0.9071,0.1471,0.8000
SVR,0.9071,0.1471,0.8200
SVR,0.9071,0.1765,0.8200
SVR,0.9071,0.1765,0.8400
SVR,0.9071,0.2059,0.8400
SVR,0.9071,0.2059,0.8600
SVR,0.9071,0.2941,0.8600
SVR,0.9071,0.2941,0.8800
SVR,0.9071,0.3235,0.8800
SVR,0.9071,0.3235,0.9200
SVR,0.9071,0.4412,0.9200
SVR,0.9071,0.4412,0.9400
SVR,0.9071,0.6471,0.9400
SVR,0.9071,0.6471,0.9600
SVR,0.9071,0.8824,0.9600
SVR,0.9071,0.8824,1.0000
SVR,0.9071,1.0000,1.0000
RandomForest,0.8918,0.0000,0.0000
RandomForest,0.8918,0.0000,0.0200
RandomForest,0.8918,0.0000,0.5800
RandomForest,0.8918,0.0294,0.5800
RandomForest,0.8918,0.0294,0.7600
RandomForest,0.8918,0.0588,0.7600
RandomForest,0.8918,0.0588,0.7800
RandomForest,0.8918,0.1765,0.7800
RandomForest,0.8918,0.1765,0.8000
RandomForest,0.8918,0.2647,0.8000
RandomForest,0.8918,0.2647,0.8200
RandomForest,0.8918,0.3824,0.8200
RandomForest,0.8918,0.3824,0.8600
RandomForest,0.8918,0.5000,0.8600
RandomForest,0.8918,0.5000,0.9400
RandomForest,0.8918,0.6176,0.9400
RandomForest,0.8918,0.6176,0.9800
RandomForest,0.8918,0.6471,0.9800
RandomForest,0.8918,0.6471,1.0000
RandomForest,0.8918,1.0000,1.0000
1D-CNN,0.8841,0.0000,0.0000
1D-CNN,0.8841,0.0000,0.0200
1D-CNN,0.8841,0.0000,0.7000
1D-CNN,0.8841,0.0294,0.7000
1D-CNN,0.8841,0.0294,0.7400
1D-CNN,0.8841,0.1176,0.7400
1D-CNN,0.8841,0.1176,0.7800
1D-CNN,0.8841,0.2353,0.7800
1D-CNN,0.8841,0.2353,0.8000
1D-CNN,0.8841,0.3235,0.8000
1D-CNN,0.8841,0.3235,0.8200
1D-CNN,0.8841,0.3824,0.8200
1D-CNN,0.8841,0.3824,0.8400
1D-CNN,0.8841,0.4118,0.8400
1D-CNN,0.8841,0.4118,0.8600
1D-CNN,0.8841,0.4412,0.8600
1D-CNN,0.8841,0.4412,0.9200
