mixture_idx,true_dominant,nnls_DQ,nnls_TBZ,nnls_THI,dl_DQ,dl_TBZ,dl_THI
0,DQ,0.1687,0.8313,0.0000,0.8147,0.1850,0.0004
1,DQ,0.9273,0.0727,0.0000,1.0000,0.0000,0.0000
2,DQ,0.0051,0.0043,0.9906,0.2662,0.1863,0.5475
3,DQ,0.5460,0.0000,0.4540,0.8905,0.0022,0.1072
4,DQ,0.8985,0.0000,0.1015,0.9997,0.0000,0.0003
5,DQ,0.7221,0.2604,0.0175,0.7696,0.2301,0.0004
6,DQ,0.3056,0.0000,0.6944,0.7243,0.0269,0.2488
7,DQ,0.1352,0.8648,0.0000,0.2317,0.7646,0.0038
8,DQ,0.0337,0.0000,0.9663,0.5709,0.1635,0.2656
9,DQ,0.3722,0.2317,0.3961,0.6474,0.1773,0.1753
10,DQ,0.0080,0.0142,0.9778,0.4718,0.0312,0.4970
11,DQ,0.5632,0.3727,0.0641,0.5092,0.4881,0.0026
12,DQ,0.5981,0.3792,0.0227,0.3496,0.6499,0.0005
13,TBZ,0.0452,0.9548,0.0000,0.0147,0.9847,0.0006
14,TBZ,0.0099,0.9896,0.0005,0.0043,0.9940,0.0017
15,TBZ,0.0330,0.8214,0.1456,0.0095,0.9857,0.0048
16,TBZ,0.0104,0.8137,0.1759,0.0039,0.8972,0.0989
17,TBZ,0.0000,0.0408,0.9592,0.0400,0.1931,0.7670
18,TBZ,0.2575,0.7282,0.0142,0.6988,0.3005,0.0007
19,TBZ,0.0126,0.4621,0.5253,0.0005,0.8377,0.1618
20,TBZ,0.0723,0.9277,0.0000,0.0633,0.9332,0.0035
21,TBZ,0.0012,0.2619,0.7369,0.0015,0.5779,0.4206
22,DQ,0.0027,0.0000,0.9973,0.0762,0.0772,0.8466
23,DQ,0.0016,0.0000,0.9984,0.0744,0.0270,0.8986
24,THI,0.0012,0.0000,0.9988,0.0599,0.0909,0.8492
25,THI,0.0004,0.0000,0.9996,0.1553,0.1461,0.6987
26,TBZ,0.0030,0.0000,0.9970,0.4200,0.0723,0.5078
27,TBZ,0.0000,0.0000,1.0000,0.0746,0.0480,0.8774
28,THI,0.0000,0.0000,1.0000,0.0065,0.0039,0.9896
29,THI,0.0000,0.0000,1.0000,0.0442,0.0235,0.9323
30,THI,0.0000,0.0008,0.9992,0.1454,0.1958,0.6587
31,THI,0.0000,0.0646,0.9354,0.1501,0.3645,0.4853
32,THI,0.0000,0.0000,1.0000,0.0503,0.1097,0.8400
33,THI,0.0000,0.0000,1.0000,0.1518,0.0596,0.7885
