wavenumber_cm-1,IG_DQ,IG_TBZ,IG_THI
301.5,0.2010,0.1175,0.0739
303.1,0.1021,0.0596,0.0593
304.6,0.1752,0.1137,0.0439
306.1,0.1533,0.0947,0.0443
307.7,0.1321,0.0826,0.0342
309.2,0.0292,0.0195,0.0145
310.8,0.0079,0.0172,0.0385
312.4,0.0115,0.0207,0.0436
313.9,0.0029,0.0138,0.0357
315.4,0.0228,0.0159,0.0383
317.0,0.0353,0.0304,0.0320
318.6,0.0368,0.0237,0.0168
320.1,0.0116,0.0089,0.0067
321.6,0.0112,0.0060,0.0056
323.2,0.0039,0.0034,0.0028
324.8,0.0009,0.0003,0.0002
326.3,0.0020,0.0009,0.0011
327.9,0.0249,0.0105,0.0053
329.4,0.0070,0.0057,0.0113
330.9,0.0093,0.0044,0.0089
332.5,0.0552,0.0389,0.0144
334.1,0.0219,0.0175,0.0177
335.6,0.0486,0.0352,0.0224
337.1,0.0420,0.0317,0.0341
338.7,0.0530,0.0316,0.0197
340.2,0.0780,0.0559,0.0539
341.8,0.1190,0.0759,0.0752
343.4,0.1014,0.0641,0.0438
344.9,0.0985,0.0791,0.0977
346.4,0.2025,0.1202,0.0870
348.0,0.2434,0.1415,0.0744
349.6,0.1996,0.1126,0.0527
351.1,0.0493,0.0238,0.0550
352.6,0.1336,0.0770,0.0343
354.2,0.1452,0.0719,0.0759
355.8,0.1453,0.0938,0.0647
357.3,0.2496,0.1715,0.1239
358.9,0.2744,0.1908,0.1022
360.4,0.1410,0.0729,0.0811
361.9,0.0811,0.0617,0.0781
363.5,0.0185,0.0334,0.1164
365.1,0.1133,0.1078,0.1587
366.6,0.0253,0.0372,0.0931
368.1,0.2501,0.1394,0.0914
369.7,0.1372,0.0978,0.0365
371.2,0.0456,0.0170,0.0652
372.8,0.0201,0.0176,0.0183
374.4,0.0180,0.0206,0.0142
375.9,0.1292,0.1087,0.0299
377.4,0.0487,0.0550,0.0741
379.0,0.0593,0.0414,0.0261
380.6,0.0622,0.0513,0.0161
382.1,0.0157,0.0152,0.0104
383.6,0.0208,0.0211,0.0096
385.2,0.0303,0.0293,0.0143
386.8,0.0272,0.0290,0.0039
388.3,0.0443,0.0450,0.0049
389.9,0.0439,0.0450,0.0013
391.4,0.0266,0.0275,0.0016
392.9,0.0613,0.0605,0.0006
394.5,0.0236,0.0241,0.0011
396.1,0.1330,0.1296,0.0015
397.6,0.0718,0.0710,0.0008
399.1,0.0675,0.0677,0.0009
400.7,0.0715,0.0724,0.0012
402.2,0.1007,0.0992,0.0013
403.8,0.0576,0.0553,0.0024
