mixture_idx,sol_DQ,sol_TBZ,sol_THI,surf_DQ,surf_TBZ,surf_THI
0,0.9091,0.0909,0.0000,0.1687,0.8313,0.0000
1,0.9901,0.0099,0.0000,0.9273,0.0727,0.0000
2,0.5000,0.0000,0.5000,0.0051,0.0043,0.9906
3,0.9091,0.0000,0.0909,0.5460,0.0000,0.4540
4,0.9901,0.0000,0.0099,0.8985,0.0000,0.1015
5,0.7500,0.2500,0.0000,0.7221,0.2604,0.0175
6,0.7500,0.0000,0.2500,0.3056,0.0000,0.6944
7,0.8333,0.1667,0.0000,0.1352,0.8648,0.0000
8,0.8333,0.0000,0.1667,0.0337,0.0000,0.9663
9,0.4762,0.4762,0.0476,0.3722,0.2317,0.3961
10,0.3333,0.3333,0.3333,0.0080,0.0142,0.9778
11,0.4975,0.4975,0.0050,0.5632,0.3727,0.0641
12,0.5000,0.5000,0.0000,0.5981,0.3792,0.0227
13,0.0909,0.9091,0.0000,0.0452,0.9548,0.0000
14,0.0099,0.9901,0.0000,0.0099,0.9896,0.0005
15,0.0000,0.9091,0.0909,0.0330,0.8214,0.1456
16,0.0000,0.9901,0.0099,0.0104,0.8137,0.1759
17,0.0000,0.5000,0.5000,0.0000,0.0408,0.9592
18,0.2500,0.7500,0.0000,0.2575,0.7282,0.0142
19,0.0000,0.7500,0.2500,0.0126,0.4621,0.5253
20,0.1667,0.8333,0.0000,0.0723,0.9277,0.0000
21,0.0000,0.8333,0.1667,0.0012,0.2619,0.7369
22,0.4762,0.0476,0.4762,0.0027,0.0000,0.9973
23,0.4975,0.0050,0.4975,0.0016,0.0000,0.9984
24,0.0909,0.0000,0.9091,0.0012,0.0000,0.9988
25,0.0099,0.0000,0.9901,0.0004,0.0000,0.9996
26,0.0476,0.4762,0.4762,0.0030,0.0000,0.9970
27,0.0050,0.4975,0.4975,0.0000,0.0000,1.0000
28,0.0000,0.0909,0.9091,0.0000,0.0000,1.0000
29,0.0000,0.0099,0.9901,0.0000,0.0000,1.0000
30,0.2500,0.0000,0.7500,0.0000,0.0008,0.9992
31,0.0000,0.2500,0.7500,0.0000,0.0646,0.9354
32,0.1667,0.0000,0.8333,0.0000,0.0000,1.0000
33,0.0000,0.1667,0.8333,0.0000,0.0000,1.0000
