regime,condition,total_uM,method,analyte,composition_pct,composition_error_pct,held_out_fold
DQ-rich,DQ12-TBZ3-THI3,18,True,DQ,66.666670,0.000000,4
DQ-rich,DQ12-TBZ3-THI3,18,True,TBZ,16.666668,0.000000,4
DQ-rich,DQ12-TBZ3-THI3,18,True,THI,16.666668,0.000000,4
DQ-rich,DQ12-TBZ3-THI3,18,NNLS,DQ,37.153477,35.208035,4
DQ-rich,DQ12-TBZ3-THI3,18,NNLS,TBZ,51.874701,35.208035,4
DQ-rich,DQ12-TBZ3-THI3,18,NNLS,THI,10.971823,35.208035,4
DQ-rich,DQ12-TBZ3-THI3,18,Physics-guided MLP,DQ,58.115334,9.771722,4
DQ-rich,DQ12-TBZ3-THI3,18,Physics-guided MLP,TBZ,26.438389,9.771722,4
DQ-rich,DQ12-TBZ3-THI3,18,Physics-guided MLP,THI,15.446280,9.771722,4
TBZ-rich,DQ6-TBZ24-THI6,36,True,DQ,16.666668,0.000000,2
TBZ-rich,DQ6-TBZ24-THI6,36,True,TBZ,66.666670,0.000000,2
TBZ-rich,DQ6-TBZ24-THI6,36,True,THI,16.666668,0.000000,2
TBZ-rich,DQ6-TBZ24-THI6,36,NNLS,DQ,24.665573,10.658662,2
TBZ-rich,DQ6-TBZ24-THI6,36,NNLS,TBZ,56.008005,10.658662,2
TBZ-rich,DQ6-TBZ24-THI6,36,NNLS,THI,19.326422,10.658662,2
TBZ-rich,DQ6-TBZ24-THI6,36,Physics-guided MLP,DQ,18.562750,4.132616,2
TBZ-rich,DQ6-TBZ24-THI6,36,Physics-guided MLP,TBZ,68.903200,4.132616,2
TBZ-rich,DQ6-TBZ24-THI6,36,Physics-guided MLP,THI,12.534051,4.132616,2
