condition,total_uM,method,analyte,composition_pct,composition_error_pct,held_out_fold
DQ12-TBZ6-THI3,21,True,DQ,57.142860,0.000000,2
DQ12-TBZ6-THI3,21,True,TBZ,28.571430,0.000000,2
DQ12-TBZ6-THI3,21,True,THI,14.285715,0.000000,2
DQ12-TBZ6-THI3,21,NNLS,DQ,36.046350,28.933189,2
DQ12-TBZ6-THI3,21,NNLS,TBZ,57.504617,28.933189,2
DQ12-TBZ6-THI3,21,NNLS,THI,6.449033,28.933189,2
DQ12-TBZ6-THI3,21,Physics-guided MLP,DQ,50.974530,9.511318,2
DQ12-TBZ6-THI3,21,Physics-guided MLP,TBZ,38.082750,9.511318,2
DQ12-TBZ6-THI3,21,Physics-guided MLP,THI,10.942727,9.511318,2
DQ24-TBZ12-THI6,42,True,DQ,57.142860,0.000000,2
DQ24-TBZ12-THI6,42,True,TBZ,28.571430,0.000000,2
DQ24-TBZ12-THI6,42,True,THI,14.285715,0.000000,2
DQ24-TBZ12-THI6,42,NNLS,DQ,52.088743,7.812961,2
DQ24-TBZ12-THI6,42,NNLS,TBZ,25.812584,7.812961,2
DQ24-TBZ12-THI6,42,NNLS,THI,22.098674,7.812961,2
DQ24-TBZ12-THI6,42,Physics-guided MLP,DQ,50.092960,7.049897,2
DQ24-TBZ12-THI6,42,Physics-guided MLP,TBZ,33.999214,7.049897,2
DQ24-TBZ12-THI6,42,Physics-guided MLP,THI,15.907825,7.049897,2
