band_center_cm-1,delta_composition_error
530.0,1.4901161193847656e-07
590.0,1.4901161193847656e-07
650.0,0.0
710.0,0.0
770.0,-1.341104507446289e-07
830.0,7.450580596923828e-08
890.0,0.0
950.0,7.450580596923828e-08
1010.0,0.0
1070.0,0.0
1130.0,-1.043081283569336e-07
1190.0,-2.9802322387695312e-08
1250.0,8.940696716308594e-08
1310.0,0.0
1370.0,1.7881393432617188e-07
1430.0,0.0
1490.0,0.0
1550.0,0.0
1610.0,0.0
1670.0,0.0
1730.0,0.0
1790.0,0.0
1850.0,0.0
1910.0,1.4901161193847656e-08
1970.0,0.0
2030.0,-2.9802322387695312e-08
2090.0,0.0
2150.0,0.0
2210.0,0.0
2270.0,0.0
2330.0,0.0
2390.0,1.4901161193847656e-08
2450.0,0.0
