raman_shift_cm-1,compound,normalized_abs_IG,within_10cm-1_of_VIP
501.45,DQ,5.9139624e-05,0
503,DQ,0.00061299099,0
504.55,DQ,0.0012338352,0
506.1,DQ,7.7526711e-05,0
507.65,DQ,0.0034162009,0
509.2,DQ,0.0064291125,0
510.75,DQ,0.00071831729,0
512.3,DQ,0.0012695205,0
513.85,DQ,0.0070310971,0
515.4,DQ,0.018193562,0
516.95,DQ,0.017319581,0
518.5,DQ,0.035073746,0
520.05,DQ,0.063716844,0
521.6,DQ,0.0047294544,0
523.15,DQ,0.0096721025,0
524.7,DQ,0.0093202814,0
526.25,DQ,0.0023397771,0
527.8,DQ,0.027778223,0
529.35,DQ,0.17799421,0
530.9,DQ,0.19350167,0
532.45,DQ,0.13913928,0
534,DQ,0.11219021,0
535.55,DQ,0.21815863,0
537.1,DQ,0.067894891,0
538.65,DQ,0.52440345,0
540.2,DQ,0.10635405,0
541.75,DQ,0.0046611018,0
543.3,DQ,0.1586042,0
544.85,DQ,0.38310927,0
546.4,DQ,0.24985255,0
547.95,DQ,0.28501096,0
549.5,DQ,0.16127424,0
551.05,DQ,0.066567637,0
552.6,DQ,0.08281146,0
554.15,DQ,0.54239821,0
555.7,DQ,0.22530204,0
557.25,DQ,0.53498006,0
558.8,DQ,0.47405198,0
560.35,DQ,0.18718684,0
561.9,DQ,0.29386121,0
563.45,DQ,0.033217639,0
565,DQ,0.15671256,0
566.55,DQ,0.34374335,0
568.1,DQ,0.30468476,0
569.65,DQ,0.21265741,0
571.2,DQ,0.13457397,0
572.75,DQ,0.23065294,0
574.3,DQ,0.20545255,0
575.85,DQ,0.10286846,0
577.4,DQ,0.19172814,0
578.95,DQ,0.097108923,0
580.5,DQ,0.029558036,0
582.05,DQ,0.045200948,0
583.6,DQ,0.0074522425,0
585.15,DQ,0.003170819,0
586.7,DQ,0.0074591436,0
588.25,DQ,0.0082013756,0
589.8,DQ,0.015621635,0
591.35,DQ,0.017363835,0
592.9,DQ,0.0042549865,0
594.45,DQ,0.020099534,0
596,DQ,0.0012441733,0
597.55,DQ,0.03019047,0
599.1,DQ,0.016420616,0
600.65,DQ,0.021539915,0
602.2,DQ,0.0054637273,0
603.75,DQ,0.0047128513,0
605.3,DQ,0.041518632,0
606.85,DQ,0.00620363,0
608.4,DQ,0.030768666,0
609.95,DQ,0.036304571,0
611.5,DQ,0.014802416,0
613.05,DQ,0.079999611,0
614.6,DQ,0.0023917765,0
616.15,DQ,0.1146625,0
617.7,DQ,0.052079257,0
619.25,DQ,0.0066887285,0
620.8,DQ,0.029717267,0
622.35,DQ,0.017696952,0
623.9,DQ,0.0068792664,0
625.45,DQ,0.07391195,0
627,DQ,0.0026723733,0
628.55,DQ,0.019805551,0
630.1,DQ,0.011500834,0
631.65,DQ,0.10769169,0
633.2,DQ,0.03202999,0
634.75,DQ,0.068614393,0
636.3,DQ,0.029986518,0
637.85,DQ,0.041124225,0
639.4,DQ,0.10174621,0
640.95,DQ,0.011675989,0
642.5,DQ,0.038986236,0
644.05,DQ,0.071486726,0
645.6,DQ,0.010152698,0
647.15,DQ,0.059293084,0
648.7,DQ,0.024375625,0
650.25,DQ,0.0051927823,0
651.8,DQ,0.033244103,0
653.35,DQ,0.021817751,0
654.9,DQ,0.045438599,0
656.45,DQ,0.026334904,0
658,DQ,0.084942736,0
659.55,DQ,0.0054172198,0
661.1,DQ,0.023505984,0
662.65,DQ,0.0075100972,0
664.2,DQ,0.022841405,0
665.75,DQ,0.0064752768,0
667.3,DQ,0.0096673435,0
668.85,DQ,0.0037127149,0
670.4,DQ,0.011243204,0
671.95,DQ,0.007824474,0
673.5,DQ,0.011168293,0
675.05,DQ,0.011342693,0
676.6,DQ,0.006545004,0
678.15,DQ,0.003711839,0
679.7,DQ,0.0046582404,0
681.25,DQ,0.0025576849,0
682.8,DQ,0.0041036149,0
684.35,DQ,0.0022184642,0
685.9,DQ,0.0019943903,0
687.45,DQ,0.0018325777,0
689,DQ,0.00056105218,0
690.55,DQ,0.001257823,0
692.1,DQ,0.0023950543,0
693.65,DQ,0.001660315,0
695.2,DQ,0.0020558622,0
696.75,DQ,0.0014368719,0
698.3,DQ,0.00038835092,0
699.85,DQ,0.0017503655,0
701.4,DQ,0.0023380397,0
702.95,DQ,0.0044062296,0
704.5,DQ,0.0068039275,0
706.05,DQ,0.0020681054,0
707.6,DQ,0.0075780535,0
709.15,DQ,0.00098025321,0
710.7,DQ,0.0017151282,0
712.25,DQ,0.0012075008,0
713.8,DQ,0.012698879,0
715.35,DQ,7.7503908e-05,0
716.9,DQ,0.014763215,0
718.45,DQ,0.0099431984,0
720,DQ,0.013355682,0
721.55,DQ,0.022331331,0
723.1,DQ,0.020680614,0
724.65,DQ,0.01021494,0
726.2,DQ,0.012332325,0
727.75,DQ,0.051414382,0
729.3,DQ,0.066734135,0
730.85,DQ,0.044434018,0
732.4,DQ,0.063900262,0
733.95,DQ,0.07976494,0
735.5,DQ,0.11634764,0
737.05,DQ,0.080523893,0
738.6,DQ,0.068130061,0
740.15,DQ,0.016876401,0
741.7,DQ,0.029538687,0
743.25,DQ,0.039048687,0
744.8,DQ,0.051756896,0
746.35,DQ,0.096274711,0
747.9,DQ,0.089830957,0
749.45,DQ,0.036905997,0
751,DQ,0.041536167,0
752.55,DQ,0.060614578,0
754.1,DQ,0.014508992,0
755.65,DQ,0.038201395,0
757.2,DQ,0.029379738,0
758.75,DQ,0.019735705,0
760.3,DQ,0.053750008,0
761.85,DQ,0.036264189,0
763.4,DQ,0.10419328,0
764.95,DQ,0.11248215,0
766.5,DQ,0.11172834,0
768.05,DQ,0.2416455,0
769.6,DQ,0.26243386,0
771.15,DQ,0.24140918,0
772.7,DQ,0.24937589,0
774.25,DQ,0.33869857,0
775.8,DQ,0.28825238,0
777.35,DQ,0.21160875,0
778.9,DQ,0.22823657,0
780.45,DQ,0.012832535,0
782,DQ,0.14197145,0
783.55,DQ,0.034465235,0
785.1,DQ,0.024036877,0
786.65,DQ,0.11481918,0
788.2,DQ,0.16733585,0
789.75,DQ,0.058337025,0
791.3,DQ,0.12468991,0
792.85,DQ,0.065942422,0
794.4,DQ,0.07772816,0
