DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
0,0,100,0.6943
0,2,98,0.6834
0,4,96,0.6732
0,6,94,0.6638
0,8,92,0.6557
0,10,90,0.6509
0,12,88,0.6484
0,14,86,0.6441
0,16,84,0.6348
0,18,82,0.6143
0,20,80,0.5858
0,22,78,0.5556
0,24,76,0.5282
0,26,74,0.5108
0,28,72,0.5044
0,30,70,0.5041
0,32,68,0.5082
0,34,66,0.5159
0,36,64,0.5265
0,38,62,0.5395
0,40,60,0.5546
0,42,58,0.5715
0,44,56,0.59
0,46,54,0.61
0,48,52,0.6313
0,50,50,0.6516
0,52,48,0.6632
0,54,46,0.6734
0,56,44,0.6838
0,58,42,0.6941
0,60,40,0.7038
0,62,38,0.7125
0,64,36,0.7198
0,66,34,0.725
0,68,32,0.7275
0,70,30,0.7262
0,72,28,0.7195
0,74,26,0.7042
0,76,24,0.6706
0,78,22,0.6211
0,80,20,0.571
0,82,18,0.5304
0,84,16,0.5162
0,86,14,0.536
0,88,12,0.5715
0,90,10,0.6144
0,92,8,0.6591
0,94,6,0.7021
0,96,4,0.742
0,98,2,0.7778
0,100,0,0.8093
2,0,98,0.7018
2,2,96,0.6913
2,4,94,0.6817
2,6,92,0.6734
2,8,90,0.6669
2,10,88,0.6627
2,12,86,0.6581
2,14,84,0.6496
2,16,82,0.6333
2,18,80,0.6075
2,20,78,0.5772
2,22,76,0.5474
2,24,74,0.5234
2,26,72,0.5096
2,28,70,0.5039
2,30,68,0.5036
2,32,66,0.5073
2,34,64,0.5142
2,36,62,0.5238
2,38,60,0.5354
2,40,58,0.5488
2,42,56,0.5636
2,44,54,0.5794
2,46,52,0.5959
2,48,50,0.6128
2,50,48,0.6285
2,52,46,0.6427
2,54,44,0.6564
2,56,42,0.6696
2,58,40,0.6818
2,60,38,0.6929
2,62,36,0.7024
2,64,34,0.71
2,66,32,0.715
2,68,30,0.7167
2,70,28,0.7136
2,72,26,0.7035
2,74,24,0.6811
2,76,22,0.6425
2,78,20,0.5972
2,80,18,0.5569
2,82,16,0.5337
2,84,14,0.5401
2,86,12,0.5697
2,88,10,0.6112
2,90,8,0.6573
2,92,6,0.7029
2,94,4,0.7453
2,96,2,0.783
2,98,0,0.8156
4,0,96,0.7111
4,2,94,0.7014
4,4,92,0.6932
4,6,90,0.6863
4,8,88,0.6804
4,10,86,0.6741
4,12,84,0.665
4,14,82,0.6502
4,16,80,0.6281
4,18,78,0.6001
4,20,76,0.5704
4,22,74,0.5435
4,24,72,0.5232
4,26,70,0.5108
4,28,68,0.5049
4,30,66,0.5038
4,32,64,0.5065
4,34,62,0.5121
4,36,60,0.5201
4,38,58,0.5298
4,40,56,0.5408
4,42,54,0.5525
4,44,52,0.5644
4,46,50,0.5759
4,48,48,0.5881
4,50,46,0.6061
4,52,44,0.6243
4,54,42,0.6409
4,56,40,0.656
4,58,38,0.6694
4,60,36,0.6811
4,62,34,0.6906
4,64,32,0.6977
4,66,30,0.7014
4,68,28,0.701
4,70,26,0.6944
4,72,24,0.6791
4,74,22,0.6526
4,76,20,0.618
4,78,18,0.5839
4,80,16,0.5608
4,82,14,0.5579
4,84,12,0.5777
4,86,10,0.6138
4,88,8,0.6585
4,90,6,0.7054
4,92,4,0.75
4,94,2,0.7896
4,96,0,0.8231
6,0,94,0.7226
6,2,92,0.7141
6,4,90,0.7074
6,6,88,0.701
6,8,86,0.6935
6,10,84,0.6833
6,12,82,0.6686
6,14,80,0.6483
6,16,78,0.6228
6,18,76,0.5943
6,20,74,0.5663
6,22,72,0.5421
6,24,70,0.5241
6,26,68,0.5122
6,28,66,0.5058
6,30,64,0.5037
6,32,62,0.5051
6,34,60,0.5092
6,36,58,0.5153
6,38,56,0.5228
6,40,54,0.5312
6,42,52,0.5398
6,44,50,0.5484
6,46,48,0.5575
6,48,46,0.5719
6,50,44,0.5914
6,52,42,0.6106
6,54,40,0.6281
6,56,38,0.6436
6,58,36,0.6572
6,60,34,0.6684
6,62,32,0.6771
6,64,30,0.6826
6,66,28,0.6842
6,68,26,0.6808
6,70,24,0.6708
6,72,22,0.6531
6,74,20,0.6289
6,76,18,0.6034
6,78,16,0.5841
6,80,14,0.5786
6,82,12,0.5914
6,84,10,0.6212
6,86,8,0.6623
6,88,6,0.7087
6,90,4,0.7549
6,92,2,0.7967
6,94,0,0.8314
8,0,92,0.7363
8,2,90,0.7297
8,4,88,0.7237
8,6,86,0.7158
8,8,84,0.7048
8,10,82,0.6896
8,12,80,0.6698
8,14,78,0.6455
8,16,76,0.6181
8,18,74,0.5899
8,20,72,0.5636
8,22,70,0.5414
8,24,68,0.5245
8,26,66,0.5129
8,28,64,0.5059
8,30,62,0.5028
8,32,60,0.5029
8,34,58,0.5054
8,36,56,0.5097
8,38,54,0.5152
8,40,52,0.5215
8,42,50,0.5284
8,44,48,0.5364
8,46,46,0.5475
8,48,44,0.5635
8,50,42,0.582
8,52,40,0.6004
8,54,38,0.6172
8,56,36,0.6321
8,58,34,0.6447
8,60,32,0.6548
8,62,30,0.6618
8,64,28,0.6652
8,66,26,0.6644
8,68,24,0.6584
8,70,22,0.647
8,72,20,0.6309
8,74,18,0.6132
8,76,16,0.5991
8,78,14,0.5946
8,80,12,0.6042
8,82,10,0.6291
8,84,8,0.6665
8,86,6,0.7114
8,88,4,0.7582
8,90,2,0.8021
8,92,0,0.8388
10,0,90,0.7538
10,2,88,0.7483
10,4,86,0.7406
10,6,84,0.7291
10,8,82,0.7133
10,10,80,0.6932
10,12,78,0.6691
10,14,76,0.6421
10,16,74,0.6137
10,18,72,0.5861
10,20,70,0.5611
10,22,68,0.5403
10,24,66,0.5241
10,26,64,0.5124
10,28,62,0.505
10,30,60,0.501
10,32,58,0.4999
10,34,56,0.5011
10,36,54,0.504
10,38,52,0.5083
10,40,50,0.5136
10,42,48,0.5204
10,44,46,0.5295
10,46,44,0.5422
10,48,42,0.5581
10,50,40,0.5753
10,52,38,0.5922
10,54,36,0.6076
10,56,34,0.6211
10,58,32,0.6321
10,60,30,0.6402
10,62,28,0.6451
10,64,26,0.6464
10,66,24,0.6435
10,68,22,0.6365
10,70,20,0.6261
10,72,18,0.6144
10,74,16,0.605
10,76,14,0.6025
10,78,12,0.6111
10,80,10,0.6329
10,82,8,0.6673
10,84,6,0.7108
10,86,4,0.7577
10,88,2,0.8026
10,90,0,0.8414
12,0,88,0.7741
12,2,86,0.767
12,4,84,0.7556
12,6,82,0.7391
12,8,80,0.7182
12,10,78,0.6936
12,12,76,0.6663
12,14,74,0.6376
12,16,72,0.6089
12,18,70,0.5819
12,20,68,0.558
12,22,66,0.538
12,24,64,0.5223
12,26,62,0.5108
12,28,60,0.5029
12,30,58,0.4984
12,32,56,0.4966
12,34,54,0.4969
12,36,52,0.4991
12,38,50,0.5029
12,40,48,0.5083
12,42,46,0.5159
12,44,44,0.5262
12,46,42,0.5393
12,48,40,0.5543
12,50,38,0.57
12,52,36,0.5851
12,54,34,0.5986
12,56,32,0.6101
12,58,30,0.6191
12,60,28,0.6251
12,62,26,0.6279
12,64,24,0.6273
12,66,22,0.6234
12,68,20,0.6168
12,70,18,0.6092
12,72,16,0.6032
12,74,14,0.6023
12,76,12,0.6102
12,78,10,0.6296
12,80,8,0.6613
12,82,6,0.7034
12,84,4,0.7511
12,86,2,0.7975
12,88,0,0.8372
14,0,86,0.7931
14,2,84,0.7827
14,4,82,0.7659
14,6,80,0.744
14,8,78,0.7186
14,10,76,0.6907
14,12,74,0.6613
14,14,72,0.6316
14,16,70,0.603
14,18,68,0.5767
14,20,66,0.5537
14,22,64,0.5345
14,24,62,0.5193
14,26,60,0.508
14,28,58,0.5001
14,30,56,0.4954
14,32,54,0.4932
14,34,52,0.4934
14,36,50,0.4955
14,38,48,0.4995
14,40,46,0.5056
14,42,44,0.514
14,44,42,0.5247
14,46,40,0.5375
14,48,38,0.5514
14,50,36,0.5654
14,52,34,0.5785
14,54,32,0.59
14,56,30,0.5993
14,58,28,0.6061
14,60,26,0.61
14,62,24,0.611
14,64,22,0.6091
14,66,20,0.6051
14,68,18,0.6
14,70,16,0.5959
