DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
0,10,90,0.8045
0,12,88,0.7791
0,14,86,0.7542
0,16,84,0.7314
0,18,82,0.7148
0,20,80,0.7023
0,22,78,0.6893
0,24,76,0.6724
0,26,74,0.6455
0,28,72,0.6082
0,30,70,0.566
0,32,68,0.5211
0,34,66,0.4749
0,36,64,0.4287
0,38,62,0.3834
0,40,60,0.34
0,42,58,0.2996
0,44,56,0.2632
0,46,54,0.232
0,48,52,0.2075
0,50,50,0.1904
0,52,48,0.1787
0,54,46,0.1745
0,56,44,0.1773
0,58,42,0.1856
0,60,40,0.1983
0,62,38,0.2144
0,64,36,0.2331
0,66,34,0.2534
0,68,32,0.2743
0,70,30,0.2946
0,72,28,0.3127
0,74,26,0.3256
0,76,24,0.3248
0,78,22,0.3128
0,80,20,0.3045
0,82,18,0.311
0,84,16,0.3536
0,86,14,0.4412
0,88,12,0.5466
0,90,10,0.6555
2,8,90,0.8013
2,10,88,0.7755
2,12,86,0.7494
2,14,84,0.7248
2,16,82,0.7039
2,18,80,0.6879
2,20,78,0.6734
2,22,76,0.6567
2,24,74,0.6335
2,26,72,0.6004
2,28,70,0.5601
2,30,68,0.5159
2,32,66,0.4696
2,34,64,0.4226
2,36,62,0.3759
2,38,60,0.3305
2,40,58,0.2874
2,42,56,0.2475
2,44,54,0.2119
2,46,52,0.1819
2,48,50,0.1592
2,50,48,0.1457
2,52,46,0.1415
2,54,44,0.1447
2,56,42,0.1538
2,58,40,0.1676
2,60,38,0.185
2,62,36,0.2052
2,64,34,0.2273
2,66,32,0.2504
2,68,30,0.2733
2,70,28,0.2946
2,72,26,0.3119
2,74,24,0.3205
2,76,22,0.3171
2,78,20,0.3109
2,80,18,0.314
2,82,16,0.3407
2,84,14,0.4063
2,86,12,0.5006
2,88,10,0.6055
2,90,8,0.706
4,6,90,0.7984
4,8,88,0.7725
4,10,86,0.7459
4,12,84,0.7201
4,14,82,0.6964
4,16,80,0.6761
4,18,78,0.658
4,20,76,0.6393
4,22,74,0.6166
4,24,72,0.5871
4,26,70,0.5503
4,28,68,0.5082
4,30,66,0.463
4,32,64,0.4162
4,34,62,0.369
4,36,60,0.3226
4,38,58,0.2778
4,40,56,0.2356
4,42,54,0.1968
4,44,52,0.1624
4,46,50,0.1338
4,48,48,0.1141
4,50,46,0.1089
4,52,44,0.1127
4,54,42,0.1225
4,56,40,0.137
4,58,38,0.1554
4,60,36,0.1768
4,62,34,0.2003
4,64,32,0.2252
4,66,30,0.2503
4,68,28,0.2742
4,70,26,0.2951
4,72,24,0.3103
4,74,22,0.3176
4,76,20,0.3201
4,78,18,0.3267
4,80,16,0.3484
4,82,14,0.3962
4,84,12,0.4715
4,86,10,0.5641
4,88,8,0.6608
4,90,6,0.751
6,4,90,0.7949
6,6,88,0.7692
6,8,86,0.7424
6,10,84,0.7157
6,12,82,0.6901
6,14,80,0.6665
6,16,78,0.6447
6,18,76,0.6231
6,20,74,0.5994
6,22,72,0.5711
6,24,70,0.5371
6,26,68,0.4978
6,28,66,0.4545
6,30,64,0.4089
6,32,62,0.3623
6,34,60,0.3157
