condition,DQ_uM,TBZ_uM,THI_uM,conc_acc_mlp,within2x_mlp,conc_acc_pls,within2x_pls
DQ3-TB3-TH3,3,3,3,0.3035,1.0,0.2764,1.0
DQ3-TB3-TH6,3,3,6,0.3264,0.0,0.4666,1.0
DQ3-TB3-TH12,3,3,12,0.7515,3.0,0.5458,1.0
DQ3-TB3-TH24,3,3,24,0.3882,0.0,0.2876,0.0
DQ3-TB6-TH3,3,6,3,0.2967,1.0,0.289,0.0
DQ3-TB6-TH6,3,6,6,0.787,3.0,0.6887,2.0
DQ3-TB6-TH12,3,6,12,0.5205,1.0,0.5936,2.0
DQ3-TB6-TH24,3,6,24,0.7702,3.0,0.6375,2.0
DQ3-TB12-TH3,3,12,3,0.5317,1.0,0.461,1.0
DQ3-TB12-TH6,3,12,6,0.5162,2.0,0.6483,2.0
DQ3-TB12-TH12,3,12,12,0.6592,2.0,0.6574,2.0
DQ3-TB12-TH24,3,12,24,0.8645,3.0,0.5818,2.0
DQ3-TB24-TH3,3,24,3,0.8204,3.0,0.6272,2.0
DQ3-TB24-TH6,3,24,6,0.6025,2.0,0.6549,2.0
DQ3-TB24-TH12,3,24,12,0.617,2.0,0.4481,1.0
DQ3-TB24-TH24,3,24,24,0.4324,1.0,0.5545,2.0
DQ6-TB3-TH3,6,3,3,0.6676,3.0,0.5279,1.0
DQ6-TB3-TH6,6,3,6,0.8478,3.0,0.7046,2.0
DQ6-TB3-TH12,6,3,12,0.762,3.0,0.5905,2.0
DQ6-TB3-TH24,6,3,24,0.5859,2.0,0.7737,2.0
DQ6-TB6-TH3,6,6,3,0.6775,3.0,0.7007,3.0
DQ6-TB6-TH6,6,6,6,0.8401,3.0,0.6698,2.0
DQ6-TB6-TH12,6,6,12,0.5882,2.0,0.5937,2.0
DQ6-TB6-TH24,6,6,24,0.8061,3.0,0.55,2.0
DQ6-TB12-TH3,6,12,3,0.6377,3.0,0.8872,3.0
DQ6-TB12-TH6,6,12,6,0.7777,3.0,0.804,3.0
DQ6-TB12-TH12,6,12,12,0.7232,3.0,0.6998,3.0
DQ6-TB12-TH24,6,12,24,0.637,2.0,0.6138,2.0
DQ6-TB24-TH3,6,24,3,0.8295,3.0,0.7615,2.0
DQ6-TB24-TH6,6,24,6,0.4013,0.0,0.6557,2.0
DQ6-TB24-TH12,6,24,12,0.8008,3.0,0.7497,3.0
DQ6-TB24-TH24,6,24,24,0.4065,1.0,0.4818,2.0
DQ12-TB3-TH3,12,3,3,0.561,2.0,0.6381,2.0
DQ12-TB3-TH6,12,3,6,0.6891,3.0,0.7449,3.0
DQ12-TB3-TH12,12,3,12,0.797,3.0,0.6684,2.0
DQ12-TB3-TH24,12,3,24,0.6527,3.0,0.5559,1.0
DQ12-TB6-TH3,12,6,3,0.7081,2.0,0.8059,3.0
DQ12-TB6-TH6,12,6,6,0.9277,3.0,0.7391,3.0
DQ12-TB6-TH12,12,6,12,0.8011,3.0,0.8223,3.0
DQ12-TB6-TH24,12,6,24,0.6871,3.0,0.6372,2.0
DQ12-TB12-TH3,12,12,3,0.8735,3.0,0.8295,3.0
DQ12-TB12-TH6,12,12,6,0.8575,3.0,0.9073,3.0
DQ12-TB12-TH12,12,12,12,0.8872,3.0,0.7796,3.0
DQ12-TB12-TH24,12,12,24,0.5941,3.0,0.8493,3.0
DQ12-TB24-TH3,12,24,3,0.8378,3.0,0.8154,3.0
DQ12-TB24-TH6,12,24,6,0.6034,3.0,0.5057,2.0
DQ12-TB24-TH12,12,24,12,0.6433,2.0,0.4581,1.0
DQ12-TB24-TH24,12,24,24,0.8643,3.0,0.646,2.0
DQ24-TB3-TH3,24,3,3,0.6476,2.0,0.5992,3.0
DQ24-TB3-TH6,24,3,6,0.7356,2.0,0.4407,1.0
DQ24-TB3-TH12,24,3,12,0.5442,1.0,0.3892,1.0
DQ24-TB3-TH24,24,3,24,0.7068,3.0,0.6778,2.0
DQ24-TB6-TH3,24,6,3,0.6648,2.0,0.7242,2.0
DQ24-TB6-TH6,24,6,6,0.7112,3.0,0.8691,3.0
DQ24-TB6-TH12,24,6,12,0.8638,3.0,0.6242,2.0
DQ24-TB6-TH24,24,6,24,0.7972,3.0,0.8273,3.0
DQ24-TB12-TH3,24,12,3,0.7891,3.0,0.7629,3.0
DQ24-TB12-TH6,24,12,6,0.8082,3.0,0.6996,3.0
DQ24-TB12-TH12,24,12,12,0.653,2.0,0.7492,3.0
DQ24-TB12-TH24,24,12,24,0.4946,1.0,0.7472,2.0
DQ24-TB24-TH3,24,24,3,0.849,3.0,0.4598,1.0
DQ24-TB24-TH6,24,24,6,0.7401,3.0,0.6218,2.0
DQ24-TB24-TH12,24,24,12,0.6247,3.0,0.6105,2.0
DQ24-TB24-TH24,24,24,24,0.5838,2.0,0.4716,1.0
