absent_component,partner,partner_uM,nnls_bgaware_floor_pct,hit_fraction
THI,TBZ,9,1.7,1.0
THI,TBZ,18,0.11,1.0
THI,TBZ,36,0.02,1.0
THI,TBZ,72,0.0,1.0
THI,TBZ,144,0.06,1.0
THI,DQ,9,7.38,1.0
THI,DQ,18,6.36,1.0
THI,DQ,36,2.14,1.0
THI,DQ,72,0.85,1.0
THI,DQ,144,0.02,1.0
TBZ,THI,9,0.29,1.0
TBZ,THI,18,0.46,1.0
TBZ,THI,36,0.74,1.0
TBZ,THI,72,1.88,1.0
TBZ,THI,144,0.0,1.0
TBZ,DQ,9,10.85,1.0
TBZ,DQ,18,5.91,1.0
TBZ,DQ,36,1.1,1.0
TBZ,DQ,72,2.19,1.0
TBZ,DQ,144,0.12,1.0
DQ,THI,9,0.26,1.0
DQ,THI,18,0.01,1.0
DQ,THI,36,0.49,1.0
DQ,THI,72,0.47,1.0
DQ,THI,144,0.33,1.0
DQ,TBZ,9,0.0,1.0
DQ,TBZ,18,0.0,1.0
DQ,TBZ,36,0.0,1.0
DQ,TBZ,72,0.0,1.0
DQ,TBZ,144,0.0,1.0
