condition,component,true_uM,pred_uM
DQ12-TB12-TH12,THI,12.0,10.917
DQ12-TB12-TH12,TBZ,12.0,10.169
DQ12-TB12-TH12,DQ,12.0,10.852
DQ12-TB12-TH24,THI,24.0,16.807
DQ12-TB12-TH24,TBZ,12.0,6.554
DQ12-TB12-TH24,DQ,12.0,6.43
DQ12-TB12-TH3,THI,3.0,2.365
DQ12-TB12-TH3,TBZ,12.0,12.359
DQ12-TB12-TH3,DQ,12.0,13.933
DQ12-TB12-TH6,THI,6.0,7.308
DQ12-TB12-TH6,TBZ,12.0,12.19
DQ12-TB12-TH6,DQ,12.0,15.642
DQ12-TB24-TH12,THI,12.0,15.876
DQ12-TB24-TH12,TBZ,24.0,66.517
DQ12-TB24-TH12,DQ,12.0,9.758
DQ12-TB24-TH24,THI,24.0,21.544
DQ12-TB24-TH24,TBZ,24.0,22.291
DQ12-TB24-TH24,DQ,12.0,9.196
DQ12-TB24-TH3,THI,3.0,2.058
DQ12-TB24-TH3,TBZ,24.0,21.814
DQ12-TB24-TH3,DQ,12.0,11.023
DQ12-TB24-TH6,THI,6.0,3.46
DQ12-TB24-TH6,TBZ,24.0,47.92
DQ12-TB24-TH6,DQ,12.0,8.79
DQ12-TB3-TH12,THI,12.0,12.674
DQ12-TB3-TH12,TBZ,3.0,4.987
DQ12-TB3-TH12,DQ,12.0,10.111
DQ12-TB3-TH24,THI,24.0,15.455
DQ12-TB3-TH24,TBZ,3.0,4.361
DQ12-TB3-TH24,DQ,12.0,7.513
DQ12-TB3-TH3,THI,3.0,4.465
DQ12-TB3-TH3,TBZ,3.0,5.374
DQ12-TB3-TH3,DQ,12.0,26.495
DQ12-TB3-TH6,THI,6.0,5.1
DQ12-TB3-TH6,TBZ,3.0,5.182
DQ12-TB3-TH6,DQ,12.0,18.793
DQ12-TB6-TH12,THI,12.0,10.159
DQ12-TB6-TH12,TBZ,6.0,5.107
DQ12-TB6-TH12,DQ,12.0,8.466
DQ12-TB6-TH24,THI,24.0,24.317
DQ12-TB6-TH24,TBZ,6.0,10.548
DQ12-TB6-TH24,DQ,12.0,23.739
DQ12-TB6-TH3,THI,3.0,7.577
DQ12-TB6-TH3,TBZ,6.0,6.769
DQ12-TB6-TH3,DQ,12.0,14.25
DQ12-TB6-TH6,THI,6.0,6.393
DQ12-TB6-TH6,TBZ,6.0,6.472
DQ12-TB6-TH6,DQ,12.0,13.081
DQ24-TB12-TH12,THI,12.0,13.543
DQ24-TB12-TH12,TBZ,12.0,7.947
DQ24-TB12-TH12,DQ,24.0,9.855
DQ24-TB12-TH24,THI,24.0,10.675
DQ24-TB12-TH24,TBZ,12.0,7.475
DQ24-TB12-TH24,DQ,24.0,9.982
DQ24-TB12-TH3,THI,3.0,3.329
DQ24-TB12-TH3,TBZ,12.0,13.849
DQ24-TB12-TH3,DQ,24.0,40.024
DQ24-TB12-TH6,THI,6.0,5.632
DQ24-TB12-TH6,TBZ,12.0,9.645
DQ24-TB12-TH6,DQ,24.0,35.183
DQ24-TB24-TH12,THI,12.0,7.708
DQ24-TB24-TH12,TBZ,24.0,12.212
DQ24-TB24-TH12,DQ,24.0,17.354
DQ24-TB24-TH24,THI,24.0,16.999
DQ24-TB24-TH24,TBZ,24.0,14.016
DQ24-TB24-TH24,DQ,24.0,11.021
DQ24-TB24-TH3,THI,3.0,4.168
DQ24-TB24-TH3,TBZ,24.0,20.357
DQ24-TB24-TH3,DQ,24.0,24.519
DQ24-TB24-TH6,THI,6.0,6.442
DQ24-TB24-TH6,TBZ,24.0,15.205
DQ24-TB24-TH6,DQ,24.0,15.729
DQ24-TB3-TH12,THI,12.0,9.637
DQ24-TB3-TH12,TBZ,3.0,8.887
DQ24-TB3-TH12,DQ,24.0,11.807
DQ24-TB3-TH24,THI,24.0,17.927
DQ24-TB3-TH24,TBZ,3.0,3.804
DQ24-TB3-TH24,DQ,24.0,14.035
DQ24-TB3-TH3,THI,3.0,5.038
DQ24-TB3-TH3,TBZ,3.0,7.512
DQ24-TB3-TH3,DQ,24.0,25.317
DQ24-TB3-TH6,THI,6.0,5.749
DQ24-TB3-TH6,TBZ,3.0,6.247
DQ24-TB3-TH6,DQ,24.0,18.438
DQ24-TB6-TH12,THI,12.0,14.393
DQ24-TB6-TH12,TBZ,6.0,6.415
DQ24-TB6-TH12,DQ,24.0,29.185
DQ24-TB6-TH24,THI,24.0,21.444
DQ24-TB6-TH24,TBZ,6.0,3.893
DQ24-TB6-TH24,DQ,24.0,28.257
DQ24-TB6-TH3,THI,3.0,4.803
DQ24-TB6-TH3,TBZ,6.0,6.769
DQ24-TB6-TH3,DQ,24.0,49.628
DQ24-TB6-TH6,THI,6.0,8.323
DQ24-TB6-TH6,TBZ,6.0,10.028
DQ24-TB6-TH6,DQ,24.0,19.55
DQ3-TB12-TH12,THI,12.0,9.614
DQ3-TB12-TH12,TBZ,12.0,11.139
DQ3-TB12-TH12,DQ,3.0,12.092
DQ3-TB12-TH24,THI,24.0,25.557
DQ3-TB12-TH24,TBZ,12.0,15.298
DQ3-TB12-TH24,DQ,3.0,3.449
DQ3-TB12-TH3,THI,3.0,7.763
DQ3-TB12-TH3,TBZ,12.0,13.317
DQ3-TB12-TH3,DQ,3.0,9.752
DQ3-TB12-TH6,THI,6.0,10.098
DQ3-TB12-TH6,TBZ,12.0,8.486
DQ3-TB12-TH6,DQ,3.0,12.136
DQ3-TB24-TH12,THI,12.0,8.683
DQ3-TB24-TH12,TBZ,24.0,49.218
DQ3-TB24-TH12,DQ,3.0,4.688
DQ3-TB24-TH24,THI,24.0,11.99
DQ3-TB24-TH24,TBZ,24.0,12.055
DQ3-TB24-TH24,DQ,3.0,10.163
DQ3-TB24-TH3,THI,3.0,3.428
DQ3-TB24-TH3,TBZ,24.0,28.428
DQ3-TB24-TH3,DQ,3.0,4.043
DQ3-TB24-TH6,THI,6.0,8.989
DQ3-TB24-TH6,TBZ,24.0,16.176
DQ3-TB24-TH6,DQ,3.0,6.435
DQ3-TB3-TH12,THI,12.0,17.217
DQ3-TB3-TH12,TBZ,3.0,4.175
DQ3-TB3-TH12,DQ,3.0,3.576
DQ3-TB3-TH24,THI,24.0,54.348
DQ3-TB3-TH24,TBZ,3.0,11.049
DQ3-TB3-TH24,DQ,3.0,6.645
DQ3-TB3-TH3,THI,3.0,5.159
DQ3-TB3-TH3,TBZ,3.0,17.393
DQ3-TB3-TH3,DQ,3.0,19.169
DQ3-TB3-TH6,THI,6.0,13.181
DQ3-TB3-TH6,TBZ,3.0,13.231
DQ3-TB3-TH6,DQ,3.0,10.094
DQ3-TB6-TH12,THI,12.0,10.524
DQ3-TB6-TH12,TBZ,6.0,12.881
DQ3-TB6-TH12,DQ,3.0,13.718
DQ3-TB6-TH24,THI,24.0,19.077
DQ3-TB6-TH24,TBZ,6.0,4.106
DQ3-TB6-TH24,DQ,3.0,3.607
DQ3-TB6-TH3,THI,3.0,5.748
