condition,DQ,TBZ,THI,uM_DQ_NNLS_Pred,uM_TBZ_NNLS_Pred,uM_THI_NNLS_Pred,uM_DQ_MLP_Pred,uM_TBZ_MLP_Pred,uM_THI_MLP_Pred,uM_DQ_PLS_Pred,uM_TBZ_PLS_Pred,uM_THI_PLS_Pred
DQ3-TB3-TH3,3.0,3.0,3.0,1.71,1.25,1.56,19.17,17.39,5.16,25.98,21.54,5.22
DQ3-TB3-TH6,3.0,3.0,6.0,3.37,1.19,9.15,10.09,13.23,13.18,8.32,6.57,10.29
DQ3-TB3-TH12,3.0,3.0,12.0,2.42,1.09,24.52,3.58,4.18,17.22,7.87,6.61,14.95
DQ3-TB3-TH24,3.0,3.0,24.0,1.06,1.23,100.0,6.65,11.05,54.35,13.43,10.01,70.62
DQ3-TB6-TH3,3.0,6.0,3.0,0.97,1.87,1.42,16.01,33.17,5.75,23.85,20.88,6.61
DQ3-TB6-TH6,3.0,6.0,6.0,2.31,1.12,5.76,3.47,7.35,8.82,13.61,5.78,6.8
DQ3-TB6-TH12,3.0,6.0,12.0,1.83,1.02,16.27,13.72,12.88,10.52,12.18,4.0,13.83
DQ3-TB6-TH24,3.0,6.0,24.0,1.18,0.94,15.86,3.61,4.11,19.08,23.68,6.52,27.72
DQ3-TB12-TH3,3.0,12.0,3.0,4.89,2.53,3.12,9.75,13.32,7.76,6.91,19.07,9.38
DQ3-TB12-TH6,3.0,12.0,6.0,4.15,1.68,4.61,12.14,8.49,10.1,7.74,6.93,6.13
DQ3-TB12-TH12,3.0,12.0,12.0,1.72,1.21,9.21,12.09,11.14,9.61,4.77,4.81,11.31
DQ3-TB12-TH24,3.0,12.0,24.0,1.28,1.02,31.33,3.45,15.3,25.56,14.45,7.37,22.16
DQ3-TB24-TH3,3.0,24.0,3.0,2.6,2.62,1.31,4.04,28.43,3.43,9.52,17.03,3.5
DQ3-TB24-TH6,3.0,24.0,6.0,3.61,4.06,3.92,6.44,16.18,8.99,8.3,20.26,7.9
DQ3-TB24-TH12,3.0,24.0,12.0,8.74,12.93,4.67,4.69,49.22,8.68,9.41,61.0,7.59
DQ3-TB24-TH24,3.0,24.0,24.0,2.72,2.99,40.34,10.16,12.05,11.99,6.84,14.63,14.78
DQ6-TB3-TH3,6.0,3.0,3.0,1.57,1.28,1.2,10.77,4.04,4.26,14.18,7.75,3.88
DQ6-TB3-TH6,6.0,3.0,6.0,2.1,1.22,2.28,4.9,3.25,7.46,7.29,6.33,4.9
DQ6-TB3-TH12,6.0,3.0,12.0,1.82,1.09,8.38,7.63,5.47,11.41,24.72,5.29,12.49
DQ6-TB3-TH24,6.0,3.0,24.0,2.6,1.05,23.54,2.49,2.46,12.56,6.1,7.07,21.91
DQ6-TB6-TH3,6.0,6.0,3.0,1.48,1.56,1.16,10.97,10.97,3.2,8.52,9.97,3.77
DQ6-TB6-TH6,6.0,6.0,6.0,2.1,1.52,1.68,7.34,4.95,5.27,12.49,6.93,3.98
DQ6-TB6-TH12,6.0,6.0,12.0,1.62,1.27,10.37,9.41,8.85,26.75,15.73,8.09,18.25
DQ6-TB6-TH24,6.0,6.0,24.0,2.73,1.07,100.0,4.48,8.53,23.23,15.55,11.06,33.25
DQ6-TB12-TH3,6.0,12.0,3.0,1.91,1.84,1.49,10.85,19.28,4.07,5.89,10.63,3.78
