DQ,TBZ,THI,subset,imbalance_100x,Ratio_DQ_True,Ratio_TBZ_True,Ratio_THI_True,Ratio_DQ_NNLS_Pred,Ratio_TBZ_NNLS_Pred,Ratio_THI_NNLS_Pred,Ratio_DQ_MLP_heldout,Ratio_TBZ_MLP_heldout,Ratio_THI_MLP_heldout,Ratio_DQ_PLS_heldout,Ratio_TBZ_PLS_heldout,Ratio_THI_PLS_heldout
0,5,500,binary,1,0.0,0.99,99.01,0.0,0.0,100.0,8.07,1.09,90.84,21.53,10.05,68.42
0,50,150,binary,0,0.0,25.0,75.0,0.0,12.0,88.0,11.79,44.57,43.64,4.58,43.56,51.86
0,50,250,binary,0,0.0,16.67,83.33,0.0,0.0,100.0,2.16,2.3,95.54,19.64,20.11,60.25
0,50,500,binary,0,0.0,9.09,90.91,0.0,0.0,100.0,10.34,2.84,86.82,21.53,6.74,71.72
0,150,50,binary,0,0.0,75.0,25.0,0.0,49.0,51.0,9.29,48.75,41.95,15.62,56.43,27.94
0,250,50,binary,0,0.0,83.33,16.67,0.0,28.0,72.0,16.84,40.52,42.65,20.07,42.48,37.46
0,500,5,binary,1,0.0,99.01,0.99,0.0,83.0,17.0,16.04,62.91,21.04,14.05,76.52,9.43
0,500,50,binary,0,0.0,90.91,9.09,0.0,85.0,15.0,2.15,93.07,4.78,11.07,66.93,22.0
0,500,500,binary,0,0.0,50.0,50.0,0.0,12.0,88.0,2.35,52.0,45.64,4.28,48.54,47.18
3,3,3,ternary,0,33.33,33.33,33.33,22.0,6.0,72.0,44.17,32.23,23.6,42.94,27.17,29.88
3,3,6,ternary,0,25.0,25.0,50.0,30.0,10.0,60.0,24.98,31.27,43.75,31.54,23.81,44.64
3,3,12,ternary,0,16.67,16.67,66.67,18.0,8.0,74.0,20.56,17.19,62.25,23.41,18.53,58.06
3,3,24,ternary,0,10.0,10.0,80.0,5.0,1.0,94.0,24.61,16.74,58.65,18.7,18.22,63.08
3,6,3,ternary,0,25.0,50.0,25.0,0.0,42.0,58.0,34.69,24.06,41.25,25.92,43.43,30.65
3,6,6,ternary,0,20.0,40.0,40.0,33.0,10.0,57.0,31.34,28.96,39.7,27.44,29.97,42.59
3,6,12,ternary,0,14.29,28.57,57.14,26.0,4.0,71.0,23.84,25.66,50.5,27.02,23.98,49.01
3,6,24,ternary,0,9.09,18.18,72.73,16.0,2.0,82.0,27.03,12.31,60.66,32.24,9.39,58.37
3,12,3,ternary,0,16.67,66.67,16.67,6.0,47.0,47.0,25.3,52.54,22.16,15.53,51.32,33.15
3,12,6,ternary,0,14.29,57.14,28.57,23.0,36.0,41.0,29.28,32.2,38.52,35.91,36.19,27.91
3,12,12,ternary,0,11.11,44.44,44.44,17.0,17.0,66.0,15.74,30.63,53.63,22.46,34.31,43.23
3,12,24,ternary,0,7.69,30.77,61.54,14.0,6.0,80.0,10.64,28.23,61.13,23.81,20.25,55.94
3,24,3,ternary,0,10.0,80.0,10.0,7.0,72.0,21.0,30.85,38.3,30.84,22.22,51.59,26.19
3,24,6,ternary,0,9.09,72.73,18.18,3.0,67.0,30.0,10.71,80.19,9.09,17.65,60.82,21.53
3,24,12,ternary,0,7.69,61.54,30.77,0.0,76.0,24.0,4.78,83.09,12.13,9.69,71.48,18.83
3,24,24,ternary,0,5.88,47.06,47.06,0.0,41.0,59.0,18.83,36.8,44.37,6.68,54.53,38.79
3,333,333,ternary,1,0.45,49.78,49.78,0.0,0.0,100.0,1.15,1.49,97.37,12.83,15.26,71.91
5,0,500,binary,1,0.99,0.0,99.01,0.0,0.0,100.0,9.18,3.03,87.79,18.84,16.32,64.84
5,500,0,binary,1,0.99,99.01,0.0,0.0,100.0,0.0,1.11,98.46,0.43,8.62,91.01,0.36
6,3,3,ternary,0,50.0,25.0,25.0,24.0,28.0,48.0,48.92,23.09,27.99,41.87,32.48,25.65
6,3,6,ternary,0,40.0,20.0,40.0,25.0,11.0,65.0,32.71,36.84,30.45,33.05,31.47,35.48
6,3,12,ternary,0,28.57,14.29,57.14,17.0,1.0,82.0,34.2,23.37,42.43,40.22,13.46,46.32
6,3,24,ternary,0,18.18,9.09,72.73,19.0,3.0,78.0,30.72,9.91,59.37,27.29,5.99,66.72
6,6,3,ternary,0,40.0,40.0,20.0,19.0,50.0,31.0,49.47,24.33,26.21,39.37,37.11,23.52
6,6,6,ternary,0,33.33,33.33,33.33,20.0,33.0,47.0,46.3,36.29,17.41,36.7,39.51,23.8
6,6,12,ternary,0,25.0,25.0,50.0,11.0,15.0,74.0,29.41,31.52,39.07,37.99,26.86,35.15
6,6,24,ternary,0,16.67,16.67,66.67,13.0,8.0,79.0,14.9,18.68,66.42,18.31,21.16,60.52
6,12,3,ternary,0,28.57,57.14,14.29,3.0,49.0,47.0,42.79,29.51,27.69,25.05,49.63,25.32
6,12,6,ternary,0,25.0,50.0,25.0,8.0,54.0,38.0,32.38,40.19,27.43,28.76,48.82,22.42
6,12,12,ternary,0,20.0,40.0,40.0,11.0,31.0,58.0,13.89,46.47,39.64,18.62,43.54,37.83
6,12,24,ternary,0,14.29,28.57,57.14,1.0,19.0,80.0,8.28,24.27,67.45,5.11,42.16,52.73
6,24,3,ternary,0,18.18,72.73,9.09,9.0,74.0,16.0,33.15,52.57,14.28,28.38,56.54,15.08
6,24,6,ternary,0,16.67,66.67,16.67,18.0,58.0,24.0,43.41,40.7,15.89,37.22,47.2,15.58
6,24,12,ternary,0,14.29,57.14,28.57,0.0,71.0,29.0,12.57,49.47,37.96,9.56,63.68,26.76
6,24,24,ternary,0,11.11,44.44,44.44,12.0,47.0,41.0,15.8,36.02,48.18,1.12,48.26,50.62
10,10,10,ternary,0,33.33,33.33,33.33,23.0,20.0,57.0,42.02,22.27,35.71,41.59,19.82,38.59
12,3,3,ternary,0,66.67,16.67,16.67,28.0,38.0,33.0,48.51,24.54,26.94,48.71,26.82,24.47
12,3,6,ternary,0,57.14,14.29,28.57,8.0,30.0,62.0,50.11,21.39,28.5,45.71,32.13,22.16
12,3,12,ternary,0,44.44,11.11,44.44,22.0,11.0,66.0,47.96,17.54,34.49,43.87,17.31,38.82
12,3,24,ternary,0,30.77,7.69,61.54,11.0,7.0,82.0,37.64,21.52,40.84,38.19,22.17,39.63
12,6,3,ternary,0,57.14,28.57,14.29,13.0,69.0,18.0,39.02,50.78,10.21,44.13,44.17,11.7
12,6,6,ternary,0,50.0,25.0,25.0,13.0,37.0,50.0,43.41,28.61,27.98,43.46,31.35,25.19
12,6,12,ternary,0,40.0,20.0,40.0,10.0,29.0,62.0,34.9,34.09,31.01,38.93,31.41,29.65
12,6,24,ternary,0,28.57,14.29,57.14,18.0,6.0,76.0,45.05,19.16,35.79,38.61,18.33,43.06
12,12,3,ternary,0,44.44,44.44,11.11,15.0,69.0,16.0,59.44,33.1,7.46,53.96,34.5,11.54
12,12,6,ternary,0,40.0,40.0,20.0,23.0,44.0,33.0,48.17,36.17,15.65,39.31,39.48,21.21
12,12,12,ternary,0,33.33,33.33,33.33,3.0,45.0,53.0,26.17,35.45,38.38,27.52,39.74,32.74
