DQ,TBZ,THI,subset,imbalance_100x,Ratio_DQ_True,Ratio_TBZ_True,Ratio_THI_True,Ratio_DQ_NNLS,Recovery_DQ_NNLS_pct,Ratio_TBZ_NNLS,Recovery_TBZ_NNLS_pct,Ratio_THI_NNLS,Recovery_THI_NNLS_pct,Ratio_DQ_RF,Recovery_DQ_RF_pct,Ratio_TBZ_RF,Recovery_TBZ_RF_pct,Ratio_THI_RF,Recovery_THI_RF_pct,Ratio_DQ_PLS,Recovery_DQ_PLS_pct,Ratio_TBZ_PLS,Recovery_TBZ_PLS_pct,Ratio_THI_PLS,Recovery_THI_PLS_pct,Ratio_DQ_MLP,Recovery_DQ_MLP_pct,Ratio_TBZ_MLP,Recovery_TBZ_MLP_pct,Ratio_THI_MLP,Recovery_THI_MLP_pct
0,5,500,binary,1,0.0,0.99,99.01,0.36,,0.27,27.3,99.37,100.4,16.44,,12.49,1261.5,71.07,71.8,16.97,,8.94,902.9,74.09,74.8,6.57,,0.91,91.9,92.52,93.4
0,50,150,binary,0,0.0,25.0,75.0,4.15,,22.92,91.7,72.92,97.2,32.78,,29.14,116.6,38.09,50.8,6.65,,47.31,189.2,46.04,61.4,20.56,,42.74,171.0,36.71,48.9
0,50,250,binary,0,0.0,16.67,83.33,0.65,,0.31,1.9,99.05,118.9,23.13,,20.63,123.8,56.24,67.5,21.51,,25.76,154.6,52.72,63.3,7.77,,12.87,77.2,79.36,95.2
0,50,500,binary,0,0.0,9.09,90.91,3.2,,2.24,24.6,94.57,104.0,17.74,,16.27,179.0,65.99,72.6,25.22,,15.76,173.4,59.02,64.9,8.92,,8.13,89.4,82.95,91.2
0,150,50,binary,0,0.0,75.0,25.0,1.47,,46.48,62.0,52.05,208.2,15.8,,54.06,72.1,30.14,120.6,12.89,,59.49,79.3,27.62,110.5,0.85,,63.3,84.4,35.86,143.4
0,250,50,binary,0,0.0,83.33,16.67,1.07,,30.71,36.9,68.22,409.3,16.15,,52.82,63.4,31.03,186.2,20.31,,46.94,56.3,32.74,196.4,13.52,,38.59,46.3,47.89,287.3
0,500,5,binary,1,0.0,99.01,0.99,0.86,,81.65,82.5,17.49,1766.5,13.81,,68.84,69.5,17.35,1752.3,8.99,,78.51,79.3,12.5,1262.5,1.01,,90.32,91.2,8.67,875.7
0,500,50,binary,0,0.0,90.91,9.09,4.39,,78.99,86.9,16.62,182.8,18.57,,65.42,72.0,16.01,176.1,4.96,,70.91,78.0,24.13,265.4,7.69,,84.71,93.2,7.61,83.7
0,500,500,binary,0,0.0,50.0,50.0,0.65,,31.84,63.7,67.51,135.0,24.28,,38.59,77.2,37.13,74.3,2.87,,51.76,103.5,45.37,90.7,9.77,,50.46,100.9,39.76,79.5
3,3,3,ternary,0,33.33,33.33,33.33,46.5,139.5,36.55,109.7,16.95,50.9,40.75,122.3,29.34,88.0,29.91,89.7,44.87,134.6,28.86,86.6,26.26,78.8,37.47,112.4,28.13,84.4,34.41,103.2
3,3,6,ternary,0,25.0,25.0,50.0,38.82,155.3,29.12,116.5,32.06,64.1,30.75,123.0,30.48,121.9,38.77,77.5,32.05,128.2,28.74,115.0,39.21,78.4,22.94,91.8,26.41,105.6,50.65,101.3
3,3,12,ternary,0,16.67,16.67,66.67,28.67,172.0,23.67,142.0,47.66,71.5,22.85,137.1,22.16,133.0,54.98,82.5,20.96,125.8,28.09,168.5,50.96,76.4,17.19,103.1,9.47,56.8,73.35,110.0
3,3,24,ternary,0,10.0,10.0,80.0,12.55,125.5,8.55,85.5,78.9,98.6,29.97,299.7,17.16,171.6,52.88,66.1,22.53,225.3,19.57,195.7,57.9,72.4,13.56,135.6,10.39,103.9,76.05,95.1
3,6,3,ternary,0,25.0,50.0,25.0,24.09,96.4,50.99,102.0,24.92,99.7,35.63,142.5,33.5,67.0,30.87,123.5,28.11,112.4,39.79,79.6,32.1,128.4,35.68,142.7,33.42,66.8,30.9,123.6
3,6,6,ternary,0,20.0,40.0,40.0,41.02,205.1,28.87,72.2,30.11,75.3,29.62,148.1,26.58,66.5,43.8,109.5,21.89,109.5,37.44,93.6,40.67,101.7,23.86,119.3,41.66,104.2,34.48,86.2
3,6,12,ternary,0,14.29,28.57,57.14,33.24,232.7,19.62,68.7,47.14,82.5,26.89,188.2,22.29,78.0,50.82,88.9,29.02,203.1,27.63,96.7,43.34,75.8,23.49,164.4,25.17,88.1,51.34,89.8
3,6,24,ternary,0,9.09,18.18,72.73,23.6,259.6,12.18,67.0,64.22,88.3,30.05,330.5,18.8,103.4,51.15,70.3,34.55,380.0,10.67,58.7,54.77,75.3,25.16,276.8,18.38,101.1,56.46,77.6
3,12,3,ternary,0,16.67,66.67,16.67,31.33,188.0,49.88,74.8,18.79,112.7,25.52,153.1,49.39,74.1,25.09,150.5,20.26,121.6,44.58,66.9,35.16,211.0,24.11,144.7,40.47,60.7,35.42,212.5
3,12,6,ternary,0,14.29,57.14,28.57,34.62,242.3,43.06,75.4,22.31,78.1,33.41,233.9,43.44,76.0,23.15,81.0,35.95,251.6,37.84,66.2,26.21,91.7,39.03,273.2,35.72,62.5,25.26,88.4
3,12,12,ternary,0,11.11,44.44,44.44,26.53,238.8,27.98,63.0,45.48,102.3,27.98,251.8,26.53,59.7,45.49,102.4,27.0,243.0,32.73,73.6,40.27,90.6,20.77,186.9,38.31,86.2,40.92,92.1
3,12,24,ternary,0,7.69,30.77,61.54,20.52,266.8,15.22,49.5,64.26,104.4,27.71,360.2,18.64,60.6,53.65,87.2,28.05,364.7,20.51,66.7,51.44,83.6,17.39,226.1,24.25,78.8,58.35,94.8
3,24,3,ternary,0,10.0,80.0,10.0,27.81,278.1,60.41,75.5,11.79,117.9,25.04,250.4,57.43,71.8,17.53,175.3,31.17,311.7,47.7,59.6,21.14,211.4,18.76,187.6,62.43,78.0,18.81,188.1
3,24,6,ternary,0,9.09,72.73,18.18,15.77,173.5,62.52,86.0,21.71,119.4,25.77,283.5,56.21,77.3,18.02,99.1,19.21,211.3,54.64,75.1,26.16,143.9,13.88,152.7,67.09,92.2,19.03,104.7
3,24,12,ternary,0,7.69,61.54,30.77,3.87,50.3,74.04,120.3,22.1,71.8,16.38,212.9,61.37,99.7,22.26,72.3,10.71,139.2,67.26,109.3,22.03,71.6,4.56,59.3,63.27,102.8,32.17,104.6
3,24,24,ternary,0,5.88,47.06,47.06,9.19,156.2,42.72,90.8,48.1,102.2,23.64,401.9,40.7,86.5,35.66,75.8,9.43,160.3,53.88,114.5,36.69,78.0,11.39,193.6,51.93,110.4,36.68,77.9
3,333,333,ternary,1,0.45,49.78,49.78,0.44,98.1,0.36,0.7,99.2,199.3,15.04,3353.9,10.06,20.2,74.9,150.5,8.83,1969.1,14.91,30.0,76.26,153.2,5.62,1253.3,5.22,10.5,89.15,179.1
5,0,500,binary,1,0.99,0.0,99.01,0.62,62.6,0.19,,99.19,100.2,26.61,2687.6,18.69,,54.71,55.3,19.4,1959.4,19.99,,60.61,61.2,12.41,1253.4,8.29,,79.3,80.1
5,500,0,binary,1,0.99,99.01,0.0,1.01,102.0,98.82,99.8,0.18,,13.69,1382.7,83.36,84.2,2.95,,16.15,1631.2,83.75,84.6,0.11,,2.65,267.6,97.18,98.2,0.17,
6,3,3,ternary,0,50.0,25.0,25.0,41.16,82.3,45.65,182.6,13.19,52.8,39.79,79.6,30.72,122.9,29.49,118.0,36.05,72.1,26.31,105.2,37.63,150.5,47.31,94.6,27.23,108.9,25.46,101.8
6,3,6,ternary,0,40.0,20.0,40.0,44.0,110.0,36.22,181.1,19.78,49.5,34.08,85.2,31.86,159.3,34.07,85.2,31.57,78.9,33.3,166.5,35.13,87.8,33.4,83.5,33.97,169.8,32.63,81.6
6,3,12,ternary,0,28.57,14.29,57.14,36.67,128.3,26.21,183.5,37.11,64.9,28.99,101.5,23.52,164.6,47.49,83.1,35.43,124.0,22.85,160.0,41.73,73.0,24.35,85.2,7.32,51.2,68.33,119.6
6,3,24,ternary,0,18.18,9.09,72.73,29.3,161.1,20.51,225.6,50.19,69.0,23.01,126.6,19.63,215.9,57.36,78.9,22.14,121.8,10.68,117.5,67.18,92.4,25.1,138.1,15.28,168.1,59.62,82.0
6,6,3,ternary,0,40.0,40.0,20.0,35.92,89.8,51.03,127.6,13.04,65.2,42.48,106.2,32.96,82.4,24.56,122.8,39.46,98.7,33.93,84.8,26.61,133.1,45.84,114.6,27.03,67.6,27.13,135.7
6,6,6,ternary,0,33.33,33.33,33.33,38.61,115.8,44.64,133.9,16.75,50.3,35.81,107.4,35.85,107.6,28.34,85.0,37.23,111.7,38.51,115.5,24.26,72.8,30.0,90.0,37.85,113.6,32.15,96.5
6,6,12,ternary,0,25.0,25.0,50.0,25.47,101.9,28.96,115.8,45.57,91.1,31.52,126.1,26.75,107.0,41.73,83.5,32.03,128.1,26.43,105.7,41.54,83.1,30.81,123.2,17.8,71.2,51.38,102.8
6,6,24,ternary,0,16.67,16.67,66.67,21.82,130.9,18.8,112.8,59.38,89.1,21.09,126.5,25.86,155.2,53.05,79.6,19.01,114.1,24.29,145.7,56.7,85.0,8.93,53.6,6.7,40.2,84.37,126.6
6,12,3,ternary,0,28.57,57.14,14.29,31.12,108.9,54.18,94.8,14.7,102.9,31.81,111.3,45.23,79.2,22.95,160.7,26.44,92.5,43.03,75.3,30.53,213.7,36.52,127.8,37.7,66.0,25.78,180.5
