condition,THI_true,TBZ_true,DQ_true,THI_NNLS_kt,THI_PLS_kt,THI_MLP_kt,TBZ_NNLS_kt,TBZ_PLS_kt,TBZ_MLP_kt,DQ_NNLS_kt,DQ_PLS_kt,DQ_MLP_kt
DQ3-TB3-TH3,3.0,3.0,3.0,3.103,0.891,1.113,2.496,3.675,3.752,3.401,4.434,4.135
DQ3-TB3-TH6,6.0,3.0,3.0,8.009,4.904,4.333,1.038,3.132,4.349,2.952,3.965,3.318
DQ3-TB3-TH12,12.0,3.0,3.0,15.751,9.144,12.412,0.698,4.042,3.01,1.552,4.814,2.578
DQ3-TB3-TH24,24.0,3.0,3.0,29.328,22.522,22.632,0.36,3.194,4.601,0.312,4.284,2.767
DQ3-TB6-TH3,3.0,6.0,3.0,4.007,1.546,1.256,5.265,4.88,7.247,2.727,5.574,3.498
DQ3-TB6-TH6,6.0,6.0,3.0,9.397,3.896,6.736,1.829,3.311,5.615,3.774,7.793,2.648
DQ3-TB6-TH12,12.0,6.0,3.0,17.871,9.675,5.953,1.118,2.799,7.287,2.011,8.526,7.76
DQ3-TB6-TH24,24.0,6.0,3.0,29.111,15.795,23.499,1.72,3.716,5.057,2.169,13.489,4.444
DQ3-TB12-TH3,3.0,12.0,3.0,5.329,4.772,4.532,4.319,9.708,7.775,8.352,3.519,5.693
DQ3-TB12-TH6,6.0,12.0,3.0,9.272,6.186,6.903,3.381,7.001,5.801,8.347,7.813,8.296
DQ3-TB12-TH12,12.0,12.0,3.0,20.486,14.618,7.903,2.688,6.217,9.157,3.826,6.164,9.94
DQ3-TB12-TH24,24.0,12.0,3.0,36.332,19.651,22.498,1.186,6.536,13.467,1.482,12.813,3.036
DQ3-TB24-TH3,3.0,24.0,3.0,6.015,3.494,2.865,12.059,17.0,23.756,11.926,9.505,3.379
DQ3-TB24-TH6,6.0,24.0,3.0,11.169,7.156,9.388,11.553,18.335,16.892,10.277,7.509,6.72
DQ3-TB24-TH12,12.0,24.0,3.0,6.919,3.793,5.411,19.14,30.5,30.668,12.941,4.707,2.921
DQ3-TB24-TH24,24.0,24.0,3.0,44.68,20.79,17.876,3.307,20.58,17.972,3.014,9.631,15.151
DQ6-TB3-TH3,3.0,3.0,6.0,3.558,1.803,2.681,3.804,3.605,2.543,4.638,6.591,6.776
DQ6-TB3-TH6,6.0,3.0,6.0,6.113,3.969,7.172,3.26,5.126,3.122,5.627,5.905,4.705
DQ6-TB3-TH12,12.0,3.0,6.0,15.584,6.171,9.777,2.033,2.612,4.688,3.383,12.216,6.535
DQ6-TB3-TH24,24.0,3.0,6.0,28.564,20.611,23.669,1.277,6.652,4.629,3.159,5.737,4.702
