DQ,TBZ,THI,imbalance_100x,True_THI_pct,True_TBZ_pct,True_DQ_pct,Rec_THI_VIPband,Rec_TBZ_VIPband,Rec_DQ_VIPband,Rec_THI_NNLS,Rec_TBZ_NNLS,Rec_DQ_NNLS,Rec_THI_NNLSRF,Rec_TBZ_NNLSRF,Rec_DQ_NNLSRF,Rec_THI_MCR,Rec_TBZ_MCR,Rec_DQ_MCR,Rec_THI_PLS,Rec_TBZ_PLS,Rec_DQ_PLS,Rec_THI_RF,Rec_TBZ_RF,Rec_DQ_RF,Rec_THI_CNN,Rec_TBZ_CNN,Rec_DQ_CNN,Rec_THI_MLP,Rec_TBZ_MLP,Rec_DQ_MLP
0,5,500,1,99.01,0.99,0.0,100.7,17.2,,100.4,27.3,,99.9,36.4,,100.8,6.1,,74.8,902.9,,71.8,1261.5,,73.8,1067.6,,93.4,91.9,
0,50,150,0,75.0,25.0,0.0,102.8,71.9,,97.2,91.7,,93.8,92.0,,96.8,86.2,,61.4,189.2,,50.8,116.6,,77.6,105.0,,48.9,171.0,
0,50,250,0,83.33,16.67,0.0,119.2,1.7,,118.9,1.9,,118.0,2.4,,119.4,0.7,,63.3,154.6,,67.5,123.8,,53.8,156.2,,95.2,77.2,
0,50,500,0,90.91,9.09,0.0,103.9,10.0,,104.0,24.6,,102.1,23.9,,104.1,17.4,,64.9,173.4,,72.6,179.0,,81.3,32.8,,91.2,89.4,
0,150,50,0,25.0,75.0,0.0,225.2,56.1,,208.2,62.0,,179.4,70.1,,211.3,61.6,,110.5,79.3,,120.6,72.1,,81.9,80.8,,143.4,84.4,
0,250,50,0,16.67,83.33,0.0,424.0,33.9,,409.3,36.9,,399.7,37.9,,415.6,36.3,,196.4,56.3,,186.2,63.4,,269.1,23.6,,287.3,46.3,
0,500,5,1,0.99,99.01,0.0,2167.5,77.6,,1766.5,82.5,,1291.8,86.6,,1880.6,82.0,,1262.5,79.3,,1752.4,69.5,,1345.3,71.4,,875.7,91.2,
0,500,50,0,9.09,90.91,0.0,217.9,82.8,,182.8,86.9,,170.2,85.3,,196.0,86.0,,265.4,78.0,,176.1,72.0,,174.9,72.0,,83.7,93.2,
0,500,500,0,50.0,50.0,0.0,142.0,56.1,,135.0,63.7,,132.7,65.2,,135.6,62.3,,90.7,103.5,,74.3,77.2,,93.3,74.7,,79.5,100.9,
3,3,3,0,33.33,33.33,33.33,53.6,62.9,183.4,50.9,109.6,139.5,37.7,85.6,176.7,35.2,72.0,192.8,78.8,86.6,134.6,89.7,88.0,122.3,81.4,55.6,163.1,103.2,84.4,112.4
3,3,6,0,50.0,25.0,25.0,73.3,73.6,179.8,64.1,116.5,155.3,42.3,102.4,212.9,57.0,84.6,201.4,78.4,115.0,128.2,77.5,121.9,123.0,72.4,170.0,85.3,101.3,105.6,91.8
3,3,12,0,66.67,16.67,16.67,78.8,90.5,194.2,71.5,142.0,172.0,51.6,136.3,257.4,67.0,104.8,227.1,76.4,168.5,125.8,82.5,133.0,137.1,62.7,239.2,110.0,110.0,56.8,103.1
3,3,24,0,80.0,10.0,10.0,102.0,63.1,121.4,98.6,85.5,125.5,90.4,81.6,195.6,96.6,47.1,180.2,72.4,195.7,225.3,66.1,171.6,299.7,99.6,26.5,176.5,95.1,103.9,135.6
3,6,3,0,25.0,50.0,25.0,111.4,89.1,110.5,99.7,102.0,96.4,60.7,105.0,129.4,79.1,78.8,163.4,128.4,79.6,112.4,123.5,67.0,142.5,148.5,63.7,124.1,123.6,66.8,142.7
3,6,6,0,40.0,40.0,20.0,85.3,43.5,242.4,75.3,72.2,205.1,48.1,64.2,275.4,66.0,47.6,272.7,101.7,93.6,109.4,109.5,66.4,148.1,120.9,73.4,111.5,86.2,104.2,119.3
3,6,12,0,57.14,28.57,14.29,91.6,36.5,260.5,82.5,68.7,232.7,66.6,57.7,318.2,76.9,41.8,308.6,75.8,96.7,203.1,88.9,78.0,188.2,97.6,52.2,205.4,89.8,88.1,164.4
3,6,24,0,72.73,18.18,9.09,93.5,33.9,284.3,88.3,67.0,259.6,65.1,81.5,416.7,85.3,41.7,334.4,75.3,58.7,380.0,70.3,103.4,330.5,73.7,75.2,360.2,77.6,101.1,276.8
3,12,3,0,16.67,66.67,16.67,131.0,61.8,221.9,112.7,74.8,188.0,65.4,73.4,241.0,88.4,61.4,266.0,211.0,66.9,121.6,150.5,74.1,153.1,236.6,49.5,165.3,212.5,60.7,144.7
3,12,6,0,28.57,57.14,14.29,92.0,58.4,282.6,78.1,75.4,242.3,47.1,65.4,344.0,67.7,61.7,317.8,91.7,66.2,251.6,81.0,76.0,233.9,90.2,52.2,310.8,88.4,62.5,273.2
3,12,12,0,44.44,44.44,11.11,113.6,44.2,268.8,102.3,63.0,238.8,69.5,60.9,378.3,97.0,49.6,313.7,90.6,73.6,243.0,102.4,59.7,251.8,84.6,71.2,276.9,92.1,86.2,186.9
3,12,24,0,61.54,30.77,7.69,110.8,29.7,294.4,104.4,49.5,266.8,79.2,52.0,458.0,102.1,37.7,332.7,83.6,66.7,364.7,87.2,60.6,360.2,110.8,39.9,253.5,94.8,78.8,226.1
3,24,3,0,10.0,80.0,10.0,118.4,67.0,345.3,117.9,75.5,278.1,75.9,68.3,377.4,82.9,63.6,408.4,211.4,59.6,311.7,175.3,71.8,250.4,218.9,67.4,241.6,188.1,78.0,187.6
3,24,6,0,18.18,72.73,9.09,139.0,78.6,193.5,119.4,86.0,173.5,80.5,83.2,273.6,114.0,79.1,239.1,143.9,75.1,211.3,99.1,77.3,283.5,130.6,73.8,248.2,104.7,92.2,152.7
3,24,12,0,30.77,61.54,7.69,87.0,111.7,58.5,71.8,120.3,50.3,55.5,124.6,81.0,73.1,118.4,60.2,71.6,109.3,139.2,72.3,99.7,212.9,52.8,126.5,76.3,104.6,102.8,59.3
3,24,24,0,47.06,47.06,5.88,113.0,77.8,173.9,102.2,90.8,156.2,78.5,99.3,278.1,100.7,84.6,217.3,78.0,114.5,160.3,75.8,86.5,401.9,91.9,83.8,293.9,77.9,110.4,193.6
3,333,333,1,49.78,49.78,0.45,199.7,0.6,62.4,199.3,0.7,98.1,198.7,0.7,167.2,200.1,0.5,24.5,153.2,30.0,1969.1,150.5,20.2,3353.9,185.8,2.7,1380.4,179.1,10.5,1253.3
5,0,500,1,99.01,0.0,0.99,100.6,,13.1,100.2,,62.6,99.4,,132.3,100.8,,21.2,61.2,,1959.4,55.3,,2687.6,51.9,,2915.9,80.1,,1253.4
5,500,0,1,0.0,99.01,0.99,,98.7,212.1,,99.8,102.0,,99.4,145.4,,100.3,56.6,,84.6,1631.2,,84.2,1382.7,,68.0,2710.8,,98.2,267.6
6,3,3,0,25.0,25.0,50.0,51.8,118.1,115.0,52.8,182.6,82.3,28.9,170.0,100.6,25.3,123.6,125.6,150.5,105.2,72.1,118.0,122.9,79.6,84.8,88.5,113.3,101.8,108.9,94.6
6,3,6,0,40.0,20.0,40.0,53.3,108.0,142.7,49.4,181.1,110.0,28.3,148.5,147.5,37.5,126.7,149.2,87.8,166.5,78.9,85.2,159.3,85.2,96.8,93.8,106.4,81.6,169.8,83.5
6,3,12,0,57.14,14.29,28.57,74.0,96.0,154.0,64.9,183.5,128.3,44.4,164.2,179.0,57.1,117.3,177.2,73.0,160.0,124.0,83.1,164.6,101.5,59.7,264.6,98.3,119.6,51.2,85.2
6,3,24,0,72.73,9.09,18.18,75.7,125.7,184.2,69.0,225.6,161.1,46.4,253.0,237.9,64.4,159.8,212.5,92.4,117.5,121.8,78.9,215.9,126.6,80.8,234.8,109.6,82.0,168.1,138.0
6,6,3,0,20.0,40.0,40.0,68.1,95.4,120.6,65.2,127.6,89.8,40.6,111.6,118.1,39.2,93.3,137.1,133.0,84.8,98.6,122.8,82.4,106.2,147.3,83.9,92.5,135.6,67.6,114.6
6,6,6,0,33.33,33.33,33.33,54.8,92.3,152.9,50.3,133.9,115.8,38.8,108.8,152.4,34.3,93.1,172.7,72.8,115.5,111.7,85.0,107.6,107.4,83.2,93.4,123.5,96.5,113.6,90.0
6,6,12,0,50.0,25.0,25.0,103.1,80.1,113.7,91.1,115.8,101.9,66.8,112.5,153.9,84.8,88.2,142.3,83.1,105.7,128.1,83.5,107.0,126.1,69.6,155.8,105.1,102.8,71.2,123.2
6,6,24,0,66.67,16.67,16.67,95.7,72.0,145.2,89.1,112.8,130.9,69.2,115.4,207.9,86.1,87.5,168.0,85.0,145.7,114.1,79.6,155.2,126.5,83.8,178.3,86.6,126.6,40.2,53.6
6,12,3,0,14.29,57.14,28.57,114.1,75.2,142.4,102.9,94.8,108.9,65.9,85.1,146.8,69.7,71.5,172.2,213.7,75.3,92.5,160.6,79.2,111.3,205.0,83.0,81.5,180.5,66.0,127.8
6,12,6,0,25.0,50.0,25.0,74.8,75.8,173.6,68.0,99.7,132.6,39.3,96.6,167.6,48.0,77.0,197.9,98.1,90.8,120.4,92.4,93.0,121.6,87.3,94.6,123.4,119.6,72.9,134.6
6,12,12,0,40.0,40.0,20.0,122.5,72.6,109.6,109.2,91.1,99.4,80.1,93.4,153.0,105.3,79.3,130.8,104.0,105.0,82.0,92.7,103.7,107.2,109.6,98.0,84.9,83.1,117.2,99.3
6,12,24,0,57.14,28.57,14.29,124.7,67.8,65.4,117.5,85.5,58.9,109.5,83.9,93.9,115.6,75.8,85.8,96.3,130.6,53.5,82.0,115.8,140.6,124.6,58.1,85.2,126.7,71.0,51.2
6,24,3,0,9.09,72.73,18.18,119.1,74.4,192.8,102.5,86.7,152.0,67.6,76.9,208.7,70.2,75.4,213.2,181.7,73.7,164.4,179.7,81.1,135.8,161.8,94.5,91.0,269.4,76.6,109.0
6,24,6,0,16.67,66.67,16.67,142.0,71.7,171.0,114.7,82.7,154.4,67.6,82.8,201.2,104.2,76.0,191.9,96.7,72.3,213.9,116.5,76.9,175.9,98.6,82.3,172.1,111.8,67.5,218.2
6,24,12,0,28.57,57.14,14.29,108.5,109.3,45.8,92.5,120.1,34.6,67.9,126.2,59.5,96.1,120.4,26.3,109.6,103.6,66.5,79.8,112.1,92.0,80.1,106.4,114.2,91.9,106.3,91.1
6,24,24,0,44.44,44.44,11.11,74.4,83.5,268.6,63.9,107.6,213.8,41.8,101.4,327.2,60.5,99.9,258.3,94.9,118.2,48.0,58.7,110.0,225.3,19.0,147.2,235.3,63.3,133.9,111.1
