condition,True_THI_uM,True_TBZ_uM,True_DQ_uM,THI_NNLS_uM,THI_NNLS_kt_uM,TBZ_NNLS_uM,TBZ_NNLS_kt_uM,DQ_NNLS_uM,DQ_NNLS_kt_uM,THI_PLS_uM,THI_PLS_kt_uM,TBZ_PLS_uM,TBZ_PLS_kt_uM,DQ_PLS_uM,DQ_PLS_kt_uM,THI_MLP_uM,THI_MLP_kt_uM,TBZ_MLP_uM,TBZ_MLP_kt_uM,DQ_MLP_uM,DQ_MLP_kt_uM
DQ3-TB3-TH3,3.0,3.0,3.0,1.558,3.103,1.254,2.496,1.708,3.401,5.222,0.891,21.535,3.675,25.983,4.434,5.159,1.113,17.393,3.752,19.169,4.135
DQ3-TB3-TH6,6.0,3.0,3.0,9.15,8.009,1.186,1.038,3.373,2.952,10.293,4.904,6.574,3.132,8.322,3.965,13.181,4.333,13.231,4.349,10.094,3.318
DQ3-TB3-TH12,12.0,3.0,3.0,24.523,15.751,1.086,0.698,2.416,1.552,14.954,9.144,6.611,4.042,7.873,4.814,17.217,12.412,4.175,3.01,3.576,2.578
DQ3-TB3-TH24,24.0,3.0,3.0,100.0,29.328,1.228,0.36,1.063,0.312,70.618,22.522,10.014,3.194,13.433,4.284,54.348,22.632,11.049,4.601,6.645,2.767
DQ3-TB6-TH3,3.0,6.0,3.0,1.42,4.007,1.866,5.265,0.967,2.727,6.612,1.546,20.877,4.88,23.845,5.574,5.748,1.256,33.174,7.247,16.012,3.498
DQ3-TB6-TH6,6.0,6.0,3.0,5.757,9.397,1.121,1.829,2.312,3.774,6.803,3.896,5.782,3.311,13.61,7.793,8.822,6.736,7.354,5.615,3.468,2.648
DQ3-TB6-TH12,12.0,6.0,3.0,16.275,17.871,1.018,1.118,1.831,2.011,13.827,9.675,4.001,2.799,12.185,8.526,10.524,5.953,12.881,7.287,13.718,7.76
DQ3-TB6-TH24,24.0,6.0,3.0,15.859,29.111,0.937,1.72,1.182,2.169,27.723,15.795,6.522,3.716,23.677,13.489,19.077,23.499,4.106,5.057,3.607,4.444
DQ3-TB12-TH3,3.0,12.0,3.0,3.118,5.329,2.526,4.319,4.886,8.352,9.375,4.772,19.072,9.708,6.914,3.519,7.763,4.532,13.317,7.775,9.752,5.693
DQ3-TB12-TH6,6.0,12.0,3.0,4.61,9.272,1.681,3.381,4.15,8.347,6.127,6.186,6.934,7.001,7.738,7.813,10.098,6.903,8.486,5.801,12.136,8.296
DQ3-TB12-TH12,12.0,12.0,3.0,9.209,20.486,1.208,2.688,1.72,3.826,11.307,14.618,4.809,6.217,4.768,6.164,9.614,7.903,11.139,9.157,12.092,9.94
DQ3-TB12-TH24,24.0,12.0,3.0,31.335,36.332,1.023,1.186,1.278,1.482,22.165,19.651,7.372,6.536,14.451,12.813,25.557,22.498,15.298,13.467,3.449,3.036
DQ3-TB24-TH3,3.0,24.0,3.0,1.309,6.015,2.624,12.059,2.595,11.926,3.501,3.494,17.032,17.0,9.523,9.505,3.428,2.865,28.428,23.756,4.043,3.379
DQ3-TB24-TH6,6.0,24.0,3.0,3.921,11.169,4.056,11.553,3.608,10.277,7.905,7.156,20.255,18.335,8.296,7.509,8.989,9.388,16.176,16.892,6.435,6.72
DQ3-TB24-TH12,12.0,24.0,3.0,4.673,6.919,12.925,19.14,8.739,12.941,7.585,3.793,60.998,30.5,9.414,4.707,8.683,5.411,49.218,30.668,4.688,2.921
DQ3-TB24-TH24,24.0,24.0,3.0,40.339,44.68,2.985,3.307,2.721,3.014,14.775,20.79,14.626,20.58,6.845,9.631,11.99,17.876,12.055,17.972,10.163,15.151
DQ6-TB3-TH3,3.0,3.0,6.0,1.201,3.558,1.283,3.804,1.565,4.638,3.878,1.803,7.753,3.605,14.175,6.591,4.262,2.681,4.043,2.543,10.774,6.776
DQ6-TB3-TH6,6.0,3.0,6.0,2.28,6.113,1.216,3.26,2.099,5.627,4.898,3.969,6.326,5.126,7.287,5.905,7.464,7.172,3.249,3.122,4.896,4.705
DQ6-TB3-TH12,12.0,3.0,6.0,8.377,15.584,1.093,2.033,1.819,3.383,12.486,6.171,5.286,2.612,24.717,12.216,11.411,9.777,5.471,4.688,7.627,6.535
DQ6-TB3-TH24,24.0,3.0,6.0,23.536,28.564,1.052,1.277,2.603,3.159,21.91,20.611,7.071,6.652,6.099,5.737,12.558,23.669,2.456,4.629,2.495,4.702
DQ6-TB6-TH3,3.0,6.0,6.0,1.16,4.14,1.562,5.574,1.481,5.286,3.77,2.54,9.972,6.72,8.517,5.739,3.198,1.909,10.965,6.545,10.966,6.546
DQ6-TB6-TH6,6.0,6.0,6.0,1.682,5.712,1.523,5.172,2.095,7.115,3.979,3.061,6.931,5.333,12.485,9.606,5.269,5.4,4.95,5.074,7.343,7.526
DQ6-TB6-TH12,12.0,6.0,6.0,10.366,18.777,1.266,2.293,1.618,2.93,18.248,10.411,8.086,4.614,15.73,8.975,26.75,14.265,8.847,4.718,9.409,5.018
DQ6-TB6-TH24,24.0,6.0,6.0,100.0,34.679,1.075,0.373,2.734,0.948,33.252,19.996,11.062,6.652,15.553,9.352,23.229,23.077,8.527,8.471,4.481,4.452
DQ6-TB12-TH3,3.0,12.0,6.0,1.494,5.99,1.84,7.374,1.905,7.637,3.779,3.909,10.632,10.998,5.889,6.092,4.068,2.498,19.282,11.841,10.846,6.66
DQ6-TB12-TH6,6.0,12.0,6.0,1.525,7.311,1.614,7.739,1.866,8.95,5.513,4.883,11.071,9.806,10.513,9.311,6.085,7.327,6.441,7.756,7.405,8.917
DQ6-TB12-TH12,12.0,12.0,6.0,41.863,25.094,2.281,1.367,5.903,3.538,14.962,10.708,15.918,11.393,11.037,7.899,11.545,12.044,7.258,7.572,9.955,10.385
DQ6-TB12-TH24,24.0,12.0,6.0,100.0,40.702,1.604,0.653,1.586,0.645,36.095,31.725,9.263,8.141,2.427,2.133,10.81,14.61,10.301,13.922,9.965,13.468
DQ6-TB24-TH3,3.0,24.0,6.0,1.304,5.62,3.021,13.023,3.33,14.357,3.586,2.928,23.75,19.388,13.089,10.685,3.071,3.645,20.884,24.788,3.848,4.567
DQ6-TB24-TH6,6.0,24.0,6.0,4.704,11.945,3.75,9.524,5.722,14.531,8.056,7.592,17.733,16.712,12.41,11.696,13.247,4.019,93.26,28.293,12.159,3.689
DQ6-TB24-TH12,12.0,24.0,6.0,13.835,14.214,13.434,13.802,13.611,13.984,8.992,6.802,39.841,30.14,6.686,5.058,9.695,8.705,32.013,28.744,5.068,4.551
DQ6-TB24-TH24,24.0,24.0,6.0,4.424,23.473,2.055,10.902,3.699,19.626,6.85,13.039,12.27,23.354,9.25,17.607,9.123,24.687,7.728,20.912,3.105,8.401
DQ12-TB3-TH3,3.0,3.0,12.0,1.045,5.884,1.195,6.733,0.956,5.383,3.917,2.51,6.273,4.019,17.901,11.47,4.465,2.212,5.374,2.662,26.495,13.126
