DQ,TBZ,THI,True_THI_uM,True_TBZ_uM,True_DQ_uM,THI_VIPband_uM,TBZ_VIPband_uM,DQ_VIPband_uM,THI_NNLS_uM,TBZ_NNLS_uM,DQ_NNLS_uM,THI_NNLSRF_uM,TBZ_NNLSRF_uM,DQ_NNLSRF_uM,THI_MCR_uM,TBZ_MCR_uM,DQ_MCR_uM,THI_PLS_uM,TBZ_PLS_uM,DQ_PLS_uM,THI_RF_uM,TBZ_RF_uM,DQ_RF_uM,THI_CNN_uM,TBZ_CNN_uM,DQ_CNN_uM,THI_MLP_uM,TBZ_MLP_uM,DQ_MLP_uM
3,3,3,3.0,3.0,3.0,4.827,7.921,12.363,5.928,13.916,11.271,5.807,9.336,14.021,5.698,12.036,10.012,4.668,9.152,8.385,5.497,6.213,10.007,5.816,3.55,6.549,4.733,11.272,8.956
3,3,6,6.0,3.0,3.0,8.236,4.214,5.349,9.2,3.769,4.588,9.037,3.857,4.68,8.672,4.116,4.801,7.103,4.468,3.744,6.731,3.769,4.195,7.77,4.055,3.349,7.329,4.724,3.367
3,3,12,12.0,3.0,3.0,13.408,4.929,7.151,15.019,3.718,4.625,14.821,3.262,4.661,13.953,3.717,4.194,13.299,3.738,3.976,15.6,4.5,4.455,16.374,3.138,4.415,15.009,6.267,4.484
3,3,24,24.0,3.0,3.0,51.151,18.369,11.803,45.811,21.165,17.869,46.615,20.554,18.286,49.89,17.765,19.171,43.639,12.344,5.206,41.768,12.262,10.183,34.127,5.305,3.181,52.928,17.017,8.352
3,6,3,3.0,6.0,3.0,4.626,11.737,7.006,7.483,26.303,18.691,6.651,18.395,13.035,7.865,25.053,16.656,9.093,9.953,4.838,8.367,8.627,6.115,6.355,4.86,3.731,7.587,10.108,4.45
3,6,6,6.0,6.0,3.0,7.148,3.276,4.395,7.701,2.439,3.708,7.129,2.531,4.256,7.187,2.554,4.115,7.689,6.443,3.572,7.64,4.071,4.516,6.809,3.589,3.178,7.885,4.991,4.115
3,6,12,12.0,6.0,3.0,16.536,3.858,6.705,18.11,4.003,6.518,17.977,3.9,5.858,16.988,3.719,5.524,13.993,8.171,5.714,13.493,3.96,3.663,13.915,4.031,3.394,13.797,6.58,5.188
3,6,24,24.0,6.0,3.0,27.061,11.769,21.736,35.107,11.528,26.785,31.319,12.406,33.348,34.103,13.07,31.01,26.91,5.343,9.366,25.686,7.077,11.393,32.489,5.746,10.211,27.663,7.125,7.271
3,12,3,3.0,12.0,3.0,3.454,7.66,7.165,4.515,10.493,6.287,3.735,8.393,6.066,4.371,10.35,6.137,8.623,15.424,6.214,6.051,10.606,7.156,4.969,11.32,5.807,7.036,11.186,5.824
3,12,6,6.0,12.0,3.0,4.234,4.584,6.603,5.442,5.735,5.264,4.663,4.884,5.353,4.832,5.696,5.272,5.211,7.363,5.525,6.221,9.002,6.609,5.8,9.856,6.369,6.049,7.257,5.464
3,12,12,12.0,12.0,3.0,12.477,3.874,4.575,12.08,3.806,3.804,11.849,3.747,3.478,11.65,3.74,3.794,10.171,6.093,3.688,10.765,4.595,3.663,12.029,9.693,5.722,9.978,5.328,3.489
3,12,24,24.0,12.0,3.0,28.836,6.092,14.541,31.062,6.698,15.244,30.589,6.738,13.549,23.343,5.67,12.297,24.182,10.051,4.064,27.703,7.321,7.048,19.382,4.006,7.211,34.267,10.66,8.83
3,24,3,3.0,24.0,3.0,2.762,11.35,9.454,3.172,17.761,9.106,3.087,16.138,10.581,3.34,16.829,9.125,6.052,17.048,5.457,3.662,14.316,5.923,3.351,16.226,6.71,5.704,13.414,6.182
3,24,6,6.0,24.0,3.0,8.314,24.04,3.225,8.785,23.55,3.38,9.59,25.421,3.119,6.705,19.926,3.484,7.315,14.614,2.464,8.626,25.466,3.508,7.526,20.387,2.168,6.915,10.515,2.839
3,24,12,12.0,24.0,3.0,7.05,45.955,8.868,11.92,82.928,6.469,12.082,88.699,6.559,13.054,72.032,6.88,9.056,53.222,5.047,9.123,29.11,7.324,7.2,36.197,6.887,9.268,40.202,5.735
3,24,24,24.0,24.0,3.0,17.922,17.431,7.836,21.568,25.956,8.819,22.621,27.195,9.471,17.399,16.636,6.834,17.04,16.371,5.635,17.666,17.778,9.792,18.364,17.151,7.833,19.244,17.605,9.327
6,3,3,3.0,3.0,6.0,3.487,8.615,12.279,3.032,6.539,5.702,3.581,8.393,9.645,2.929,5.282,5.302,5.337,4.039,6.902,4.203,5.298,6.947,4.19,3.447,5.178,4.48,5.9,7.288
6,3,6,6.0,3.0,6.0,4.848,4.6,6.993,4.588,3.065,4.603,4.363,2.825,4.815,4.933,3.05,4.869,4.846,3.503,5.282,5.049,3.44,5.224,5.032,4.037,5.496,4.233,4.205,5.372
6,3,12,12.0,3.0,6.0,10.171,3.186,4.587,12.058,2.916,4.021,12.127,2.91,3.981,11.986,2.884,3.876,11.415,2.811,4.914,10.122,3.383,3.978,10.138,2.653,3.463,9.352,4.003,4.752
6,3,24,24.0,3.0,6.0,15.548,3.836,4.873,16.342,4.423,5.182,16.585,4.576,5.416,14.855,4.436,5.209,15.072,3.319,5.131,10.367,3.13,3.699,14.605,4.589,3.086,12.736,3.312,3.981
6,6,3,3.0,6.0,6.0,2.618,5.371,6.5,2.894,6.031,6.133,2.915,6.111,6.339,2.575,4.831,4.915,2.565,3.332,5.049,2.594,3.897,4.994,3.075,6.748,11.514,2.964,3.344,5.739
6,6,6,6.0,6.0,6.0,3.505,6.474,3.676,3.331,6.254,3.354,3.306,6.351,3.329,3.291,6.555,3.41,3.169,2.98,5.027,3.152,3.441,4.303,4.923,9.032,6.91,3.2,3.48,5.426
6,6,12,12.0,6.0,6.0,14.728,5.126,5.771,16.157,6.288,5.692,16.478,6.207,5.679,15.86,7.263,5.623,15.598,6.992,4.834,15.137,6.399,6.715,13.677,4.546,5.806,15.763,8.402,4.935
6,6,24,24.0,6.0,6.0,35.389,11.841,12.507,37.799,9.317,11.848,35.507,8.547,10.676,34.375,9.77,8.885,34.044,5.76,4.649,33.355,5.062,4.263,34.464,4.483,5.385,36.206,6.975,4.771
6,12,3,3.0,12.0,6.0,3.067,8.939,4.891,2.979,7.637,4.511,2.926,7.728,4.353,2.975,7.0,3.788,3.835,5.131,4.205,2.847,6.277,4.226,3.88,7.576,6.115,3.824,4.45,5.81
6,12,6,6.0,12.0,6.0,3.379,6.89,4.894,2.961,5.613,3.917,2.893,5.787,3.893,2.894,5.149,3.666,3.345,5.094,3.605,3.183,5.1,3.738,3.863,6.733,4.959,3.792,3.755,4.037
6,12,12,12.0,12.0,6.0,16.535,11.444,9.727,16.126,9.249,9.246,16.42,9.404,9.02,16.087,11.42,8.556,22.043,22.404,7.028,20.972,25.12,11.627,17.669,8.154,5.494,21.045,24.458,6.98
6,12,24,24.0,12.0,6.0,40.396,24.244,9.117,33.576,19.957,7.831,33.113,18.92,7.521,33.543,18.137,6.221,25.1,9.298,4.571,28.082,15.746,7.989,28.591,8.539,3.314,33.695,12.082,8.793
6,24,3,3.0,24.0,6.0,2.781,22.707,6.513,2.664,21.975,7.235,2.575,20.352,6.843,2.938,21.047,4.768,2.433,9.858,9.532,2.769,9.205,6.798,2.542,24.957,20.204,2.653,8.781,11.166
6,24,6,6.0,24.0,6.0,5.737,14.327,7.975,7.162,19.651,7.16,6.748,19.986,7.543,7.321,18.896,6.668,5.561,20.782,8.565,7.481,24.107,8.243,8.247,21.728,4.919,8.816,26.472,6.372
6,24,12,12.0,24.0,6.0,10.123,37.725,12.914,10.928,43.137,13.163,10.961,39.161,12.41,10.748,28.906,14.203,13.411,38.355,7.915,12.389,24.847,11.479,10.776,41.951,15.196,12.043,34.135,11.545
6,24,24,24.0,24.0,6.0,4.97,7.787,3.359,4.282,7.226,4.3,4.332,7.265,4.139,5.606,9.002,5.736,5.309,6.118,1.877,4.722,5.466,3.902,6.047,13.773,3.095,5.079,4.121,2.709
12,3,3,3.0,3.0,12.0,5.391,10.044,17.277,3.273,3.265,8.793,4.754,4.696,12.656,3.464,3.653,11.169,4.179,4.983,11.504,4.426,6.754,12.139,3.938,5.641,12.997,4.274,11.099,13.442
12,3,6,6.0,3.0,12.0,4.011,4.232,14.421,4.461,4.85,17.876,4.084,4.352,17.861,4.26,4.667,17.097,4.406,7.792,11.473,4.715,6.733,13.466,4.234,5.457,16.651,5.326,9.434,12.785
12,3,12,12.0,3.0,12.0,16.417,5.822,9.272,17.273,4.661,6.741,17.14,5.102,7.958,18.122,6.664,7.814,13.291,4.578,15.112,13.49,5.597,9.891,16.763,5.304,9.195,17.389,4.752,6.606
