DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
0.0,25.0,75.0,true,DQ0-TB50-TH150,binary,0.6864
11.79,44.57,43.64,pred,DQ0-TB50-TH150,binary,0.6864
,,,,,,
0.0,16.67,83.33,true,DQ0-TB50-TH250,binary,0.8563
2.16,2.3,95.54,pred,DQ0-TB50-TH250,binary,0.8563
,,,,,,
0.0,9.09,90.91,true,DQ0-TB50-TH500,binary,0.8966
10.34,2.84,86.82,pred,DQ0-TB50-TH500,binary,0.8966
,,,,,,
0.0,75.0,25.0,true,DQ0-TB150-TH50,binary,0.7375
9.29,48.75,41.95,pred,DQ0-TB150-TH50,binary,0.7375
,,,,,,
0.0,83.33,16.67,true,DQ0-TB250-TH50,binary,0.5718
16.84,40.52,42.65,pred,DQ0-TB250-TH50,binary,0.5718
,,,,,,
0.0,90.91,9.09,true,DQ0-TB500-TH50,binary,0.9569
2.15,93.07,4.78,pred,DQ0-TB500-TH50,binary,0.9569
,,,,,,
0.0,50.0,50.0,true,DQ0-TB500-TH500,binary,0.9565
2.35,52.0,45.64,pred,DQ0-TB500-TH500,binary,0.9565
,,,,,,
33.33,33.33,33.33,true,DQ3-TB3-TH3,ternary,0.8917
44.17,32.23,23.6,pred,DQ3-TB3-TH3,ternary,0.8917
,,,,,,
25.0,25.0,50.0,true,DQ3-TB3-TH6,ternary,0.9373
24.98,31.27,43.75,pred,DQ3-TB3-TH6,ternary,0.9373
,,,,,,
16.67,16.67,66.67,true,DQ3-TB3-TH12,ternary,0.9558
20.56,17.19,62.25,pred,DQ3-TB3-TH12,ternary,0.9558
,,,,,,
10.0,10.0,80.0,true,DQ3-TB3-TH24,ternary,0.7865
24.61,16.74,58.65,pred,DQ3-TB3-TH24,ternary,0.7865
,,,,,,
25.0,50.0,25.0,true,DQ3-TB6-TH3,ternary,0.7406
34.69,24.06,41.25,pred,DQ3-TB6-TH3,ternary,0.7406
,,,,,,
20.0,40.0,40.0,true,DQ3-TB6-TH6,ternary,0.8866
31.34,28.96,39.7,pred,DQ3-TB6-TH6,ternary,0.8866
,,,,,,
14.29,28.57,57.14,true,DQ3-TB6-TH12,ternary,0.9045
23.84,25.66,50.5,pred,DQ3-TB6-TH12,ternary,0.9045
,,,,,,
9.09,18.18,72.73,true,DQ3-TB6-TH24,ternary,0.8206
27.03,12.31,60.66,pred,DQ3-TB6-TH24,ternary,0.8206
,,,,,,
16.67,66.67,16.67,true,DQ3-TB12-TH3,ternary,0.8588
25.3,52.54,22.16,pred,DQ3-TB12-TH3,ternary,0.8588
,,,,,,
14.29,57.14,28.57,true,DQ3-TB12-TH6,ternary,0.7506
29.28,32.2,38.52,pred,DQ3-TB12-TH6,ternary,0.7506
,,,,,,
11.11,44.44,44.44,true,DQ3-TB12-TH12,ternary,0.8619
15.74,30.63,53.63,pred,DQ3-TB12-TH12,ternary,0.8619
,,,,,,
7.69,30.77,61.54,true,DQ3-TB12-TH24,ternary,0.9705
10.64,28.23,61.13,pred,DQ3-TB12-TH24,ternary,0.9705
,,,,,,
10.0,80.0,10.0,true,DQ3-TB24-TH3,ternary,0.5831
30.85,38.3,30.84,pred,DQ3-TB24-TH3,ternary,0.5831
,,,,,,
9.09,72.73,18.18,true,DQ3-TB24-TH6,ternary,0.9092
10.71,80.19,9.09,pred,DQ3-TB24-TH6,ternary,0.9092
,,,,,,
7.69,61.54,30.77,true,DQ3-TB24-TH12,ternary,0.7845
4.78,83.09,12.13,pred,DQ3-TB24-TH12,ternary,0.7845
,,,,,,
5.88,47.06,47.06,true,DQ3-TB24-TH24,ternary,0.8705
18.83,36.8,44.37,pred,DQ3-TB24-TH24,ternary,0.8705
,,,,,,
50.0,25.0,25.0,true,DQ6-TB3-TH3,ternary,0.9701
48.92,23.09,27.99,pred,DQ6-TB3-TH3,ternary,0.9701
,,,,,,
40.0,20.0,40.0,true,DQ6-TB3-TH6,ternary,0.8316
