DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
0.0,25.0,75.0,true,DQ0-TB50-TH150,binary,0.87
0.0,12.0,88.0,pred,DQ0-TB50-TH150,binary,0.87
,,,,,,
0.0,16.67,83.33,true,DQ0-TB50-TH250,binary,0.8333
0.0,0.0,100.0,pred,DQ0-TB50-TH250,binary,0.8333
,,,,,,
0.0,9.09,90.91,true,DQ0-TB50-TH500,binary,0.9091
0.0,0.0,100.0,pred,DQ0-TB50-TH500,binary,0.9091
,,,,,,
0.0,75.0,25.0,true,DQ0-TB150-TH50,binary,0.74
0.0,49.0,51.0,pred,DQ0-TB150-TH50,binary,0.74
,,,,,,
0.0,83.33,16.67,true,DQ0-TB250-TH50,binary,0.4467
0.0,28.0,72.0,pred,DQ0-TB250-TH50,binary,0.4467
,,,,,,
0.0,90.91,9.09,true,DQ0-TB500-TH50,binary,0.9409
0.0,85.0,15.0,pred,DQ0-TB500-TH50,binary,0.9409
,,,,,,
0.0,50.0,50.0,true,DQ0-TB500-TH500,binary,0.62
0.0,12.0,88.0,pred,DQ0-TB500-TH500,binary,0.62
,,,,,,
33.33,33.33,33.33,true,DQ3-TB3-TH3,ternary,0.6134
22.0,6.0,72.0,pred,DQ3-TB3-TH3,ternary,0.6134
,,,,,,
25.0,25.0,50.0,true,DQ3-TB3-TH6,ternary,0.85
30.0,10.0,60.0,pred,DQ3-TB3-TH6,ternary,0.85
,,,,,,
16.67,16.67,66.67,true,DQ3-TB3-TH12,ternary,0.9133
18.0,8.0,74.0,pred,DQ3-TB3-TH12,ternary,0.9133
,,,,,,
10.0,10.0,80.0,true,DQ3-TB3-TH24,ternary,0.86
5.0,1.0,94.0,pred,DQ3-TB3-TH24,ternary,0.86
,,,,,,
25.0,50.0,25.0,true,DQ3-TB6-TH3,ternary,0.67
0.0,42.0,58.0,pred,DQ3-TB6-TH3,ternary,0.67
,,,,,,
20.0,40.0,40.0,true,DQ3-TB6-TH6,ternary,0.7
33.0,10.0,57.0,pred,DQ3-TB6-TH6,ternary,0.7
,,,,,,
14.29,28.57,57.14,true,DQ3-TB6-TH12,ternary,0.7493
26.0,4.0,71.0,pred,DQ3-TB6-TH12,ternary,0.7493
,,,,,,
9.09,18.18,72.73,true,DQ3-TB6-TH24,ternary,0.8382
16.0,2.0,82.0,pred,DQ3-TB6-TH24,ternary,0.8382
,,,,,,
16.67,66.67,16.67,true,DQ3-TB12-TH3,ternary,0.6966
6.0,47.0,47.0,pred,DQ3-TB12-TH3,ternary,0.6966
,,,,,,
14.29,57.14,28.57,true,DQ3-TB12-TH6,ternary,0.7886
23.0,36.0,41.0,pred,DQ3-TB12-TH6,ternary,0.7886
,,,,,,
11.11,44.44,44.44,true,DQ3-TB12-TH12,ternary,0.7255
17.0,17.0,66.0,pred,DQ3-TB12-TH12,ternary,0.7255
,,,,,,
7.69,30.77,61.54,true,DQ3-TB12-TH24,ternary,0.7523
14.0,6.0,80.0,pred,DQ3-TB12-TH24,ternary,0.7523
,,,,,,
10.0,80.0,10.0,true,DQ3-TB24-TH3,ternary,0.89
7.0,72.0,21.0,pred,DQ3-TB24-TH3,ternary,0.89
,,,,,,
9.09,72.73,18.18,true,DQ3-TB24-TH6,ternary,0.8818
3.0,67.0,30.0,pred,DQ3-TB24-TH6,ternary,0.8818
,,,,,,
7.69,61.54,30.77,true,DQ3-TB24-TH12,ternary,0.8554
0.0,76.0,24.0,pred,DQ3-TB24-TH12,ternary,0.8554
,,,,,,
5.88,47.06,47.06,true,DQ3-TB24-TH24,ternary,0.8806
0.0,41.0,59.0,pred,DQ3-TB24-TH24,ternary,0.8806
,,,,,,
50.0,25.0,25.0,true,DQ6-TB3-TH3,ternary,0.74
24.0,28.0,48.0,pred,DQ6-TB3-TH3,ternary,0.74
,,,,,,
40.0,20.0,40.0,true,DQ6-TB3-TH6,ternary,0.755
25.0,11.0,65.0,pred,DQ6-TB3-TH6,ternary,0.755
,,,,,,
28.57,14.29,57.14,true,DQ6-TB3-TH12,ternary,0.7514
17.0,1.0,82.0,pred,DQ6-TB3-TH12,ternary,0.7514
,,,,,,
18.18,9.09,72.73,true,DQ6-TB3-TH24,ternary,0.9391
19.0,3.0,78.0,pred,DQ6-TB3-TH24,ternary,0.9391
,,,,,,
40.0,40.0,20.0,true,DQ6-TB6-TH3,ternary,0.79
19.0,50.0,31.0,pred,DQ6-TB6-TH3,ternary,0.79
,,,,,,
33.33,33.33,33.33,true,DQ6-TB6-TH6,ternary,0.8634
20.0,33.0,47.0,pred,DQ6-TB6-TH6,ternary,0.8634
,,,,,,
25.0,25.0,50.0,true,DQ6-TB6-TH12,ternary,0.76
11.0,15.0,74.0,pred,DQ6-TB6-TH12,ternary,0.76
,,,,,,
16.67,16.67,66.67,true,DQ6-TB6-TH24,ternary,0.8766
13.0,8.0,79.0,pred,DQ6-TB6-TH24,ternary,0.8766
,,,,,,
28.57,57.14,14.29,true,DQ6-TB12-TH3,ternary,0.6679
3.0,49.0,47.0,pred,DQ6-TB12-TH3,ternary,0.6679
,,,,,,
25.0,50.0,25.0,true,DQ6-TB12-TH6,ternary,0.83
8.0,54.0,38.0,pred,DQ6-TB12-TH6,ternary,0.83
,,,,,,
20.0,40.0,40.0,true,DQ6-TB12-TH12,ternary,0.82
11.0,31.0,58.0,pred,DQ6-TB12-TH12,ternary,0.82
,,,,,,
14.29,28.57,57.14,true,DQ6-TB12-TH24,ternary,0.7714
1.0,19.0,80.0,pred,DQ6-TB12-TH24,ternary,0.7714
,,,,,,
18.18,72.73,9.09,true,DQ6-TB24-TH3,ternary,0.9132
9.0,74.0,16.0,pred,DQ6-TB24-TH3,ternary,0.9132
,,,,,,
16.67,66.67,16.67,true,DQ6-TB24-TH6,ternary,0.9133
18.0,58.0,24.0,pred,DQ6-TB24-TH6,ternary,0.9133
,,,,,,
14.29,57.14,28.57,true,DQ6-TB24-TH12,ternary,0.8571
0.0,71.0,29.0,pred,DQ6-TB24-TH12,ternary,0.8571
,,,,,,
11.11,44.44,44.44,true,DQ6-TB24-TH24,ternary,0.9656
12.0,47.0,41.0,pred,DQ6-TB24-TH24,ternary,0.9656
,,,,,,
33.33,33.33,33.33,true,DQ10-TB10-TH10,ternary,0.7633
23.0,20.0,57.0,pred,DQ10-TB10-TH10,ternary,0.7633
,,,,,,
66.67,16.67,16.67,true,DQ12-TB3-TH3,ternary,0.6183
28.0,38.0,33.0,pred,DQ12-TB3-TH3,ternary,0.6183
,,,,,,
57.14,14.29,28.57,true,DQ12-TB3-TH6,ternary,0.5086
8.0,30.0,62.0,pred,DQ12-TB3-TH6,ternary,0.5086
,,,,,,
44.44,11.11,44.44,true,DQ12-TB3-TH12,ternary,0.7794
22.0,11.0,66.0,pred,DQ12-TB3-TH12,ternary,0.7794
,,,,,,
30.77,7.69,61.54,true,DQ12-TB3-TH24,ternary,0.7954
11.0,7.0,82.0,pred,DQ12-TB3-TH24,ternary,0.7954
,,,,,,
57.14,28.57,14.29,true,DQ12-TB6-TH3,ternary,0.5586
13.0,69.0,18.0,pred,DQ12-TB6-TH3,ternary,0.5586
,,,,,,
50.0,25.0,25.0,true,DQ12-TB6-TH6,ternary,0.63
13.0,37.0,50.0,pred,DQ12-TB6-TH6,ternary,0.63
,,,,,,
40.0,20.0,40.0,true,DQ12-TB6-TH12,ternary,0.695
10.0,29.0,62.0,pred,DQ12-TB6-TH12,ternary,0.695
,,,,,,
28.57,14.29,57.14,true,DQ12-TB6-TH24,ternary,0.8114
18.0,6.0,76.0,pred,DQ12-TB6-TH24,ternary,0.8114
,,,,,,
44.44,44.44,11.11,true,DQ12-TB12-TH3,ternary,0.7056
15.0,69.0,16.0,pred,DQ12-TB12-TH3,ternary,0.7056
,,,,,,
40.0,40.0,20.0,true,DQ12-TB12-TH6,ternary,0.83
23.0,44.0,33.0,pred,DQ12-TB12-TH6,ternary,0.83
,,,,,,
33.33,33.33,33.33,true,DQ12-TB12-TH12,ternary,0.6916
3.0,45.0,53.0,pred,DQ12-TB12-TH12,ternary,0.6916
,,,,,,
25.0,25.0,50.0,true,DQ12-TB12-TH24,ternary,0.805
8.0,22.0,69.0,pred,DQ12-TB12-TH24,ternary,0.805
,,,,,,
30.77,61.54,7.69,true,DQ12-TB24-TH3,ternary,0.7123
2.0,85.0,13.0,pred,DQ12-TB24-TH3,ternary,0.7123
,,,,,,
28.57,57.14,14.29,true,DQ12-TB24-TH6,ternary,0.7114
3.0,86.0,11.0,pred,DQ12-TB24-TH6,ternary,0.7114
,,,,,,
25.0,50.0,25.0,true,DQ12-TB24-TH12,ternary,0.75
0.0,63.0,37.0,pred,DQ12-TB24-TH12,ternary,0.75
,,,,,,
20.0,40.0,40.0,true,DQ12-TB24-TH24,ternary,0.82
2.0,56.0,42.0,pred,DQ12-TB24-TH24,ternary,0.82
,,,,,,
80.0,10.0,10.0,true,DQ24-TB3-TH3,ternary,0.81
61.0,11.0,28.0,pred,DQ24-TB3-TH3,ternary,0.81
,,,,,,
72.73,9.09,18.18,true,DQ24-TB3-TH6,ternary,0.6818
