DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
0.0,25.0,75.0,true,DQ0-TB50-TH150,binary,0.7686
4.58,43.56,51.86,pred,DQ0-TB50-TH150,binary,0.7686
,,,,,,
0.0,16.67,83.33,true,DQ0-TB50-TH250,binary,0.7692
19.64,20.11,60.25,pred,DQ0-TB50-TH250,binary,0.7692
,,,,,,
0.0,9.09,90.91,true,DQ0-TB50-TH500,binary,0.7846
21.53,6.74,71.72,pred,DQ0-TB50-TH500,binary,0.7846
,,,,,,
0.0,75.0,25.0,true,DQ0-TB150-TH50,binary,0.8144
15.62,56.43,27.94,pred,DQ0-TB150-TH50,binary,0.8144
,,,,,,
0.0,83.33,16.67,true,DQ0-TB250-TH50,binary,0.5915
20.07,42.48,37.46,pred,DQ0-TB250-TH50,binary,0.5915
,,,,,,
0.0,90.91,9.09,true,DQ0-TB500-TH50,binary,0.7602
11.07,66.93,22.0,pred,DQ0-TB500-TH50,binary,0.7602
,,,,,,
0.0,50.0,50.0,true,DQ0-TB500-TH500,binary,0.9572
4.28,48.54,47.18,pred,DQ0-TB500-TH500,binary,0.9572
,,,,,,
33.33,33.33,33.33,true,DQ3-TB3-TH3,ternary,0.9039
42.94,27.17,29.88,pred,DQ3-TB3-TH3,ternary,0.9039
,,,,,,
25.0,25.0,50.0,true,DQ3-TB3-TH6,ternary,0.9345
31.54,23.81,44.64,pred,DQ3-TB3-TH6,ternary,0.9345
,,,,,,
16.67,16.67,66.67,true,DQ3-TB3-TH12,ternary,0.914
23.41,18.53,58.06,pred,DQ3-TB3-TH12,ternary,0.914
,,,,,,
10.0,10.0,80.0,true,DQ3-TB3-TH24,ternary,0.8308
18.7,18.22,63.08,pred,DQ3-TB3-TH24,ternary,0.8308
,,,,,,
25.0,50.0,25.0,true,DQ3-TB6-TH3,ternary,0.9343
25.92,43.43,30.65,pred,DQ3-TB6-TH3,ternary,0.9343
,,,,,,
20.0,40.0,40.0,true,DQ3-TB6-TH6,ternary,0.8997
27.44,29.97,42.59,pred,DQ3-TB6-TH6,ternary,0.8997
,,,,,,
14.29,28.57,57.14,true,DQ3-TB6-TH12,ternary,0.8728
27.02,23.98,49.01,pred,DQ3-TB6-TH12,ternary,0.8728
,,,,,,
9.09,18.18,72.73,true,DQ3-TB6-TH24,ternary,0.7685
32.24,9.39,58.37,pred,DQ3-TB6-TH24,ternary,0.7685
,,,,,,
16.67,66.67,16.67,true,DQ3-TB12-TH3,ternary,0.8352
15.53,51.32,33.15,pred,DQ3-TB12-TH3,ternary,0.8352
,,,,,,
14.29,57.14,28.57,true,DQ3-TB12-TH6,ternary,0.7838
35.91,36.19,27.91,pred,DQ3-TB12-TH6,ternary,0.7838
,,,,,,
11.11,44.44,44.44,true,DQ3-TB12-TH12,ternary,0.8865
22.46,34.31,43.23,pred,DQ3-TB12-TH12,ternary,0.8865
,,,,,,
7.69,30.77,61.54,true,DQ3-TB12-TH24,ternary,0.8388
23.81,20.25,55.94,pred,DQ3-TB12-TH24,ternary,0.8388
,,,,,,
10.0,80.0,10.0,true,DQ3-TB24-TH3,ternary,0.7159
22.22,51.59,26.19,pred,DQ3-TB24-TH3,ternary,0.7159
,,,,,,
9.09,72.73,18.18,true,DQ3-TB24-TH6,ternary,0.8809
17.65,60.82,21.53,pred,DQ3-TB24-TH6,ternary,0.8809
,,,,,,
7.69,61.54,30.77,true,DQ3-TB24-TH12,ternary,0.8806
