condition,subset,true_DQ,true_TBZ,true_THI,pred_DQ,pred_TBZ,pred_THI,accuracy,band
DQ3-TB3-TH3,ternary,33.33,33.33,33.33,44.17,32.23,23.60,0.8099,within 1.25-fold
DQ3-TB3-TH6,ternary,25.00,25.00,50.00,24.98,31.27,43.75,0.8912,within 1.25-fold
DQ3-TB3-TH12,ternary,16.67,16.67,66.67,20.56,17.19,62.25,0.9048,within 1.25-fold
DQ3-TB3-TH24,ternary,10.00,10.00,80.00,24.61,16.74,58.65,0.5789,within 2-fold
DQ3-TB6-TH3,ternary,25.00,50.00,25.00,34.69,24.06,41.25,0.6026,within 2-fold
DQ3-TB6-TH6,ternary,20.00,40.00,40.00,31.34,28.96,39.70,0.7849,within 1.5-fold
DQ3-TB6-TH12,ternary,14.29,28.57,57.14,23.84,25.66,50.50,0.7938,within 1.5-fold
DQ3-TB6-TH24,ternary,9.09,18.18,72.73,27.03,12.31,60.66,0.6158,within 2-fold
DQ3-TB12-TH3,ternary,16.67,66.67,16.67,25.30,52.54,22.16,0.7331,within 1.5-fold
DQ3-TB12-TH6,ternary,14.29,57.14,28.57,29.28,32.20,38.52,0.5978,within 2-fold
DQ3-TB12-TH12,ternary,11.11,44.44,44.44,15.74,30.63,53.63,0.7412,within 1.5-fold
DQ3-TB12-TH24,ternary,7.69,30.77,61.54,10.64,28.23,61.13,0.8778,within 1.25-fold
DQ3-TB24-TH3,ternary,10.00,80.00,10.00,30.85,38.30,30.84,0.3757,Beyond 2-fold
DQ3-TB24-TH6,ternary,9.09,72.73,18.18,10.71,80.19,9.09,0.7519,within 1.5-fold
DQ3-TB24-TH12,ternary,7.69,61.54,30.77,4.78,83.09,12.13,0.5855,within 2-fold
DQ3-TB24-TH24,ternary,5.88,47.06,47.06,18.83,36.80,44.37,0.6790,within 1.5-fold
DQ6-TB3-TH3,ternary,50.00,25.00,25.00,48.92,23.09,27.99,0.9317,within 1.25-fold
DQ6-TB3-TH6,ternary,40.00,20.00,40.00,32.71,36.84,30.45,0.7073,within 1.5-fold
DQ6-TB3-TH12,ternary,28.57,14.29,57.14,34.20,23.37,42.43,0.7298,within 1.5-fold
DQ6-TB3-TH24,ternary,18.18,9.09,72.73,30.72,9.91,59.37,0.7751,within 1.5-fold
DQ6-TB6-TH3,ternary,40.00,40.00,20.00,49.47,24.33,26.21,0.7266,within 1.5-fold
DQ6-TB6-TH6,ternary,33.33,33.33,33.33,46.30,36.29,17.41,0.7202,within 1.5-fold
DQ6-TB6-TH12,ternary,25.00,25.00,50.00,29.41,31.52,39.07,0.8082,within 1.25-fold
DQ6-TB6-TH24,ternary,16.67,16.67,66.67,14.90,18.68,66.42,0.9275,within 1.25-fold
DQ6-TB12-TH3,ternary,28.57,57.14,14.29,42.79,29.51,27.69,0.5667,within 2-fold
DQ6-TB12-TH6,ternary,25.00,50.00,25.00,32.38,40.19,27.43,0.8291,within 1.25-fold
DQ6-TB12-TH12,ternary,20.00,40.00,40.00,13.89,46.47,39.64,0.8488,within 1.25-fold
DQ6-TB12-TH24,ternary,14.29,28.57,57.14,8.28,24.27,67.45,0.7587,within 1.5-fold
DQ6-TB24-TH3,ternary,18.18,72.73,9.09,33.15,52.57,14.28,0.6359,within 2-fold
DQ6-TB24-TH6,ternary,16.67,66.67,16.67,43.41,40.70,15.89,0.6492,within 2-fold
DQ6-TB24-TH12,ternary,14.29,57.14,28.57,12.57,49.47,37.96,0.8327,within 1.25-fold
DQ6-TB24-TH24,ternary,11.11,44.44,44.44,15.80,36.02,48.18,0.8120,within 1.25-fold
DQ12-TB3-TH3,ternary,66.67,16.67,16.67,48.51,24.54,26.94,0.6752,within 1.5-fold
DQ12-TB3-TH6,ternary,57.14,14.29,28.57,50.11,21.39,28.50,0.8475,within 1.25-fold
DQ12-TB3-TH12,ternary,44.44,11.11,44.44,47.96,17.54,34.49,0.7787,within 1.5-fold
DQ12-TB3-TH24,ternary,30.77,7.69,61.54,37.64,21.52,40.84,0.6128,within 2-fold
DQ12-TB6-TH3,ternary,57.14,28.57,14.29,39.02,50.78,10.21,0.6533,within 2-fold
