condition,subset,true_DQ,true_TBZ,true_THI,pred_DQ,pred_TBZ,pred_THI,accuracy,band
DQ3-TB3-TH3,ternary,33.33,33.33,33.33,22.00,6.00,72.00,0.4343,Beyond 2-fold
DQ3-TB3-TH6,ternary,25.00,25.00,50.00,30.00,10.00,60.00,0.6889,within 1.5-fold
DQ3-TB3-TH12,ternary,16.67,16.67,66.67,18.00,8.00,74.00,0.7690,within 1.5-fold
DQ3-TB3-TH24,ternary,10.00,10.00,80.00,5.00,1.00,94.00,0.4837,Beyond 2-fold
DQ3-TB6-TH3,ternary,25.00,50.00,25.00,0.00,42.00,58.00,0.4237,Beyond 2-fold
DQ3-TB6-TH6,ternary,20.00,40.00,40.00,33.00,10.00,57.00,0.5193,within 2-fold
DQ3-TB6-TH12,ternary,14.29,28.57,57.14,26.00,4.00,71.00,0.4981,Beyond 2-fold
DQ3-TB6-TH24,ternary,9.09,18.18,72.73,16.00,2.00,82.00,0.5217,within 2-fold
DQ3-TB12-TH3,ternary,16.67,66.67,16.67,6.00,47.00,47.00,0.4732,Beyond 2-fold
DQ3-TB12-TH6,ternary,14.29,57.14,28.57,23.00,36.00,41.00,0.6494,within 2-fold
DQ3-TB12-TH12,ternary,11.11,44.44,44.44,17.00,17.00,66.00,0.5698,within 2-fold
DQ3-TB12-TH24,ternary,7.69,30.77,61.54,14.00,6.00,80.00,0.5045,within 2-fold
DQ3-TB24-TH3,ternary,10.00,80.00,10.00,7.00,72.00,21.00,0.6921,within 1.5-fold
DQ3-TB24-TH6,ternary,9.09,72.73,18.18,3.00,67.00,30.00,0.6191,within 2-fold
DQ3-TB24-TH12,ternary,7.69,61.54,30.77,0.00,76.00,24.00,0.5299,within 2-fold
DQ3-TB24-TH24,ternary,5.88,47.06,47.06,0.00,41.00,59.00,0.5563,within 2-fold
DQ6-TB3-TH3,ternary,50.00,25.00,25.00,24.00,28.00,48.00,0.6312,within 2-fold
DQ6-TB3-TH6,ternary,40.00,20.00,40.00,25.00,11.00,65.00,0.5968,within 2-fold
DQ6-TB3-TH12,ternary,28.57,14.29,57.14,17.00,1.00,82.00,0.4539,Beyond 2-fold
DQ6-TB3-TH24,ternary,18.18,9.09,72.73,19.00,3.00,78.00,0.7398,within 1.5-fold
DQ6-TB6-TH3,ternary,40.00,40.00,20.00,19.00,50.00,31.00,0.6401,within 2-fold
DQ6-TB6-TH6,ternary,33.33,33.33,33.33,20.00,33.00,47.00,0.7664,within 1.5-fold
DQ6-TB6-TH12,ternary,25.00,25.00,50.00,11.00,15.00,74.00,0.5719,within 2-fold
DQ6-TB6-TH24,ternary,16.67,16.67,66.67,13.00,8.00,79.00,0.7012,within 1.5-fold
DQ6-TB12-TH3,ternary,28.57,57.14,14.29,3.00,49.00,47.00,0.4222,Beyond 2-fold
DQ6-TB12-TH6,ternary,25.00,50.00,25.00,8.00,54.00,38.00,0.6346,within 2-fold
DQ6-TB12-TH12,ternary,20.00,40.00,40.00,11.00,31.00,58.00,0.6716,within 1.5-fold
DQ6-TB12-TH24,ternary,14.29,28.57,57.14,1.00,19.00,80.00,0.4831,Beyond 2-fold
DQ6-TB24-TH3,ternary,18.18,72.73,9.09,9.00,74.00,16.00,0.6820,within 1.5-fold
DQ6-TB24-TH6,ternary,16.67,66.67,16.67,18.00,58.00,24.00,0.8302,within 1.25-fold
DQ6-TB24-TH12,ternary,14.29,57.14,28.57,0.00,71.00,29.00,0.5967,within 2-fold
DQ6-TB24-TH24,ternary,11.11,44.44,44.44,12.00,47.00,41.00,0.9313,within 1.25-fold
DQ12-TB3-TH3,ternary,66.67,16.67,16.67,28.00,38.00,33.00,0.4546,Beyond 2-fold
DQ12-TB3-TH6,ternary,57.14,14.29,28.57,8.00,30.00,62.00,0.3590,Beyond 2-fold
DQ12-TB3-TH12,ternary,44.44,11.11,44.44,22.00,11.00,66.00,0.7195,within 1.5-fold
DQ12-TB3-TH24,ternary,30.77,7.69,61.54,11.00,7.00,82.00,0.6728,within 1.5-fold
DQ12-TB6-TH3,ternary,57.14,28.57,14.29,13.00,69.00,18.00,0.4785,Beyond 2-fold
DQ12-TB6-TH6,ternary,50.00,25.00,25.00,13.00,37.00,50.00,0.4786,Beyond 2-fold
DQ12-TB6-TH12,ternary,40.00,20.00,40.00,10.00,29.00,62.00,0.5283,within 2-fold
DQ12-TB6-TH24,ternary,28.57,14.29,57.14,18.00,6.00,76.00,0.6006,within 2-fold
DQ12-TB12-TH3,ternary,44.44,44.44,11.11,15.00,69.00,16.00,0.5587,within 2-fold
DQ12-TB12-TH6,ternary,40.00,40.00,20.00,23.00,44.00,33.00,0.6967,within 1.5-fold
DQ12-TB12-TH12,ternary,33.33,33.33,33.33,3.00,45.00,53.00,0.4865,Beyond 2-fold
DQ12-TB12-TH24,ternary,25.00,25.00,50.00,8.00,22.00,69.00,0.6415,within 2-fold
DQ12-TB24-TH3,ternary,30.77,61.54,7.69,2.00,85.00,13.00,0.4602,Beyond 2-fold
DQ12-TB24-TH6,ternary,28.57,57.14,14.29,3.00,86.00,11.00,0.5131,within 2-fold
DQ12-TB24-TH12,ternary,25.00,50.00,25.00,0.00,63.00,37.00,0.4898,Beyond 2-fold
DQ12-TB24-TH24,ternary,20.00,40.00,40.00,2.00,56.00,42.00,0.5889,within 2-fold
DQ24-TB3-TH3,ternary,80.00,10.00,10.00,61.00,11.00,28.00,0.6762,within 1.5-fold
DQ24-TB3-TH6,ternary,72.73,9.09,18.18,43.00,7.00,50.00,0.5750,within 2-fold
DQ24-TB3-TH12,ternary,61.54,7.69,30.77,15.00,2.00,82.00,0.2930,Beyond 2-fold
DQ24-TB3-TH24,ternary,47.06,5.88,47.06,17.00,4.00,79.00,0.5457,within 2-fold
DQ24-TB6-TH3,ternary,72.73,18.18,9.09,58.00,26.00,16.00,0.6883,within 1.5-fold
DQ24-TB6-TH6,ternary,66.67,16.67,16.67,35.00,22.00,43.00,0.5568,within 2-fold
DQ24-TB6-TH12,ternary,57.14,14.29,28.57,48.00,6.00,45.00,0.6316,within 2-fold
DQ24-TB6-TH24,ternary,44.44,11.11,44.44,22.00,4.00,73.00,0.4880,Beyond 2-fold
DQ24-TB12-TH3,ternary,61.54,30.77,7.69,45.00,40.00,14.00,0.6833,within 1.5-fold
DQ24-TB12-TH6,ternary,57.14,28.57,14.29,48.00,24.00,28.00,0.7301,within 1.5-fold
DQ24-TB12-TH12,ternary,50.00,25.00,25.00,25.00,11.00,64.00,0.4435,Beyond 2-fold
DQ24-TB12-TH24,ternary,40.00,20.00,40.00,29.00,11.00,60.00,0.6472,within 2-fold
DQ24-TB24-TH3,ternary,47.06,47.06,5.88,10.00,77.00,13.00,0.4253,Beyond 2-fold
DQ24-TB24-TH6,ternary,44.44,44.44,11.11,11.00,58.00,30.00,0.4614,Beyond 2-fold
DQ24-TB24-TH12,ternary,40.00,40.00,20.00,24.00,25.00,51.00,0.5391,within 2-fold
DQ24-TB24-TH24,ternary,33.33,33.33,33.33,4.00,45.00,51.00,0.5047,within 2-fold
