condition,subset,true_DQ,true_TBZ,true_THI,pred_DQ,pred_TBZ,pred_THI,accuracy,band
DQ3-TB3-TH3,ternary,33.33,33.33,33.33,42.94,27.17,29.88,0.8293,within 1.25-fold
DQ3-TB3-TH6,ternary,25.00,25.00,50.00,31.54,23.81,44.64,0.8793,within 1.25-fold
DQ3-TB3-TH12,ternary,16.67,16.67,66.67,23.41,18.53,58.06,0.8275,within 1.25-fold
DQ3-TB3-TH24,ternary,10.00,10.00,80.00,18.70,18.22,63.08,0.6240,within 2-fold
DQ3-TB6-TH3,ternary,25.00,50.00,25.00,25.92,43.43,30.65,0.8829,within 1.25-fold
DQ3-TB6-TH6,ternary,20.00,40.00,40.00,27.44,29.97,42.59,0.8058,within 1.25-fold
DQ3-TB6-TH12,ternary,14.29,28.57,57.14,27.02,23.98,49.01,0.7420,within 1.5-fold
DQ3-TB6-TH24,ternary,9.09,18.18,72.73,32.24,9.39,58.37,0.5337,within 2-fold
DQ3-TB12-TH3,ternary,16.67,66.67,16.67,15.53,51.32,33.15,0.7347,within 1.5-fold
DQ3-TB12-TH6,ternary,14.29,57.14,28.57,35.91,36.19,27.91,0.6694,within 1.5-fold
DQ3-TB12-TH12,ternary,11.11,44.44,44.44,22.46,34.31,43.23,0.7465,within 1.5-fold
DQ3-TB12-TH24,ternary,7.69,30.77,61.54,23.81,20.25,55.94,0.6300,within 2-fold
DQ3-TB24-TH3,ternary,10.00,80.00,10.00,22.22,51.59,26.19,0.4922,Beyond 2-fold
DQ3-TB24-TH6,ternary,9.09,72.73,18.18,17.65,60.82,21.53,0.7319,within 1.5-fold
DQ3-TB24-TH12,ternary,7.69,61.54,30.77,9.69,71.48,18.83,0.7555,within 1.5-fold
DQ3-TB24-TH24,ternary,5.88,47.06,47.06,6.68,54.53,38.79,0.8558,within 1.25-fold
DQ6-TB3-TH3,ternary,50.00,25.00,25.00,41.87,32.48,25.65,0.8606,within 1.25-fold
DQ6-TB3-TH6,ternary,40.00,20.00,40.00,33.05,31.47,35.48,0.7829,within 1.5-fold
DQ6-TB3-TH12,ternary,28.57,14.29,57.14,40.22,13.46,46.32,0.8210,within 1.25-fold
DQ6-TB3-TH24,ternary,18.18,9.09,72.73,27.29,5.99,66.72,0.7475,within 1.5-fold
DQ6-TB6-TH3,ternary,40.00,40.00,20.00,39.37,37.11,23.52,0.9208,within 1.25-fold
DQ6-TB6-TH6,ternary,33.33,33.33,33.33,36.70,39.51,23.80,0.8219,within 1.25-fold
DQ6-TB6-TH12,ternary,25.00,25.00,50.00,37.99,26.86,35.15,0.7639,within 1.5-fold
DQ6-TB6-TH24,ternary,16.67,16.67,66.67,18.31,21.16,60.52,0.8687,within 1.25-fold
DQ6-TB12-TH3,ternary,28.57,57.14,14.29,25.05,49.63,25.32,0.7699,within 1.5-fold
DQ6-TB12-TH6,ternary,25.00,50.00,25.00,28.76,48.82,22.42,0.9142,within 1.25-fold
DQ6-TB12-TH12,ternary,20.00,40.00,40.00,18.62,43.54,37.83,0.9318,within 1.25-fold
DQ6-TB12-TH24,ternary,14.29,28.57,57.14,5.11,42.16,52.73,0.6527,within 2-fold
DQ6-TB24-TH3,ternary,18.18,72.73,9.09,28.38,56.54,15.08,0.6736,within 1.5-fold
DQ6-TB24-TH6,ternary,16.67,66.67,16.67,37.22,47.20,15.58,0.6968,within 1.5-fold
DQ6-TB24-TH12,ternary,14.29,57.14,28.57,9.56,63.68,26.76,0.8343,within 1.25-fold
DQ6-TB24-TH24,ternary,11.11,44.44,44.44,1.12,48.26,50.62,0.6332,within 2-fold
DQ12-TB3-TH3,ternary,66.67,16.67,16.67,48.71,26.82,24.47,0.6778,within 1.5-fold
DQ12-TB3-TH6,ternary,57.14,14.29,28.57,45.71,32.13,22.16,0.6735,within 1.5-fold
DQ12-TB3-TH12,ternary,44.44,11.11,44.44,43.87,17.31,38.82,0.8342,within 1.25-fold
DQ12-TB3-TH24,ternary,30.77,7.69,61.54,38.19,22.17,39.63,0.5988,within 2-fold
DQ12-TB6-TH3,ternary,57.14,28.57,14.29,44.13,44.17,11.70,0.7460,within 1.5-fold
DQ12-TB6-TH6,ternary,50.00,25.00,25.00,43.46,31.35,25.19,0.8864,within 1.25-fold
DQ12-TB6-TH12,ternary,40.00,20.00,40.00,38.93,31.41,29.65,0.7837,within 1.5-fold
DQ12-TB6-TH24,ternary,28.57,14.29,57.14,38.61,18.33,43.06,0.7577,within 1.5-fold
DQ12-TB12-TH3,ternary,44.44,44.44,11.11,53.96,34.50,11.54,0.8542,within 1.25-fold
DQ12-TB12-TH6,ternary,40.00,40.00,20.00,39.31,39.48,21.21,0.9709,within 1.25-fold
DQ12-TB12-TH12,ternary,33.33,33.33,33.33,27.52,39.74,32.74,0.8822,within 1.25-fold
