DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_mlp_Z2,data_density_alpha
0,0,100,0.7808,0.1504
0,1,99,0.7767,0.1610
0,2,98,0.7726,0.1718
0,3,97,0.7687,0.1827
0,4,96,0.7648,0.1937
0,5,95,0.7612,0.2046
0,6,94,0.7576,0.2156
0,7,93,0.7543,0.2264
0,8,92,0.7511,0.2372
0,9,91,0.7482,0.2477
0,10,90,0.7454,0.2580
0,11,89,0.7429,0.2680
0,12,88,0.7406,0.2777
0,13,87,0.7386,0.2870
0,14,86,0.7368,0.2960
0,15,85,0.7352,0.3046
0,16,84,0.7340,0.3128
0,17,83,0.7330,0.3205
0,18,82,0.7322,0.3278
0,19,81,0.7317,0.3347
0,20,80,0.7314,0.3412
0,21,79,0.7314,0.3473
0,22,78,0.7316,0.3531
0,23,77,0.7319,0.3584
0,24,76,0.7324,0.3635
0,25,75,0.7330,0.3682
0,26,74,0.7337,0.3727
0,27,73,0.7344,0.3770
0,28,72,0.7351,0.3810
0,29,71,0.7358,0.3849
0,30,70,0.7364,0.3886
0,31,69,0.7368,0.3922
0,32,68,0.7370,0.3957
0,33,67,0.7369,0.3991
0,34,66,0.7366,0.4024
0,35,65,0.7359,0.4056
0,36,64,0.7349,0.4088
0,37,63,0.7334,0.4119
0,38,62,0.7315,0.4148
0,39,61,0.7291,0.4177
0,40,60,0.7262,0.4205
0,41,59,0.7227,0.4230
0,42,58,0.7188,0.4255
0,43,57,0.7143,0.4277
0,44,56,0.7092,0.4296
0,45,55,0.7036,0.4314
0,46,54,0.6975,0.4328
0,47,53,0.6909,0.4340
0,48,52,0.6837,0.4348
0,49,51,0.6761,0.4353
0,50,50,0.6679,0.4355
0,51,49,0.6594,0.4353
0,52,48,0.6504,0.4348
0,53,47,0.6411,0.4340
0,54,46,0.6314,0.4328
0,55,45,0.6215,0.4314
0,56,44,0.6113,0.4296
0,57,43,0.6009,0.4277
0,58,42,0.5905,0.4255
0,59,41,0.5800,0.4230
0,60,40,0.5695,0.4205
0,61,39,0.5592,0.4177
0,62,38,0.5490,0.4148
0,63,37,0.5391,0.4119
0,64,36,0.5296,0.4088
0,65,35,0.5205,0.4056
0,66,34,0.5120,0.4024
0,67,33,0.5040,0.3991
0,68,32,0.4967,0.3957
0,69,31,0.4901,0.3922
0,70,30,0.4842,0.3886
0,71,29,0.4792,0.3849
0,72,28,0.4750,0.3810
0,73,27,0.4717,0.3770
0,74,26,0.4692,0.3727
0,75,25,0.4677,0.3682
0,76,24,0.4670,0.3635
0,77,23,0.4672,0.3584
0,78,22,0.4682,0.3531
0,79,21,0.4700,0.3473
0,80,20,0.4726,0.3412
0,81,19,0.4760,0.3347
0,82,18,0.4800,0.3278
0,83,17,0.4848,0.3205
0,84,16,0.4901,0.3128
0,85,15,0.4961,0.3046
0,86,14,0.5026,0.2960
0,87,13,0.5096,0.2870
0,88,12,0.5171,0.2777
0,89,11,0.5250,0.2680
0,90,10,0.5333,0.2580
0,91,9,0.5419,0.2477
0,92,8,0.5508,0.2372
0,93,7,0.5600,0.2264
0,94,6,0.5694,0.2156
0,95,5,0.5791,0.2046
0,96,4,0.5888,0.1937
0,97,3,0.5987,0.1827
0,98,2,0.6087,0.1718
0,99,1,0.6188,0.1610
0,100,0,0.6289,0.1504
1,0,99,0.7757,0.1610
1,1,98,0.7716,0.1721
1,2,97,0.7677,0.1834
1,3,96,0.7639,0.1948
1,4,95,0.7602,0.2062
1,5,94,0.7567,0.2176
1,6,93,0.7534,0.2290
1,7,92,0.7502,0.2403
1,8,91,0.7473,0.2514
1,9,90,0.7445,0.2623
1,10,89,0.7420,0.2730
1,11,88,0.7397,0.2833
1,12,87,0.7377,0.2933
1,13,86,0.7359,0.3030
1,14,85,0.7344,0.3123
1,15,84,0.7331,0.3212
1,16,83,0.7321,0.3296
1,17,82,0.7314,0.3377
1,18,81,0.7309,0.3453
1,19,80,0.7306,0.3525
1,20,79,0.7306,0.3593
1,21,78,0.7307,0.3657
1,22,77,0.7311,0.3717
1,23,76,0.7316,0.3774
1,24,75,0.7322,0.3827
1,25,74,0.7329,0.3878
1,26,73,0.7337,0.3926
1,27,72,0.7345,0.3972
1,28,71,0.7352,0.4016
1,29,70,0.7358,0.4058
1,30,69,0.7363,0.4099
1,31,68,0.7366,0.4138
1,32,67,0.7367,0.4176
1,33,66,0.7365,0.4214
1,34,65,0.7360,0.4250
1,35,64,0.7351,0.4285
1,36,63,0.7338,0.4320
1,37,62,0.7321,0.4353
1,38,61,0.7299,0.4385
1,39,60,0.7272,0.4416
1,40,59,0.7240,0.4446
1,41,58,0.7203,0.4473
1,42,57,0.7160,0.4498
1,43,56,0.7112,0.4521
1,44,55,0.7059,0.4541
1,45,54,0.7001,0.4558
1,46,53,0.6938,0.4572
1,47,52,0.6869,0.4583
1,48,51,0.6796,0.4590
1,49,50,0.6717,0.4594
1,50,49,0.6635,0.4594
1,51,48,0.6548,0.4590
1,52,47,0.6458,0.4583
1,53,46,0.6364,0.4572
1,54,45,0.6268,0.4558
1,55,44,0.6169,0.4541
1,56,43,0.6068,0.4521
1,57,42,0.5965,0.4498
1,58,41,0.5862,0.4473
1,59,40,0.5759,0.4446
1,60,39,0.5657,0.4416
1,61,38,0.5557,0.4385
1,62,37,0.5459,0.4353
1,63,36,0.5364,0.4320
