DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_mlp_Z2,data_density_alpha
0,0,100,0.9064,0.1093
0,1,99,0.8975,0.1233
0,2,98,0.8880,0.1378
0,3,97,0.8781,0.1527
0,4,96,0.8676,0.1677
0,5,95,0.8566,0.1826
0,6,94,0.8451,0.1972
0,7,93,0.8333,0.2114
0,8,92,0.8212,0.2250
0,9,91,0.8088,0.2378
0,10,90,0.7963,0.2496
0,11,89,0.7837,0.2605
0,12,88,0.7712,0.2703
0,13,87,0.7589,0.2788
0,14,86,0.7468,0.2862
0,15,85,0.7353,0.2922
0,16,84,0.7243,0.2970
0,17,83,0.7140,0.3004
0,18,82,0.7047,0.3026
0,19,81,0.6965,0.3035
0,20,80,0.6895,0.3032
0,21,79,0.6839,0.3018
0,22,78,0.6798,0.2993
0,23,77,0.6776,0.2958
0,24,76,0.6772,0.2914
0,25,75,0.6788,0.2864
0,26,74,0.6824,0.2809
0,27,73,0.6880,0.2750
0,28,72,0.6956,0.2690
0,29,71,0.7049,0.2631
0,30,70,0.7157,0.2575
0,31,69,0.7275,0.2524
0,32,68,0.7399,0.2482
0,33,67,0.7523,0.2450
0,34,66,0.7641,0.2429
0,35,65,0.7746,0.2423
0,36,64,0.7834,0.2432
0,37,63,0.7900,0.2457
0,38,62,0.7943,0.2498
0,39,61,0.7963,0.2555
0,40,60,0.7960,0.2626
0,41,59,0.7939,0.2709
0,42,58,0.7903,0.2800
0,43,57,0.7854,0.2897
0,44,56,0.7797,0.2994
0,45,55,0.7732,0.3087
0,46,54,0.7662,0.3171
0,47,53,0.7586,0.3241
0,48,52,0.7504,0.3295
0,49,51,0.7415,0.3328
0,50,50,0.7318,0.3340
0,51,49,0.7209,0.3328
0,52,48,0.7087,0.3295
0,53,47,0.6948,0.3241
0,54,46,0.6790,0.3171
0,55,45,0.6610,0.3087
0,56,44,0.6406,0.2994
0,57,43,0.6178,0.2897
0,58,42,0.5927,0.2800
0,59,41,0.5654,0.2709
0,60,40,0.5366,0.2626
0,61,39,0.5069,0.2555
0,62,38,0.4771,0.2498
0,63,37,0.4483,0.2457
0,64,36,0.4213,0.2432
0,65,35,0.3970,0.2423
0,66,34,0.3758,0.2429
0,67,33,0.3581,0.2450
0,68,32,0.3439,0.2482
0,69,31,0.3330,0.2524
0,70,30,0.3252,0.2575
0,71,29,0.3200,0.2631
0,72,28,0.3171,0.2690
0,73,27,0.3161,0.2750
0,74,26,0.3169,0.2809
0,75,25,0.3193,0.2864
0,76,24,0.3231,0.2914
0,77,23,0.3284,0.2958
0,78,22,0.3352,0.2993
0,79,21,0.3438,0.3018
0,80,20,0.3541,0.3032
0,81,19,0.3662,0.3035
0,82,18,0.3804,0.3026
0,83,17,0.3966,0.3004
0,84,16,0.4148,0.2970
0,85,15,0.4351,0.2922
0,86,14,0.4571,0.2862
0,87,13,0.4809,0.2788
0,88,12,0.5060,0.2703
0,89,11,0.5323,0.2605
0,90,10,0.5595,0.2496
0,91,9,0.5871,0.2378
0,92,8,0.6149,0.2250
0,93,7,0.6425,0.2114
0,94,6,0.6696,0.1972
0,95,5,0.6961,0.1826
0,96,4,0.7216,0.1677
0,97,3,0.7460,0.1527
0,98,2,0.7691,0.1378
0,99,1,0.7908,0.1233
0,100,0,0.8112,0.1093
1,0,99,0.8974,0.1233
1,1,98,0.8880,0.1384
1,2,97,0.8780,0.1539
1,3,96,0.8675,0.1696
1,4,95,0.8565,0.1853
1,5,94,0.8452,0.2009
1,6,93,0.8335,0.2161
1,7,92,0.8215,0.2307
1,8,91,0.8094,0.2446
1,9,90,0.7971,0.2577
1,10,89,0.7850,0.2697
1,11,88,0.7729,0.2807
1,12,87,0.7612,0.2904
1,13,86,0.7498,0.2990
1,14,85,0.7390,0.3062
1,15,84,0.7289,0.3122
1,16,83,0.7195,0.3168
1,17,82,0.7111,0.3201
1,18,81,0.7038,0.3221
1,19,80,0.6977,0.3228
1,20,79,0.6930,0.3223
1,21,78,0.6897,0.3207
1,22,77,0.6881,0.3180
1,23,76,0.6882,0.3144
1,24,75,0.6901,0.3100
1,25,74,0.6938,0.3049
1,26,73,0.6994,0.2994
1,27,72,0.7067,0.2937
1,28,71,0.7155,0.2879
1,29,70,0.7257,0.2823
1,30,69,0.7369,0.2771
1,31,68,0.7486,0.2726
1,32,67,0.7603,0.2690
1,33,66,0.7714,0.2665
1,34,65,0.7814,0.2653
1,35,64,0.7898,0.2656
1,36,63,0.7962,0.2675
1,37,62,0.8004,0.2711
1,38,61,0.8023,0.2763
1,39,60,0.8021,0.2830
1,40,59,0.7999,0.2910
1,41,58,0.7962,0.3002
1,42,57,0.7912,0.3100
1,43,56,0.7852,0.3201
1,44,55,0.7785,0.3301
1,45,54,0.7713,0.3393
1,46,53,0.7636,0.3474
1,47,52,0.7553,0.3539
1,48,51,0.7464,0.3585
1,49,50,0.7368,0.3608
1,50,49,0.7262,0.3608
1,51,48,0.7144,0.3585
1,52,47,0.7011,0.3539
1,53,46,0.6861,0.3474
1,54,45,0.6690,0.3393
1,55,44,0.6498,0.3301
1,56,43,0.6283,0.3201
1,57,42,0.6046,0.3100
1,58,41,0.5788,0.3002
1,59,40,0.5513,0.2910
1,60,39,0.5228,0.2830
1,61,38,0.4940,0.2763
1,62,37,0.4659,0.2711
1,63,36,0.4392,0.2675
1,64,35,0.4148,0.2656
1,65,34,0.3933,0.2653
1,66,33,0.3751,0.2665
1,67,32,0.3602,0.2690
1,68,31,0.3485,0.2726
1,69,30,0.3399,0.2771
1,70,29,0.3339,0.2823
1,71,28,0.3301,0.2879
