DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_nnls_Z2,data_density_alpha
0,0,100,0.9916,0.1093
0,1,99,0.9911,0.1233
0,2,98,0.9906,0.1378
0,3,97,0.9901,0.1527
0,4,96,0.9895,0.1677
0,5,95,0.9889,0.1826
0,6,94,0.9882,0.1972
0,7,93,0.9875,0.2114
0,8,92,0.9866,0.2250
0,9,91,0.9855,0.2378
0,10,90,0.9841,0.2496
0,11,89,0.9823,0.2605
0,12,88,0.9801,0.2703
0,13,87,0.9773,0.2788
0,14,86,0.9737,0.2862
0,15,85,0.9691,0.2922
0,16,84,0.9634,0.2970
0,17,83,0.9562,0.3004
0,18,82,0.9473,0.3026
0,19,81,0.9365,0.3035
0,20,80,0.9235,0.3032
0,21,79,0.9079,0.3018
0,22,78,0.8896,0.2993
0,23,77,0.8682,0.2958
0,24,76,0.8437,0.2914
0,25,75,0.8158,0.2864
0,26,74,0.7847,0.2809
0,27,73,0.7505,0.2750
0,28,72,0.7134,0.2690
0,29,71,0.6739,0.2631
0,30,70,0.6327,0.2575
0,31,69,0.5907,0.2524
0,32,68,0.5489,0.2482
0,33,67,0.5085,0.2450
0,34,66,0.4706,0.2429
0,35,65,0.4365,0.2423
0,36,64,0.4071,0.2432
0,37,63,0.3830,0.2457
0,38,62,0.3645,0.2498
0,39,61,0.3515,0.2555
0,40,60,0.3435,0.2626
0,41,59,0.3398,0.2709
0,42,58,0.3396,0.2800
0,43,57,0.3421,0.2897
0,44,56,0.3464,0.2994
0,45,55,0.3521,0.3087
0,46,54,0.3585,0.3171
0,47,53,0.3654,0.3241
0,48,52,0.3727,0.3295
0,49,51,0.3801,0.3328
0,50,50,0.3879,0.3340
0,51,49,0.3959,0.3328
0,52,48,0.4043,0.3295
0,53,47,0.4133,0.3241
0,54,46,0.4228,0.3171
0,55,45,0.4330,0.3087
0,56,44,0.4439,0.2994
0,57,43,0.4553,0.2897
0,58,42,0.4670,0.2800
0,59,41,0.4788,0.2709
0,60,40,0.4902,0.2626
0,61,39,0.5008,0.2555
0,62,38,0.5099,0.2498
0,63,37,0.5172,0.2457
0,64,36,0.5222,0.2432
0,65,35,0.5250,0.2423
0,66,34,0.5255,0.2429
0,67,33,0.5240,0.2450
0,68,32,0.5210,0.2482
0,69,31,0.5169,0.2524
0,70,30,0.5125,0.2575
0,71,29,0.5082,0.2631
0,72,28,0.5046,0.2690
0,73,27,0.5022,0.2750
0,74,26,0.5013,0.2809
0,75,25,0.5023,0.2864
0,76,24,0.5052,0.2914
0,77,23,0.5102,0.2958
0,78,22,0.5174,0.2993
0,79,21,0.5267,0.3018
0,80,20,0.5381,0.3032
0,81,19,0.5515,0.3035
0,82,18,0.5667,0.3026
0,83,17,0.5836,0.3004
0,84,16,0.6019,0.2970
0,85,15,0.6214,0.2922
0,86,14,0.6419,0.2862
0,87,13,0.6630,0.2788
0,88,12,0.6845,0.2703
0,89,11,0.7062,0.2605
0,90,10,0.7277,0.2496
0,91,9,0.7489,0.2378
0,92,8,0.7695,0.2250
0,93,7,0.7894,0.2114
0,94,6,0.8084,0.1972
0,95,5,0.8264,0.1826
0,96,4,0.8433,0.1677
0,97,3,0.8591,0.1527
0,98,2,0.8738,0.1378
0,99,1,0.8873,0.1233
0,100,0,0.8996,0.1093
1,0,99,0.9895,0.1233
1,1,98,0.9889,0.1384
1,2,97,0.9883,0.1539
1,3,96,0.9877,0.1696
1,4,95,0.9870,0.1853
1,5,94,0.9863,0.2009
1,6,93,0.9854,0.2161
1,7,92,0.9845,0.2307
1,8,91,0.9834,0.2446
