DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_pls_Z2,data_density_alpha
0,0,100,0.0081,0.0584
0,1,99,0.0088,0.0649
0,2,98,0.0095,0.0719
0,3,97,0.0102,0.0792
0,4,96,0.0110,0.0870
0,5,95,0.0119,0.0953
0,6,94,0.0128,0.1039
0,7,93,0.0137,0.1129
0,8,92,0.0147,0.1223
0,9,91,0.0157,0.1319
0,10,90,0.0168,0.1419
0,11,89,0.0180,0.1521
0,12,88,0.0192,0.1624
0,13,87,0.0204,0.1730
0,14,86,0.0217,0.1837
0,15,85,0.0230,0.1944
0,16,84,0.0243,0.2051
0,17,83,0.0257,0.2158
0,18,82,0.0272,0.2264
0,19,81,0.0286,0.2370
0,20,80,0.0301,0.2473
0,21,79,0.0315,0.2575
0,22,78,0.0330,0.2674
0,23,77,0.0345,0.2770
0,24,76,0.0359,0.2864
0,25,75,0.0374,0.2954
0,26,74,0.0388,0.3041
0,27,73,0.0402,0.3125
0,28,72,0.0416,0.3204
0,29,71,0.0429,0.3280
0,30,70,0.0441,0.3352
0,31,69,0.0453,0.3421
0,32,68,0.0465,0.3485
0,33,67,0.0476,0.3545
0,34,66,0.0486,0.3602
0,35,65,0.0496,0.3655
0,36,64,0.0505,0.3704
0,37,63,0.0514,0.3749
0,38,62,0.0522,0.3791
0,39,61,0.0530,0.3829
0,40,60,0.0538,0.3863
0,41,59,0.0546,0.3895
0,42,58,0.0553,0.3922
0,43,57,0.0561,0.3947
0,44,56,0.0569,0.3968
0,45,55,0.0577,0.3986
0,46,54,0.0586,0.4000
0,47,53,0.0595,0.4012
0,48,52,0.0604,0.4020
0,49,51,0.0614,0.4025
0,50,50,0.0625,0.4026
0,51,49,0.0637,0.4025
0,52,48,0.0649,0.4020
0,53,47,0.0662,0.4012
0,54,46,0.0676,0.4000
0,55,45,0.0690,0.3986
0,56,44,0.0705,0.3968
0,57,43,0.0720,0.3947
0,58,42,0.0735,0.3922
0,59,41,0.0750,0.3895
0,60,40,0.0765,0.3863
0,61,39,0.0780,0.3829
0,62,38,0.0795,0.3791
0,63,37,0.0809,0.3749
0,64,36,0.0822,0.3704
0,65,35,0.0835,0.3655
0,66,34,0.0847,0.3602
0,67,33,0.0857,0.3545
0,68,32,0.0866,0.3485
0,69,31,0.0874,0.3421
0,70,30,0.0881,0.3352
0,71,29,0.0886,0.3280
0,72,28,0.0890,0.3204
0,73,27,0.0892,0.3125
0,74,26,0.0893,0.3041
0,75,25,0.0892,0.2954
0,76,24,0.0890,0.2864
0,77,23,0.0887,0.2770
0,78,22,0.0882,0.2674
0,79,21,0.0876,0.2575
0,80,20,0.0868,0.2473
0,81,19,0.0860,0.2370
0,82,18,0.0850,0.2264
0,83,17,0.0840,0.2158
0,84,16,0.0829,0.2051
0,85,15,0.0816,0.1944
0,86,14,0.0804,0.1837
0,87,13,0.0790,0.1730
0,88,12,0.0776,0.1624
0,89,11,0.0762,0.1521
0,90,10,0.0747,0.1419
0,91,9,0.0731,0.1319
0,92,8,0.0716,0.1223
0,93,7,0.0700,0.1129
0,94,6,0.0684,0.1039
0,95,5,0.0668,0.0953
0,96,4,0.0652,0.0870
0,97,3,0.0636,0.0792
0,98,2,0.0620,0.0719
0,99,1,0.0604,0.0649
0,100,0,0.0588,0.0584
1,0,99,0.0089,0.0649
1,1,98,0.0096,0.0720
1,2,97,0.0104,0.0796
1,3,96,0.0112,0.0876
1,4,95,0.0121,0.0961
1,5,94,0.0130,0.1050
1,6,93,0.0139,0.1144
1,7,92,0.0149,0.1241
1,8,91,0.0160,0.1342
1,9,90,0.0171,0.1446
1,10,89,0.0183,0.1553
1,11,88,0.0195,0.1662
1,12,87,0.0208,0.1773
1,13,86,0.0221,0.1886
1,14,85,0.0234,0.2000
1,15,84,0.0248,0.2114
1,16,83,0.0263,0.2228
1,17,82,0.0277,0.2342
1,18,81,0.0292,0.2455
1,19,80,0.0307,0.2566
1,20,79,0.0323,0.2676
1,21,78,0.0338,0.2783
1,22,77,0.0353,0.2887
1,23,76,0.0368,0.2989
1,24,75,0.0384,0.3087
1,25,74,0.0398,0.3182
1,26,73,0.0413,0.3273
1,27,72,0.0427,0.3361
1,28,71,0.0441,0.3444
1,29,70,0.0455,0.3523
1,30,69,0.0467,0.3598
1,31,68,0.0480,0.3669
1,32,67,0.0491,0.3736
1,33,66,0.0502,0.3799
1,34,65,0.0513,0.3857
1,35,64,0.0523,0.3912
1,36,63,0.0532,0.3962
1,37,62,0.0541,0.4009
1,38,61,0.0549,0.4052
1,39,60,0.0558,0.4091
1,40,59,0.0566,0.4126
1,41,58,0.0574,0.4158
1,42,57,0.0581,0.4186
1,43,56,0.0590,0.4210
1,44,55,0.0598,0.4231
1,45,54,0.0607,0.4248
1,46,53,0.0616,0.4262
1,47,52,0.0626,0.4273
1,48,51,0.0636,0.4279
1,49,50,0.0647,0.4283
1,50,49,0.0659,0.4283
1,51,48,0.0671,0.4279
1,52,47,0.0685,0.4273
1,53,46,0.0699,0.4262
1,54,45,0.0713,0.4248
1,55,44,0.0728,0.4231
1,56,43,0.0744,0.4210
1,57,42,0.0760,0.4186
1,58,41,0.0776,0.4158
1,59,40,0.0792,0.4126
1,60,39,0.0808,0.4091
1,61,38,0.0823,0.4052
1,62,37,0.0839,0.4009
1,63,36,0.0853,0.3962
1,64,35,0.0867,0.3912
1,65,34,0.0880,0.3857
1,66,33,0.0892,0.3799
1,67,32,0.0902,0.3736
1,68,31,0.0911,0.3669
1,69,30,0.0919,0.3598
1,70,29,0.0926,0.3523
1,71,28,0.0931,0.3444
1,72,27,0.0934,0.3361
1,73,26,0.0936,0.3273
1,74,25,0.0936,0.3182
1,75,24,0.0935,0.3087
1,76,23,0.0933,0.2989
1,77,22,0.0929,0.2887
1,78,21,0.0923,0.2783
1,79,20,0.0916,0.2676
1,80,19,0.0908,0.2566
1,81,18,0.0899,0.2455
1,82,17,0.0889,0.2342
1,83,16,0.0878,0.2228
1,84,15,0.0866,0.2114
1,85,14,0.0853,0.2000
1,86,13,0.0840,0.1886
1,87,12,0.0826,0.1773
1,88,11,0.0811,0.1662
1,89,10,0.0796,0.1553
1,90,9,0.0780,0.1446
1,91,8,0.0764,0.1342
1,92,7,0.0748,0.1241
1,93,6,0.0731,0.1144
1,94,5,0.0715,0.1050
1,95,4,0.0698,0.0961
1,96,3,0.0681,0.0876
1,97,2,0.0665,0.0796
1,98,1,0.0648,0.0720
1,99,0,0.0631,0.0649
2,0,98,0.0098,0.0719
2,1,97,0.0106,0.0796
2,2,96,0.0114,0.0878
2,3,95,0.0123,0.0965
2,4,94,0.0132,0.1057
2,5,93,0.0142,0.1154
2,6,92,0.0152,0.1254
2,7,91,0.0163,0.1359
2,8,90,0.0174,0.1467
2,9,89,0.0186,0.1579
2,10,88,0.0198,0.1694
2,11,87,0.0211,0.1810
2,12,86,0.0225,0.1929
2,13,85,0.0239,0.2049
2,14,84,0.0253,0.2170
2,15,83,0.0268,0.2292
2,16,82,0.0283,0.2413
2,17,81,0.0298,0.2533
2,18,80,0.0314,0.2652
2,19,79,0.0330,0.2770
2,20,78,0.0346,0.2885
2,21,77,0.0362,0.2998
2,22,76,0.0378,0.3108
2,23,75,0.0393,0.3214
2,24,74,0.0409,0.3317
2,25,73,0.0424,0.3417
2,26,72,0.0439,0.3512
2,27,71,0.0454,0.3603
2,28,70,0.0468,0.3690
2,29,69,0.0481,0.3773
2,30,68,0.0494,0.3851
2,31,67,0.0507,0.3924
2,32,66,0.0519,0.3994
2,33,65,0.0530,0.4058
2,34,64,0.0540,0.4119
2,35,63,0.0550,0.4175
2,36,62,0.0560,0.4227
2,37,61,0.0569,0.4275
2,38,60,0.0577,0.4319
2,39,59,0.0586,0.4359
2,40,58,0.0594,0.4394
2,41,57,0.0602,0.4426
2,42,56,0.0611,0.4454
2,43,55,0.0619,0.4478
2,44,54,0.0628,0.4499
2,45,53,0.0638,0.4515
2,46,52,0.0647,0.4528
