DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_mlp_Z2,data_density_alpha
0,0,100,0.6620,0.0584
0,1,99,0.6717,0.0649
0,2,98,0.6813,0.0719
0,3,97,0.6908,0.0792
0,4,96,0.7001,0.0870
0,5,95,0.7093,0.0953
0,6,94,0.7183,0.1039
0,7,93,0.7272,0.1129
0,8,92,0.7358,0.1223
0,9,91,0.7442,0.1319
0,10,90,0.7523,0.1419
0,11,89,0.7601,0.1521
0,12,88,0.7677,0.1624
0,13,87,0.7748,0.1730
0,14,86,0.7816,0.1837
0,15,85,0.7880,0.1944
0,16,84,0.7939,0.2051
0,17,83,0.7994,0.2158
0,18,82,0.8043,0.2264
0,19,81,0.8088,0.2370
0,20,80,0.8127,0.2473
0,21,79,0.8161,0.2575
0,22,78,0.8189,0.2674
0,23,77,0.8211,0.2770
0,24,76,0.8227,0.2864
0,25,75,0.8236,0.2954
0,26,74,0.8240,0.3041
0,27,73,0.8238,0.3125
0,28,72,0.8230,0.3204
0,29,71,0.8216,0.3280
0,30,70,0.8197,0.3352
0,31,69,0.8172,0.3421
0,32,68,0.8143,0.3485
0,33,67,0.8109,0.3545
0,34,66,0.8072,0.3602
0,35,65,0.8031,0.3655
0,36,64,0.7988,0.3704
0,37,63,0.7943,0.3749
0,38,62,0.7897,0.3791
0,39,61,0.7851,0.3829
0,40,60,0.7804,0.3863
0,41,59,0.7759,0.3895
0,42,58,0.7716,0.3922
0,43,57,0.7675,0.3947
0,44,56,0.7637,0.3968
0,45,55,0.7603,0.3986
0,46,54,0.7573,0.4000
0,47,53,0.7547,0.4012
0,48,52,0.7527,0.4020
0,49,51,0.7512,0.4025
0,50,50,0.7502,0.4026
0,51,49,0.7498,0.4025
0,52,48,0.7499,0.4020
0,53,47,0.7506,0.4012
0,54,46,0.7519,0.4000
0,55,45,0.7536,0.3986
0,56,44,0.7558,0.3968
0,57,43,0.7585,0.3947
0,58,42,0.7616,0.3922
0,59,41,0.7650,0.3895
0,60,40,0.7688,0.3863
0,61,39,0.7728,0.3829
0,62,38,0.7771,0.3791
0,63,37,0.7815,0.3749
0,64,36,0.7861,0.3704
0,65,35,0.7907,0.3655
0,66,34,0.7953,0.3602
0,67,33,0.8000,0.3545
0,68,32,0.8047,0.3485
0,69,31,0.8092,0.3421
0,70,30,0.8137,0.3352
0,71,29,0.8181,0.3280
0,72,28,0.8224,0.3204
0,73,27,0.8266,0.3125
0,74,26,0.8306,0.3041
0,75,25,0.8345,0.2954
0,76,24,0.8382,0.2864
0,77,23,0.8418,0.2770
0,78,22,0.8453,0.2674
0,79,21,0.8486,0.2575
0,80,20,0.8519,0.2473
0,81,19,0.8550,0.2370
0,82,18,0.8580,0.2264
0,83,17,0.8610,0.2158
0,84,16,0.8638,0.2051
0,85,15,0.8666,0.1944
0,86,14,0.8694,0.1837
0,87,13,0.8721,0.1730
0,88,12,0.8747,0.1624
0,89,11,0.8773,0.1521
0,90,10,0.8799,0.1419
0,91,9,0.8824,0.1319
0,92,8,0.8849,0.1223
0,93,7,0.8874,0.1129
0,94,6,0.8899,0.1039
0,95,5,0.8924,0.0953
0,96,4,0.8948,0.0870
0,97,3,0.8973,0.0792
0,98,2,0.8997,0.0719
0,99,1,0.9021,0.0649
0,100,0,0.9045,0.0584
1,0,99,0.6719,0.0649
1,1,98,0.6814,0.0720
1,2,97,0.6908,0.0796
1,3,96,0.7001,0.0876
1,4,95,0.7093,0.0961
1,5,94,0.7183,0.1050
1,6,93,0.7271,0.1144
1,7,92,0.7357,0.1241
1,8,91,0.7441,0.1342
1,9,90,0.7522,0.1446
1,10,89,0.7600,0.1553
1,11,88,0.7676,0.1662
1,12,87,0.7747,0.1773
1,13,86,0.7816,0.1886
1,14,85,0.7880,0.2000
1,15,84,0.7940,0.2114
1,16,83,0.7996,0.2228
1,17,82,0.8047,0.2342
1,18,81,0.8092,0.2455
1,19,80,0.8133,0.2566
1,20,79,0.8168,0.2676
1,21,78,0.8198,0.2783
1,22,77,0.8222,0.2887
1,23,76,0.8240,0.2989
1,24,75,0.8252,0.3087
1,25,74,0.8258,0.3182
1,26,73,0.8259,0.3273
1,27,72,0.8253,0.3361
1,28,71,0.8242,0.3444
1,29,70,0.8225,0.3523
1,30,69,0.8204,0.3598
1,31,68,0.8177,0.3669
1,32,67,0.8146,0.3736
1,33,66,0.8111,0.3799
1,34,65,0.8073,0.3857
1,35,64,0.8032,0.3912
1,36,63,0.7988,0.3962
1,37,62,0.7944,0.4009
1,38,61,0.7898,0.4052
1,39,60,0.7853,0.4091
1,40,59,0.7808,0.4126
1,41,58,0.7765,0.4158
1,42,57,0.7724,0.4186
1,43,56,0.7685,0.4210
1,44,55,0.7650,0.4231
