DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_nnls_Z2,data_density_alpha
0,0,100,0.6115,0.0584
0,1,99,0.6185,0.0649
0,2,98,0.6253,0.0719
0,3,97,0.6319,0.0792
0,4,96,0.6383,0.0870
0,5,95,0.6446,0.0953
0,6,94,0.6506,0.1039
0,7,93,0.6564,0.1129
0,8,92,0.6621,0.1223
0,9,91,0.6675,0.1319
0,10,90,0.6727,0.1419
0,11,89,0.6776,0.1521
0,12,88,0.6824,0.1624
0,13,87,0.6869,0.1730
0,14,86,0.6912,0.1836
0,15,85,0.6953,0.1944
0,16,84,0.6992,0.2051
0,17,83,0.7029,0.2158
0,18,82,0.7065,0.2264
0,19,81,0.7098,0.2369
0,20,80,0.7131,0.2473
0,21,79,0.7162,0.2575
0,22,78,0.7192,0.2674
0,23,77,0.7222,0.2770
0,24,76,0.7251,0.2864
0,25,75,0.7280,0.2954
0,26,74,0.7309,0.3041
0,27,73,0.7338,0.3124
0,28,72,0.7368,0.3204
0,29,71,0.7398,0.3280
0,30,70,0.7429,0.3352
0,31,69,0.7461,0.3420
0,32,68,0.7494,0.3485
0,33,67,0.7528,0.3545
0,34,66,0.7563,0.3601
0,35,65,0.7600,0.3654
0,36,64,0.7637,0.3703
0,37,63,0.7675,0.3749
0,38,62,0.7714,0.3790
0,39,61,0.7754,0.3828
0,40,60,0.7793,0.3863
0,41,59,0.7832,0.3894
0,42,58,0.7871,0.3922
0,43,57,0.7908,0.3947
0,44,56,0.7945,0.3968
0,45,55,0.7979,0.3986
0,46,54,0.8012,0.4000
0,47,53,0.8042,0.4011
0,48,52,0.8069,0.4020
0,49,51,0.8094,0.4024
0,50,50,0.8115,0.4026
0,51,49,0.8133,0.4024
0,52,48,0.8147,0.4020
0,53,47,0.8157,0.4011
0,54,46,0.8164,0.4000
0,55,45,0.8167,0.3986
0,56,44,0.8167,0.3968
0,57,43,0.8164,0.3947
0,58,42,0.8157,0.3922
0,59,41,0.8148,0.3894
0,60,40,0.8136,0.3863
0,61,39,0.8122,0.3828
0,62,38,0.8106,0.3790
0,63,37,0.8089,0.3749
0,64,36,0.8071,0.3703
0,65,35,0.8053,0.3654
0,66,34,0.8034,0.3601
0,67,33,0.8016,0.3545
0,68,32,0.7998,0.3485
0,69,31,0.7982,0.3420
0,70,30,0.7966,0.3352
0,71,29,0.7953,0.3280
0,72,28,0.7941,0.3204
0,73,27,0.7931,0.3124
0,74,26,0.7924,0.3041
0,75,25,0.7919,0.2954
0,76,24,0.7916,0.2864
0,77,23,0.7916,0.2770
0,78,22,0.7919,0.2674
0,79,21,0.7924,0.2575
0,80,20,0.7931,0.2473
0,81,19,0.7942,0.2369
0,82,18,0.7954,0.2264
0,83,17,0.7970,0.2158
0,84,16,0.7987,0.2051
0,85,15,0.8007,0.1944
0,86,14,0.8028,0.1836
0,87,13,0.8052,0.1730
0,88,12,0.8077,0.1624
0,89,11,0.8104,0.1521
0,90,10,0.8133,0.1419
0,91,9,0.8163,0.1319
0,92,8,0.8194,0.1223
0,93,7,0.8226,0.1129
0,94,6,0.8259,0.1039
0,95,5,0.8293,0.0953
0,96,4,0.8328,0.0870
0,97,3,0.8364,0.0792
0,98,2,0.8400,0.0719
0,99,1,0.8436,0.0649
0,100,0,0.8472,0.0584
