x_px,y_px,DQ_pct,TBZ_pct,THI_pct,value,band
1923.0,333.0,27.5,5.9,66.6,0.787,within 1.5-fold
1822.6,363.2,19.0,17.9,63.1,0.874,within 1.25-fold
1806.0,385.0,18.6,20.9,60.5,0.820,within 1.25-fold
1775.0,394.0,15.9,24.6,59.4,0.731,within 1.5-fold
1930.0,403.0,32.3,9.3,58.4,0.574,within 2-fold
1844.2,402.3,23.5,18.1,58.5,0.748,within 1.5-fold
1837.0,424.0,24.0,20.1,55.9,0.602,within 2-fold
1940.0,442.0,35.6,10.6,53.8,0.668,within 1.5-fold
1640.0,451.0,5.5,41.8,52.7,0.656,within 2-fold
1591.0,468.0,1.4,47.9,50.7,0.675,within 1.5-fold
1834.0,482.0,27.1,23.8,49.1,0.609,within 2-fold
1945.7,502.2,39.8,13.6,46.7,0.679,within 1.5-fold
1966.0,513.0,42.5,12.1,45.4,0.954,within 1.25-fold
1857.0,519.0,31.7,23.6,44.7,0.863,within 1.25-fold
1762.0,530.0,22.6,34.0,43.4,0.663,within 2-fold
1918.1,531.8,38.7,18.1,43.2,0.651,within 2-fold
1807.0,536.0,27.5,29.8,42.7,0.597,within 2-fold
1909.0,560.0,39.4,20.7,39.9,0.877,within 1.25-fold
1890.0,561.6,37.5,22.8,39.7,0.656,within 2-fold
1975.0,563.0,46.3,14.2,39.5,0.802,within 1.25-fold
1947.2,567.1,43.7,17.3,39.0,0.783,within 1.5-fold
1587.0,568.0,6.9,54.2,38.9,0.724,within 1.5-fold
1782.0,571.0,27.0,34.4,38.6,0.917,within 1.25-fold
1699.0,576.0,18.8,43.2,38.0,0.884,within 1.25-fold
1827.0,596.0,33.1,31.3,35.6,0.778,within 1.5-fold
1873.1,597.8,37.9,26.7,35.4,0.799,within 1.5-fold
1646.0,615.0,15.7,50.9,33.4,0.795,within 1.5-fold
1760.0,619.0,27.6,39.5,32.9,0.802,within 1.25-fold
1727.0,621.0,24.4,43.0,32.7,0.903,within 1.25-fold
1861.0,625.0,38.3,29.5,32.2,0.743,within 1.5-fold
1737.1,640.3,26.5,43.1,30.4,0.677,within 1.5-fold
1896.0,643.0,42.9,27.0,30.1,0.656,within 2-fold
2041.0,645.0,57.9,12.3,29.8,0.865,within 1.25-fold
1818.0,659.0,35.9,35.9,28.2,0.696,within 1.5-fold
1988.0,660.0,53.4,18.6,28.1,0.607,within 2-fold
1557.0,669.0,9.8,63.2,27.0,0.771,within 1.5-fold
1675.2,673.5,22.1,51.4,26.5,0.682,within 1.5-fold
1951.0,675.0,50.5,23.2,26.3,0.961,within 1.25-fold
1859.0,676.2,41.1,32.7,26.2,0.804,within 1.25-fold
1700.0,681.0,25.1,49.3,25.6,0.903,within 1.25-fold
1878.0,682.0,43.4,31.1,25.5,0.837,within 1.25-fold
1925.5,688.3,48.6,26.6,24.7,0.865,within 1.25-fold
1805.1,692.6,36.6,39.2,24.2,0.719,within 1.5-fold
1833.2,693.8,39.5,36.4,24.1,0.907,within 1.25-fold
1721.8,704.7,28.7,48.5,22.8,0.790,within 1.5-fold
1885.3,708.2,45.7,31.9,22.4,0.816,within 1.25-fold
1643.0,709.0,20.9,56.8,22.3,0.532,within 2-fold
1610.0,713.0,17.8,60.4,21.8,0.715,within 1.5-fold
1819.0,715.0,39.3,39.1,21.6,0.903,within 1.25-fold
1738.0,729.0,31.8,48.2,19.9,0.663,within 2-fold
1520.0,735.0,9.9,70.9,19.2,0.642,within 2-fold
1945.0,756.0,54.6,28.7,16.7,0.675,within 1.5-fold
1771.0,763.0,37.2,46.9,15.9,0.715,within 1.5-fold
1998.6,765.7,60.7,23.7,15.6,0.942,within 1.25-fold
1683.0,767.0,28.4,56.1,15.4,0.811,within 1.25-fold
1973.0,771.0,58.3,26.7,15.0,0.748,within 1.5-fold
1552.0,780.0,15.8,70.3,13.9,0.686,within 1.5-fold
1819.0,795.0,44.0,43.9,12.1,0.846,within 1.25-fold
1704.0,816.0,33.5,56.9,9.7,0.546,within 2-fold
1892.0,823.0,53.1,38.0,8.8,0.736,within 1.5-fold
1778.0,829.0,41.8,50.1,8.1,0.830,within 1.25-fold
1616.0,842.0,26.0,67.4,6.6,0.468,Beyond 2-fold
