DQ_pct_X,TBZ_pct_Y,THI_pct_Z,Z2,density
0,0,100,0.7392,0.0202
0,1,99,0.7372,0.0234
0,2,98,0.7351,0.0269
0,3,97,0.7330,0.0308
0,4,96,0.7308,0.0351
0,5,95,0.7286,0.0398
0,6,94,0.7264,0.0450
0,7,93,0.7242,0.0507
0,8,92,0.7218,0.0568
0,9,91,0.7195,0.0633
0,10,90,0.7171,0.0704
0,11,89,0.7147,0.0779
0,12,88,0.7123,0.0858
0,13,87,0.7098,0.0942
0,14,86,0.7073,0.1029
0,15,85,0.7047,0.1120
0,16,84,0.7021,0.1215
0,17,83,0.6996,0.1313
0,18,82,0.6969,0.1413
0,19,81,0.6943,0.1514
0,20,80,0.6917,0.1618
0,21,79,0.6891,0.1722
0,22,78,0.6864,0.1826
0,23,77,0.6838,0.1930
0,24,76,0.6812,0.2033
0,25,75,0.6787,0.2134
0,26,74,0.6761,0.2233
0,27,73,0.6736,0.2329
0,28,72,0.6712,0.2422
0,29,71,0.6688,0.2510
0,30,70,0.6665,0.2595
0,31,69,0.6642,0.2674
0,32,68,0.6621,0.2748
0,33,67,0.6600,0.2817
0,34,66,0.6580,0.2880
0,35,65,0.6562,0.2937
0,36,64,0.6544,0.2987
0,37,63,0.6527,0.3031
0,38,62,0.6511,0.3069
0,39,61,0.6496,0.3101
0,40,60,0.6482,0.3126
0,41,59,0.6469,0.3145
0,42,58,0.6456,0.3157
0,43,57,0.6444,0.3164
0,44,56,0.6433,0.3165
0,45,55,0.6421,0.3161
0,46,54,0.6410,0.3152
0,47,53,0.6398,0.3138
0,48,52,0.6385,0.3120
0,49,51,0.6371,0.3098
0,50,50,0.6356,0.3072
0,51,49,0.6339,0.3043
0,52,48,0.6319,0.3012
0,53,47,0.6298,0.2978
0,54,46,0.6273,0.2943
0,55,45,0.6244,0.2906
0,56,44,0.6212,0.2868
0,57,43,0.6175,0.2830
0,58,42,0.6134,0.2792
0,59,41,0.6088,0.2753
0,60,40,0.6037,0.2715
0,61,39,0.5980,0.2677
0,62,38,0.5918,0.2640
0,63,37,0.5850,0.2604
0,64,36,0.5777,0.2568
0,65,35,0.5699,0.2534
0,66,34,0.5615,0.2499
0,67,33,0.5527,0.2465
0,68,32,0.5434,0.2432
0,69,31,0.5338,0.2398
0,70,30,0.5237,0.2364
0,71,29,0.5133,0.2330
0,72,28,0.5027,0.2294
0,73,27,0.4918,0.2257
0,74,26,0.4807,0.2219
0,75,25,0.4695,0.2179
0,76,24,0.4582,0.2137
0,77,23,0.4468,0.2092
0,78,22,0.4354,0.2045
0,79,21,0.4239,0.1996
0,80,20,0.4125,0.1943
0,81,19,0.4012,0.1888
0,82,18,0.3899,0.1829
0,83,17,0.3787,0.1769
0,84,16,0.3677,0.1705
0,85,15,0.3567,0.1639
0,86,14,0.3459,0.1571
0,87,13,0.3352,0.1502
0,88,12,0.3247,0.1430
0,89,11,0.3143,0.1358
0,90,10,0.3041,0.1285
0,91,9,0.2941,0.1212
0,92,8,0.2843,0.1139
0,93,7,0.2747,0.1066
0,94,6,0.2652,0.0994
0,95,5,0.2560,0.0924
0,96,4,0.2469,0.0855
0,97,3,0.2381,0.0789
0,98,2,0.2295,0.0724
0,99,1,0.2210,0.0663
0,100,0,0.2128,0.0604
1,0,99,0.7440,0.0232
1,1,98,0.7418,0.0268
1,2,97,0.7396,0.0307
1,3,96,0.7374,0.0351
1,4,95,0.7351,0.0399
1,5,94,0.7328,0.0452
1,6,93,0.7304,0.0510
1,7,92,0.7280,0.0573
1,8,91,0.7256,0.0641
1,9,90,0.7231,0.0713
1,10,89,0.7206,0.0791
1,11,88,0.7180,0.0873
1,12,87,0.7154,0.0961
1,13,86,0.7128,0.1052
1,14,85,0.7101,0.1148
1,15,84,0.7074,0.1247
1,16,83,0.7047,0.1350
1,17,82,0.7020,0.1456
1,18,81,0.6992,0.1564
1,19,80,0.6964,0.1674
1,20,79,0.6936,0.1785
1,21,78,0.6908,0.1897
1,22,77,0.6881,0.2009
1,23,76,0.6853,0.2120
1,24,75,0.6826,0.2229
1,25,74,0.6798,0.2337
1,26,73,0.6772,0.2442
1,27,72,0.6745,0.2544
1,28,71,0.6720,0.2641
1,29,70,0.6694,0.2735
1,30,69,0.6670,0.2823
1,31,68,0.6646,0.2906
1,32,67,0.6624,0.2983
1,33,66,0.6602,0.3054
1,34,65,0.6581,0.3119
1,35,64,0.6561,0.3177
1,36,63,0.6543,0.3229
1,37,62,0.6525,0.3273
1,38,61,0.6508,0.3311
1,39,60,0.6493,0.3342
1,40,59,0.6478,0.3365
1,41,58,0.6464,0.3383
1,42,57,0.6451,0.3393
1,43,56,0.6438,0.3398
1,44,55,0.6425,0.3396
1,45,54,0.6413,0.3389
1,46,53,0.6401,0.3376
1,47,52,0.6388,0.3358
1,48,51,0.6374,0.3336
1,49,50,0.6360,0.3309
1,50,49,0.6344,0.3279
1,51,48,0.6326,0.3246
1,52,47,0.6306,0.3210
1,53,46,0.6283,0.3171
1,54,45,0.6257,0.3131
1,55,44,0.6228,0.3090
1,56,43,0.6194,0.3047
1,57,42,0.6157,0.3004
1,58,41,0.6115,0.2961
1,59,40,0.6068,0.2918
1,60,39,0.6016,0.2875
1,61,38,0.5959,0.2833
1,62,37,0.5897,0.2792
1,63,36,0.5829,0.2751
1,64,35,0.5756,0.2711
1,65,34,0.5677,0.2672
1,66,33,0.5594,0.2633
1,67,32,0.5506,0.2595
1,68,31,0.5414,0.2557
1,69,30,0.5318,0.2519
1,70,29,0.5218,0.2480
1,71,28,0.5115,0.2441
1,72,27,0.5010,0.2401
1,73,26,0.4902,0.2359
1,74,25,0.4792,0.2316
1,75,24,0.4681,0.2271
1,76,23,0.4569,0.2224
1,77,22,0.4456,0.2174
1,78,21,0.4343,0.2122
1,79,20,0.4230,0.2067
1,80,19,0.4117,0.2009
1,81,18,0.4005,0.1948
1,82,17,0.3893,0.1885
1,83,16,0.3782,0.1819
1,84,15,0.3672,0.1750
1,85,14,0.3564,0.1680
1,86,13,0.3456,0.1607
1,87,12,0.3350,0.1532
1,88,11,0.3246,0.1457
1,89,10,0.3143,0.1380
1,90,9,0.3041,0.1304
1,91,8,0.2942,0.1227
1,92,7,0.2844,0.1150
1,93,6,0.2748,0.1075
1,94,5,0.2654,0.1000
1,95,4,0.2562,0.0927
1,96,3,0.2472,0.0857
1,97,2,0.2384,0.0788
1,98,1,0.2298,0.0722
1,99,0,0.2214,0.0659
2,0,98,0.7484,0.0266
2,1,97,0.7462,0.0305
2,2,96,0.7439,0.0350
2,3,95,0.7415,0.0399
2,4,94,0.7391,0.0453
2,5,93,0.7367,0.0512
2,6,92,0.7342,0.0576
2,7,91,0.7317,0.0645
2,8,90,0.7291,0.0720
2,9,89,0.7265,0.0800
2,10,88,0.7238,0.0885
2,11,87,0.7211,0.0976
2,12,86,0.7183,0.1071
2,13,85,0.7156,0.1171
2,14,84,0.7127,0.1275
2,15,83,0.7099,0.1383
2,16,82,0.7070,0.1495
2,17,81,0.7041,0.1609
2,18,80,0.7012,0.1726
2,19,79,0.6982,0.1844
2,20,78,0.6953,0.1963
2,21,77,0.6923,0.2083
2,22,76,0.6894,0.2202
2,23,75,0.6865,0.2320
2,24,74,0.6836,0.2437
2,25,73,0.6807,0.2551
2,26,72,0.6779,0.2662
2,27,71,0.6752,0.2769
2,28,70,0.6725,0.2871
2,29,69,0.6698,0.2969
2,30,68,0.6673,0.3061
2,31,67,0.6648,0.3148
2,32,66,0.6624,0.3228
2,33,65,0.6601,0.3301
2,34,64,0.6580,0.3368
2,35,63,0.6559,0.3427
2,36,62,0.6540,0.3479
2,37,61,0.6521,0.3523
2,38,60,0.6504,0.3560
2,39,59,0.6487,0.3590
2,40,58,0.6472,0.3612
2,41,57,0.6457,0.3627
2,42,56,0.6443,0.3636
2,43,55,0.6430,0.3637
2,44,54,0.6417,0.3632
2,45,53,0.6404,0.3621
2,46,52,0.6391,0.3604
2,47,51,0.6377,0.3582
2,48,50,0.6363,0.3556
2,49,49,0.6348,0.3525
2,50,48,0.6331,0.3490
2,51,47,0.6312,0.3451
2,52,46,0.6291,0.3410
2,53,45,0.6267,0.3367
2,54,44,0.6241,0.3321
2,55,43,0.6211,0.3275
