x_px,y_px,DQ_pct,TBZ_pct,THI_pct,value,band
559.0,104.0,5.4,0.9,93.6,0.445,Beyond 2-fold
603.0,198.0,15.5,2.0,82.5,0.405,Beyond 2-fold
559.0,205.0,11.4,6.9,81.7,0.628,within 2-fold
622.3,207.0,18.0,0.6,81.5,0.715,within 1.5-fold
452.0,222.0,1.4,18.9,79.7,0.405,Beyond 2-fold
582.1,218.9,14.5,5.4,80.1,0.510,within 2-fold
602.0,230.0,17.2,4.0,78.8,0.569,within 2-fold
564.2,231.3,13.5,7.9,78.6,0.407,Beyond 2-fold
622.3,239.4,19.9,2.5,77.7,0.656,within 2-fold
597.8,256.4,18.4,6.0,75.7,0.557,within 2-fold
520.0,272.0,11.3,14.9,73.8,0.576,within 2-fold
586.2,275.0,18.3,8.3,73.5,0.578,within 2-fold
628.0,274.0,22.5,3.9,73.6,0.445,Beyond 2-fold
614.6,292.2,22.2,6.4,71.4,0.905,within 1.25-fold
645.0,303.0,25.9,3.9,70.2,0.581,within 2-fold
471.0,308.0,8.4,22.0,69.6,0.421,Beyond 2-fold
592.4,333.0,22.3,11.1,66.6,0.672,within 1.5-fold
539.0,339.0,17.2,16.9,65.9,0.600,within 2-fold
607.0,356.0,25.2,10.9,63.9,0.405,Beyond 2-fold
428.1,371.4,7.8,30.1,62.1,0.625,within 2-fold
448.0,378.0,10.2,28.5,61.3,0.705,within 1.5-fold
627.0,390.0,29.2,10.9,59.9,0.405,Beyond 2-fold
644.8,389.0,31.0,9.0,60.0,0.731,within 1.5-fold
341.0,398.0,0.4,40.6,59.0,0.621,within 2-fold
441.9,406.4,11.2,30.8,58.0,0.485,Beyond 2-fold
331.5,413.1,0.4,42.5,57.2,0.858,within 1.25-fold
651.0,415.0,33.1,9.9,57.0,0.642,within 2-fold
336.3,446.4,2.8,43.9,53.3,0.595,within 2-fold
341.0,465.0,4.4,44.6,51.1,0.435,Beyond 2-fold
535.0,465.0,24.2,24.7,51.1,0.405,Beyond 2-fold
423.0,474.0,13.3,36.7,50.0,0.691,within 1.5-fold
714.0,474.0,43.0,7.0,50.0,0.522,within 2-fold
519.8,490.3,24.2,27.8,48.1,0.827,within 1.25-fold
314.0,495.0,3.4,49.1,47.5,0.686,within 1.5-fold
341.8,499.1,6.5,46.5,47.0,0.513,within 2-fold
476.0,499.0,20.2,32.8,47.1,0.900,within 1.25-fold
745.0,512.0,48.5,6.0,45.5,0.496,Beyond 2-fold
602.0,532.0,35.0,21.8,43.2,0.435,Beyond 2-fold
278.0,541.0,2.4,55.5,42.1,0.595,within 2-fold
370.0,549.0,12.3,46.6,41.2,0.642,within 2-fold
476.0,549.0,23.1,35.7,41.2,0.513,within 2-fold
316.0,574.0,8.2,53.6,38.2,0.750,within 1.5-fold
234.0,583.0,0.4,62.5,37.1,0.642,within 2-fold
490.0,614.0,28.4,38.1,33.5,0.546,within 2-fold
438.0,616.0,23.2,43.6,33.3,0.644,within 2-fold
389.0,633.0,19.2,49.6,31.2,0.865,within 1.25-fold
309.0,639.0,11.3,58.1,30.5,0.609,within 2-fold
229.0,642.0,3.3,66.5,30.2,0.522,within 2-fold
195.0,650.0,0.3,70.4,29.2,0.672,within 1.5-fold
656.0,658.0,47.9,23.8,28.3,0.454,Beyond 2-fold
782.0,658.0,60.8,10.9,28.3,0.696,within 1.5-fold
171.0,692.0,0.4,75.4,24.3,0.604,within 2-fold
345.0,692.0,18.1,57.6,24.3,0.522,within 2-fold
224.0,717.0,7.2,71.4,21.3,0.506,within 2-fold
266.2,739.0,12.9,68.4,18.8,0.635,within 2-fold
221.2,757.1,9.3,74.1,16.6,0.571,within 2-fold
278.0,759.0,15.2,68.4,16.4,0.741,within 1.5-fold
695.0,759.0,57.9,25.7,16.4,0.722,within 1.5-fold
564.0,775.0,45.4,40.1,14.5,0.623,within 2-fold
137.0,779.3,2.0,84.0,14.0,0.715,within 1.5-fold
215.0,784.0,10.3,76.3,13.4,0.710,within 1.5-fold
137.0,801.0,3.3,85.3,11.4,0.677,within 1.5-fold
