DQ_pct_X,TBZ_pct_Y,THI_pct_Z,Z2,density
0,0,100,0.5381,0.2791
0,1,99,0.5389,0.2992
0,2,98,0.5398,0.3195
0,3,97,0.5406,0.3399
0,4,96,0.5415,0.3603
0,5,95,0.5424,0.3807
0,6,94,0.5433,0.4008
0,7,93,0.5442,0.4206
0,8,92,0.5452,0.4399
0,9,91,0.5462,0.4586
0,10,90,0.5473,0.4766
0,11,89,0.5484,0.4939
0,12,88,0.5496,0.5104
0,13,87,0.5508,0.5259
0,14,86,0.5522,0.5406
0,15,85,0.5536,0.5542
0,16,84,0.5551,0.5668
0,17,83,0.5567,0.5785
0,18,82,0.5585,0.5892
0,19,81,0.5603,0.5990
0,20,80,0.5623,0.6078
0,21,79,0.5643,0.6159
0,22,78,0.5665,0.6232
0,23,77,0.5688,0.6298
0,24,76,0.5712,0.6358
0,25,75,0.5737,0.6412
0,26,74,0.5763,0.6462
0,27,73,0.5789,0.6508
0,28,72,0.5817,0.6551
0,29,71,0.5845,0.6592
0,30,70,0.5873,0.6630
0,31,69,0.5901,0.6667
0,32,68,0.5929,0.6703
0,33,67,0.5957,0.6738
0,34,66,0.5984,0.6772
0,35,65,0.6011,0.6806
0,36,64,0.6037,0.6838
0,37,63,0.6062,0.6870
0,38,62,0.6086,0.6900
0,39,61,0.6109,0.6929
0,40,60,0.6130,0.6955
0,41,59,0.6150,0.6980
0,42,58,0.6169,0.7002
0,43,57,0.6186,0.7020
0,44,56,0.6201,0.7036
0,45,55,0.6216,0.7047
0,46,54,0.6228,0.7055
0,47,53,0.6240,0.7058
0,48,52,0.6250,0.7057
0,49,51,0.6259,0.7051
0,50,50,0.6266,0.7040
0,51,49,0.6273,0.7025
0,52,48,0.6278,0.7005
0,53,47,0.6283,0.6980
0,54,46,0.6286,0.6951
0,55,45,0.6289,0.6918
0,56,44,0.6291,0.6880
0,57,43,0.6293,0.6838
0,58,42,0.6294,0.6793
0,59,41,0.6294,0.6743
0,60,40,0.6294,0.6689
0,61,39,0.6294,0.6632
0,62,38,0.6294,0.6570
0,63,37,0.6294,0.6505
0,64,36,0.6294,0.6436
0,65,35,0.6294,0.6362
0,66,34,0.6294,0.6284
0,67,33,0.6294,0.6202
0,68,32,0.6295,0.6114
0,69,31,0.6296,0.6021
0,70,30,0.6298,0.5923
0,71,29,0.6300,0.5819
0,72,28,0.6303,0.5709
0,73,27,0.6306,0.5592
0,74,26,0.6310,0.5470
0,75,25,0.6314,0.5340
0,76,24,0.6319,0.5205
0,77,23,0.6325,0.5063
0,78,22,0.6331,0.4914
0,79,21,0.6338,0.4759
0,80,20,0.6345,0.4599
0,81,19,0.6353,0.4433
0,82,18,0.6361,0.4263
0,83,17,0.6370,0.4088
0,84,16,0.6379,0.3910
0,85,15,0.6389,0.3729
0,86,14,0.6399,0.3546
0,87,13,0.6409,0.3362
0,88,12,0.6419,0.3177
0,89,11,0.6430,0.2993
0,90,10,0.6441,0.2811
0,91,9,0.6452,0.2631
0,92,8,0.6463,0.2454
0,93,7,0.6475,0.2282
0,94,6,0.6486,0.2113
0,95,5,0.6498,0.1951
0,96,4,0.6509,0.1794
0,97,3,0.6520,0.1644
0,98,2,0.6532,0.1501
0,99,1,0.6543,0.1365
0,100,0,0.6554,0.1236
1,0,99,0.5398,0.3044
1,1,98,0.5407,0.3256
1,2,97,0.5415,0.3471
1,3,96,0.5423,0.3687
1,4,95,0.5432,0.3903
1,5,94,0.5441,0.4116
1,6,93,0.5450,0.4327
1,7,92,0.5459,0.4533
1,8,91,0.5469,0.4734
1,9,90,0.5479,0.4928
1,10,89,0.5490,0.5114
1,11,88,0.5501,0.5291
1,12,87,0.5513,0.5459
1,13,86,0.5525,0.5618
1,14,85,0.5539,0.5765
1,15,84,0.5553,0.5903
1,16,83,0.5568,0.6029
1,17,82,0.5584,0.6145
