X_NNLS,Y_NNLS,X_PLSR,Y_PLSR,X_MLP,Y_MLP
0.874,0.377,2.081,1.523,2.937,1.343
1.000,1.622,1.897,0.847,2.964,1.252
1.035,2.675,1.851,2.044,3.140,0.341
0.840,3.768,2.033,1.136,2.869,1.223
0.880,0.737,2.135,1.825,2.859,1.271
1.146,3.138,1.839,3.398,3.021,0.521
0.854,4.445,2.104,3.924,3.158,4.505
0.874,3.879,1.895,7.801,3.138,1.037
1.152,5.570,1.862,1.699,3.068,3.025
1.041,6.153,1.836,4.008,2.853,4.736
0.955,7.289,1.930,4.095,3.104,4.934
1.004,9.510,2.077,6.954,3.062,1.212
1.055,8.782,1.998,5.524,2.879,0.272
0.924,8.843,2.120,4.233,2.988,5.028
0.877,7.030,1.904,6.124,2.847,5.412
1.098,16.890,1.937,4.689,3.103,8.592
1.058,0.968,1.918,0.846,3.074,0.552
1.004,0.270,2.163,1.698,3.104,1.011
1.108,2.622,2.150,4.925,3.089,1.641
1.017,3.259,1.946,2.880,2.921,1.218
1.164,0.815,1.978,0.516,3.099,0.771
0.900,0.819,1.937,2.713,2.915,1.087
1.018,4.799,2.084,2.105,2.877,1.606
0.994,7.555,1.844,3.038,2.963,1.766
0.950,3.318,1.853,0.783,2.999,0.487
1.031,3.086,1.967,2.382,2.927,3.070
0.910,9.842,1.913,1.372,3.036,3.598
1.103,12.061,2.117,5.463,3.035,7.015
1.125,8.108,2.082,3.796,2.912,1.015
0.874,10.290,2.016,5.419,3.042,3.038
0.989,7.586,2.055,4.676,2.951,3.438
0.924,10.916,2.065,9.225,3.080,2.293
0.858,4.692,2.096,0.721,2.929,0.817
1.135,4.666,2.145,1.295,3.102,1.673
0.976,7.122,1.881,3.702,2.971,1.656
0.880,5.925,2.043,7.641,3.018,2.295
1.059,4.030,1.879,0.996,3.059,1.825
0.899,3.969,1.981,2.168,3.006,0.077
1.136,4.456,2.097,0.089,2.918,0.930
0.904,8.623,2.134,9.437,3.163,4.857
0.841,2.848,2.088,0.151,2.863,0.815
0.898,5.577,1.842,1.413,2.940,1.215
0.948,8.101,1.952,3.777,3.017,0.381
0.989,13.529,1.885,1.825,2.840,2.179
1.138,4.718,2.170,2.394,2.883,0.496
1.067,6.329,1.879,9.966,3.102,6.746
0.945,10.200,1.913,7.745,3.096,7.641
0.836,13.865,1.951,15.812,3.047,1.180
0.884,5.704,1.851,0.342,3.137,2.900
1.169,13.852,2.126,4.136,3.087,3.181
0.986,19.765,2.046,5.891,2.932,7.046
1.065,17.285,1.884,4.636,3.049,2.841
0.849,2.656,1.999,4.660,2.946,2.106
0.842,13.410,1.857,0.445,3.085,3.897
1.118,11.691,2.038,2.323,2.961,0.466
1.030,18.256,1.909,1.362,2.882,3.164
0.935,5.404,1.843,4.545,3.128,2.442
0.938,12.896,1.869,4.792,3.065,3.891
0.860,20.370,2.019,2.239,3.083,7.205
0.889,20.570,2.047,4.679,3.020,2.852
0.838,5.317,1.940,12.228,3.096,2.003
1.115,11.528,2.049,8.203,2.982,2.359
0.989,26.359,1.950,8.125,3.022,3.391
0.873,23.678,1.874,3.321,2.851,4.179
