THI_NNLS,THI_PLS-R,THI_MLP,TBZ_NNLS,TBZ_PLS-R,TBZ_MLP,DQ_NNLS,DQ_PLS-R,DQ_MLP
0.103,2.109,1.887,0.504,0.675,0.752,0.401,1.434,1.135
2.009,1.096,1.667,1.962,0.132,1.349,0.048,0.965,0.318
3.751,2.856,0.412,2.302,1.042,0.010,1.448,1.814,0.422
5.328,1.478,1.368,2.640,0.194,1.601,2.688,1.284,0.233
1.007,1.454,1.744,0.735,1.120,1.247,0.273,2.574,0.498
3.397,2.104,0.736,4.171,2.689,0.385,0.774,4.793,0.352
5.871,2.325,6.047,4.882,3.201,1.287,0.989,5.526,4.760
5.111,8.205,0.501,4.280,2.284,0.943,0.831,10.489,1.444
2.329,1.772,1.532,7.681,2.292,4.225,5.352,0.519,2.693
3.272,0.186,0.903,8.619,4.999,6.199,5.347,4.813,5.296
8.486,2.618,4.097,9.312,5.783,2.843,0.826,3.164,6.940
12.332,4.349,1.502,10.814,5.464,1.467,1.518,9.813,0.036
3.015,0.494,0.135,11.941,7.000,0.244,8.926,6.505,0.379
5.169,1.156,3.388,12.447,5.665,7.108,7.277,4.509,3.720
5.081,8.207,6.589,4.860,6.500,6.668,9.941,1.707,0.079
20.680,3.210,6.124,20.693,3.420,6.028,0.014,6.631,12.151
0.558,1.197,0.319,0.804,0.605,0.457,1.362,0.591,0.776
0.113,2.031,1.172,0.260,2.126,0.122,0.373,0.095,1.295
3.584,5.829,2.223,0.967,0.388,1.688,2.617,6.216,0.535
4.564,3.389,0.331,1.723,3.652,1.629,2.841,0.263,1.298
1.140,0.460,1.091,0.426,0.720,0.545,0.714,0.261,0.546
0.288,2.939,0.600,0.828,0.667,0.926,1.115,3.606,1.526
6.777,1.589,2.265,3.707,1.386,1.282,3.070,2.975,0.982
10.679,4.004,0.923,5.627,0.652,2.471,5.052,3.352,1.548
2.990,0.909,0.502,4.626,1.002,0.159,1.637,0.092,0.660
1.311,1.117,1.327,4.261,2.194,4.244,2.950,3.311,2.917
13.094,1.292,0.044,10.633,0.607,4.428,2.462,1.899,4.385
16.702,7.725,9.390,11.347,3.859,1.922,5.355,3.867,7.468
2.620,0.072,0.645,10.977,4.612,0.788,8.357,4.685,1.433
5.945,1.592,1.981,14.476,7.288,4.293,8.531,5.696,2.311
2.214,5.198,3.295,10.198,6.140,4.744,7.984,0.942,1.449
0.527,10.961,0.687,13.098,0.646,3.088,13.626,11.607,2.401
2.884,0.490,0.788,3.733,1.019,0.338,6.617,0.530,1.126
1.348,1.804,2.317,4.920,1.174,0.743,6.268,0.630,1.574
8.729,4.679,0.322,0.012,0.305,1.848,8.717,4.374,2.170
5.811,10.159,1.944,2.323,1.890,3.223,8.134,8.269,1.279
2.934,0.885,2.564,2.764,1.392,1.029,5.698,0.507,1.535
3.630,2.753,0.086,1.892,0.209,0.013,5.522,2.544,0.100
4.126,0.080,0.841,2.062,0.044,0.456,6.188,0.124,1.297
11.732,10.640,6.573,2.984,1.656,1.559,8.748,12.297,5.013
4.026,0.072,0.772,1.897,0.210,0.355,2.129,0.138,1.128
5.739,0.338,0.239,7.554,1.875,1.593,1.815,1.537,1.354
11.455,0.322,0.306,5.559,4.779,0.537,5.896,4.457,0.232
19.133,2.472,3.080,9.714,0.594,1.440,9.418,1.878,1.640
6.269,1.280,0.700,5.113,3.355,0.381,1.155,2.074,0.320
2.801,4.368,3.585,5.961,13.788,9.449,8.763,9.421,5.864
13.863,0.651,3.730,10.386,9.794,10.648,3.477,9.143,6.917
18.840,15.257,0.375,14.125,21.787,1.221,4.715,6.530,1.596
6.867,0.083,0.991,0.234,0.454,2.951,7.100,0.371,3.943
16.511,3.902,0.234,0.875,5.724,3.774,17.386,1.822,4.008
25.243,2.424,0.391,2.226,5.692,8.427,23.017,8.115,8.819
21.424,1.595,1.563,0.518,4.710,2.424,20.906,6.304,3.986
3.748,2.767,0.410,2.085,3.796,2.350,1.663,6.563,2.760
18.004,0.574,1.906,3.841,0.064,3.525,14.163,0.510,5.431
15.977,1.753,0.092,4.307,1.530,0.611,11.670,3.283,0.519
23.967,1.671,2.393,3.670,0.008,2.078,20.297,1.664,4.471
3.646,1.954,0.731,7.640,4.327,2.558,3.994,6.280,3.288
18.220,1.448,1.312,9.804,5.010,3.972,8.416,6.457,5.284
28.266,2.657,8.739,9.320,2.821,0.170,18.947,0.164,8.908
28.772,0.265,1.232,10.672,5.859,3.942,18.100,5.594,2.710
5.367,3.906,1.334,7.245,12.636,2.831,1.878,16.542,1.497
15.659,6.446,3.308,11.760,5.131,2.032,3.899,11.576,1.275
37.114,10.420,0.408,21.571,9.404,4.342,15.543,1.016,3.934
33.483,0.543,5.115,16.344,4.312,0.007,17.139,3.768,5.122
