X_NNLS,Y_NNLS,X_PLSR,Y_PLSR,X_MLP,Y_MLP
1.019,1.506,1.882,17.095,2.853,12.559
1.107,2.108,2.026,4.452,2.873,8.296
1.070,7.320,1.859,3.892,2.957,3.108
1.103,43.905,2.056,27.877,2.945,18.251
0.999,2.809,2.105,14.935,3.022,17.465
1.130,2.849,2.141,6.144,3.132,1.825
0.867,3.847,1.982,5.526,2.954,7.404
1.128,5.633,1.870,12.135,2.893,3.063
0.956,5.576,2.137,5.944,3.027,4.829
0.861,6.049,2.126,4.008,2.831,6.128
1.041,6.477,2.159,4.294,2.961,5.449
0.985,7.687,2.032,7.209,2.938,2.123
0.976,12.384,2.059,5.518,2.962,2.639
1.120,11.580,1.957,3.902,2.847,5.226
0.877,8.351,1.892,21.829,3.018,14.719
1.040,15.368,1.929,7.907,3.042,10.619
0.971,2.934,2.075,5.485,3.085,2.911
1.010,3.277,1.940,2.157,3.156,1.065
1.000,3.378,2.065,10.892,2.951,1.742
0.876,2.278,2.001,2.642,3.053,6.916
1.004,3.809,1.983,2.751,2.980,4.060
1.123,4.240,2.159,3.961,2.903,1.069
0.888,3.839,1.886,6.785,3.132,8.894
0.834,44.011,1.996,8.213,3.084,1.761
0.853,6.383,1.884,0.912,3.151,5.088
0.986,6.954,2.149,2.674,3.109,3.312
1.161,18.130,1.996,4.063,3.142,3.572
0.845,44.361,1.943,7.448,2.874,8.013
1.167,12.250,1.887,4.110,2.835,2.188
1.012,11.717,2.032,5.312,2.898,40.363
0.871,7.594,1.966,9.317,2.970,4.841
0.972,17.034,1.873,12.142,3.064,12.839
0.901,6.557,1.841,3.931,2.979,8.519
1.073,7.141,1.963,2.167,3.005,4.150
1.014,6.814,2.028,7.676,3.089,1.631
0.928,12.539,2.006,10.477,2.854,5.631
0.917,7.005,2.136,1.706,3.061,2.979
1.125,7.359,2.140,3.144,2.847,0.716
1.091,8.915,2.148,1.834,2.915,2.355
0.978,9.918,2.102,10.572,3.076,7.272
0.968,8.586,1.992,1.768,3.062,1.192
1.081,6.550,2.008,1.442,2.968,2.236
1.160,7.258,1.965,3.911,2.930,1.395
0.857,8.668,1.966,3.788,3.112,6.122
0.884,14.154,1.844,2.664,2.923,1.488
0.953,6.349,2.102,43.355,2.841,14.011
1.003,9.584,1.914,24.855,2.914,24.685
0.854,13.676,1.840,60.701,2.837,2.368
0.848,10.023,1.989,8.445,3.106,2.958
0.905,12.417,2.074,31.269,2.872,3.721
0.961,30.939,1.978,17.294,3.161,7.934
1.081,13.284,1.954,4.618,2.902,6.750
1.037,9.423,2.054,7.110,2.934,14.841
0.840,11.904,1.885,1.727,3.029,3.716
0.845,10.362,1.834,7.447,2.935,3.307
0.984,13.462,2.031,3.606,2.959,3.117
1.127,8.291,2.010,5.877,2.865,9.313
1.141,11.551,2.124,4.231,2.962,6.599
0.954,15.365,1.971,4.521,2.839,8.538
1.132,19.798,2.097,4.562,2.906,11.467
1.146,12.454,1.836,12.518,3.139,2.228
0.968,13.582,1.839,9.756,2.925,6.973
1.084,20.092,2.034,11.005,2.922,8.198
0.954,17.220,1.907,12.780,3.061,10.281
