NNLS,PLS-R,MLP
1.506,17.095,12.559
2.108,4.452,8.296
7.320,3.892,3.108
43.905,27.877,18.251
2.809,14.935,17.465
2.849,6.144,1.825
3.847,5.526,7.404
5.633,12.135,3.063
5.576,5.944,4.829
6.049,4.008,6.128
6.477,4.294,5.449
7.687,7.209,2.123
12.384,5.518,2.639
11.580,3.902,5.226
8.351,21.829,14.719
15.368,7.907,10.619
2.934,5.485,2.911
3.277,2.157,1.065
3.378,10.892,1.742
2.278,2.642,6.916
3.809,2.751,4.060
4.240,3.961,1.069
3.839,6.785,8.894
44.011,8.213,1.761
6.383,0.912,5.088
6.954,2.674,3.312
18.130,4.063,3.572
44.361,7.448,8.013
12.250,4.110,2.188
11.717,5.312,40.363
7.594,9.317,4.841
17.034,12.142,12.839
6.557,3.931,8.519
7.141,2.167,4.150
6.814,7.676,1.631
12.539,10.477,5.631
7.005,1.706,2.979
7.359,3.144,0.716
8.915,1.834,2.355
9.918,10.572,7.272
8.586,1.768,1.192
6.550,1.442,2.236
7.258,3.911,1.395
8.668,3.788,6.122
14.154,2.664,1.488
6.349,43.355,14.011
9.584,24.855,24.685
13.676,60.701,2.368
10.023,8.445,2.958
12.417,31.269,3.721
30.939,17.294,7.934
13.284,4.618,6.750
9.423,7.110,14.841
11.904,1.727,3.716
10.362,7.447,3.307
13.462,3.606,3.117
8.291,5.877,9.313
11.551,4.231,6.599
15.365,4.521,8.538
19.798,4.562,11.467
12.454,12.518,2.228
13.582,9.756,6.973
20.092,11.005,8.198
17.220,12.780,10.281
