THI_NNLS,THI_PLS-R,THI_MLP,TBZ_NNLS,TBZ_PLS-R,TBZ_MLP,DQ_NNLS,DQ_PLS-R,DQ_MLP
1.440,2.220,2.160,1.750,18.540,14.390,1.290,22.980,16.170
3.150,4.290,7.180,1.810,3.570,10.230,0.370,5.320,7.090
12.520,2.950,5.220,1.910,3.610,1.180,0.580,4.870,0.580
76.000,46.620,30.350,1.770,7.010,8.050,1.940,10.430,3.650
1.580,3.610,2.750,4.130,14.880,27.170,2.030,20.850,13.010
0.240,0.800,2.820,4.880,0.220,1.350,0.690,10.610,0.470
4.270,1.830,1.480,4.980,2.000,6.880,1.170,9.180,10.720
8.140,3.720,4.920,5.060,0.520,1.890,1.820,20.680,0.610
0.120,6.380,4.760,9.470,7.070,1.320,1.890,3.910,6.750
1.390,0.130,4.100,10.320,5.070,3.510,1.150,4.740,9.140
2.790,0.690,2.390,10.790,7.190,0.860,1.280,1.770,9.090
7.330,1.840,1.560,10.980,4.630,3.300,1.720,11.450,0.450
1.690,0.500,0.430,21.380,6.970,4.430,0.400,6.520,1.040
2.080,1.900,2.990,19.940,3.740,7.820,0.610,5.300,3.440
7.330,4.410,3.320,11.070,37.000,25.220,5.740,6.410,1.690
16.340,9.220,12.010,21.010,9.370,11.950,0.280,3.840,7.160
1.800,0.880,1.260,1.720,4.750,1.040,4.430,8.180,4.770
3.720,1.100,1.460,1.780,3.330,0.250,3.900,1.290,1.100
3.620,0.490,0.590,1.910,2.290,2.470,4.180,18.720,1.630
0.460,2.090,11.440,1.950,4.070,0.540,3.400,0.100,3.510
1.840,0.770,0.200,4.440,3.970,4.970,4.520,2.520,4.970
4.320,2.020,0.730,4.480,0.930,1.050,3.900,6.490,1.340
1.630,6.250,14.750,4.730,2.090,2.850,4.380,9.730,3.410
76.000,9.250,0.770,4.930,5.060,2.530,3.270,9.550,1.520
1.510,0.780,1.070,10.160,1.370,7.280,4.090,0.110,4.850
4.480,0.490,0.080,10.390,0.930,5.560,4.130,4.510,1.410
29.860,2.960,0.450,9.720,3.920,4.740,0.100,5.040,3.950
76.000,12.090,13.190,10.400,2.740,1.700,4.410,3.570,3.970
1.700,0.590,0.070,20.980,0.250,3.120,2.670,7.090,2.150
1.300,2.060,7.250,20.250,6.270,69.260,0.280,6.410,6.160
1.840,3.010,2.300,10.570,15.840,8.010,7.610,0.690,0.930
19.580,17.150,14.880,21.950,11.730,16.270,2.300,3.250,2.900
1.960,0.920,1.460,1.800,3.270,2.370,11.040,5.900,14.490
4.950,1.010,0.900,1.870,1.970,2.180,11.180,3.030,6.790
4.390,0.770,0.670,1.900,2.070,1.990,10.790,13.110,1.890
18.450,4.050,8.550,2.010,4.050,1.360,11.280,17.220,4.490
2.080,0.550,4.580,4.630,2.580,0.770,11.020,1.330,2.250
4.460,0.360,0.390,4.740,1.790,0.470,10.960,5.130,1.080
9.570,2.190,1.840,4.790,1.100,0.890,11.130,2.020,3.530
12.270,8.500,0.320,5.010,0.960,4.550,10.930,16.190,11.740
1.890,0.470,0.640,10.410,2.280,0.360,10.450,1.990,1.930
0.480,0.070,1.310,9.910,2.300,0.190,5.500,0.970,3.640
0.360,0.040,1.080,8.800,5.290,1.830,8.970,4.230,1.150
1.460,6.320,7.190,10.650,1.660,5.450,10.480,0.600,5.570
1.980,1.100,0.940,21.920,4.230,2.190,10.800,1.480,0.980
2.780,1.730,2.540,5.860,74.890,23.920,8.880,5.250,3.210
7.640,9.960,3.880,13.660,41.380,42.520,5.530,6.470,2.240
7.940,0.650,2.460,20.300,105.080,1.710,9.270,3.420,2.800
0.940,1.730,2.040,1.710,2.600,4.510,17.250,14.290,1.320
3.730,0.800,0.250,1.320,25.280,3.250,21.140,47.890,5.560
48.650,21.210,2.360,1.740,17.010,5.890,22.400,12.570,12.190
3.760,3.130,6.070,1.890,5.170,0.800,22.620,5.240,9.960
0.480,0.880,1.800,4.540,0.590,0.770,15.670,12.270,25.630
9.950,1.430,2.320,4.570,0.710,4.030,17.470,2.530,4.450
5.050,4.110,2.390,4.970,1.680,0.410,16.490,12.110,5.190
3.860,2.750,2.560,5.020,1.040,2.110,22.440,5.510,4.260
0.220,0.880,0.330,9.880,0.800,1.850,10.420,10.110,16.020
10.670,1.720,0.370,10.490,5.430,2.350,13.280,4.610,11.180
12.860,0.990,1.540,10.340,5.110,4.050,20.880,5.850,14.140
26.940,3.820,13.320,10.720,6.890,4.530,18.310,0.610,14.020
0.480,4.100,1.170,17.030,13.660,3.640,13.230,16.330,0.520
4.410,2.050,0.440,18.120,5.160,8.790,14.340,15.960,8.270
18.900,0.830,4.290,22.470,15.650,11.790,18.680,10.850,6.650
0.900,12.940,7.000,20.920,10.650,9.980,21.240,14.460,12.980
