condition,True_THI_uM,True_TBZ_uM,True_DQ_uM,RMSE_NNLS_uM,abserr_THI_NNLS_uM,abserr_TBZ_NNLS_uM,abserr_DQ_NNLS_uM,RMSE_PLS-R_uM,abserr_THI_PLS-R_uM,abserr_TBZ_PLS-R_uM,abserr_DQ_PLS-R_uM,RMSE_MLP_uM,abserr_THI_MLP_uM,abserr_TBZ_MLP_uM,abserr_DQ_MLP_uM
DQ3-TB3-TH3,3.0,3.0,3.0,0.377,0.103,0.504,0.401,1.523,2.109,0.675,1.434,1.343,1.887,0.752,1.135
DQ3-TB3-TH6,6.0,3.0,3.0,1.622,2.009,1.962,0.048,0.847,1.096,0.132,0.965,1.252,1.667,1.349,0.318
DQ3-TB3-TH12,12.0,3.0,3.0,2.675,3.751,2.302,1.448,2.044,2.856,1.042,1.814,0.341,0.412,0.01,0.422
DQ3-TB3-TH24,24.0,3.0,3.0,3.768,5.328,2.64,2.688,1.136,1.478,0.194,1.284,1.223,1.368,1.601,0.233
DQ3-TB6-TH3,3.0,6.0,3.0,0.737,1.007,0.735,0.273,1.825,1.454,1.12,2.574,1.271,1.744,1.247,0.498
DQ3-TB6-TH6,6.0,6.0,3.0,3.138,3.397,4.171,0.774,3.398,2.104,2.689,4.793,0.521,0.736,0.385,0.352
DQ3-TB6-TH12,12.0,6.0,3.0,4.445,5.871,4.882,0.989,3.924,2.325,3.201,5.526,4.505,6.047,1.287,4.76
DQ3-TB6-TH24,24.0,6.0,3.0,3.879,5.111,4.28,0.831,7.801,8.205,2.284,10.489,1.037,0.501,0.943,1.444
DQ3-TB12-TH3,3.0,12.0,3.0,5.57,2.329,7.681,5.352,1.699,1.772,2.292,0.519,3.025,1.532,4.225,2.693
DQ3-TB12-TH6,6.0,12.0,3.0,6.153,3.272,8.619,5.347,4.008,0.186,4.999,4.813,4.736,0.903,6.199,5.296
DQ3-TB12-TH12,12.0,12.0,3.0,7.289,8.486,9.312,0.826,4.095,2.618,5.783,3.164,4.934,4.097,2.843,6.94
DQ3-TB12-TH24,24.0,12.0,3.0,9.51,12.332,10.814,1.518,6.954,4.349,5.464,9.813,1.212,1.502,1.467,0.036
DQ3-TB24-TH3,3.0,24.0,3.0,8.782,3.015,11.941,8.926,5.524,0.494,7.0,6.505,0.272,0.135,0.244,0.379
DQ3-TB24-TH6,6.0,24.0,3.0,8.843,5.169,12.447,7.277,4.233,1.156,5.665,4.509,5.028,3.388,7.108,3.72
DQ3-TB24-TH12,12.0,24.0,3.0,7.03,5.081,4.86,9.941,6.124,8.207,6.5,1.707,5.412,6.589,6.668,0.079
DQ3-TB24-TH24,24.0,24.0,3.0,16.89,20.68,20.693,0.014,4.689,3.21,3.42,6.631,8.592,6.124,6.028,12.151
DQ6-TB3-TH3,3.0,3.0,6.0,0.968,0.558,0.804,1.362,0.846,1.197,0.605,0.591,0.552,0.319,0.457,0.776
DQ6-TB3-TH6,6.0,3.0,6.0,0.27,0.113,0.26,0.373,1.698,2.031,2.126,0.095,1.011,1.172,0.122,1.295
DQ6-TB3-TH12,12.0,3.0,6.0,2.622,3.584,0.967,2.617,4.925,5.829,0.388,6.216,1.641,2.223,1.688,0.535
DQ6-TB3-TH24,24.0,3.0,6.0,3.259,4.564,1.723,2.841,2.88,3.389,3.652,0.263,1.218,0.331,1.629,1.298
DQ6-TB6-TH3,3.0,6.0,6.0,0.815,1.14,0.426,0.714,0.516,0.46,0.72,0.261,0.771,1.091,0.545,0.546
DQ6-TB6-TH6,6.0,6.0,6.0,0.819,0.288,0.828,1.115,2.713,2.939,0.667,3.606,1.087,0.6,0.926,1.526
DQ6-TB6-TH12,12.0,6.0,6.0,4.799,6.777,3.707,3.07,2.105,1.589,1.386,2.975,1.606,2.265,1.282,0.982
DQ6-TB6-TH24,24.0,6.0,6.0,7.555,10.679,5.627,5.052,3.038,4.004,0.652,3.352,1.766,0.923,2.471,1.548
DQ6-TB12-TH3,3.0,12.0,6.0,3.318,2.99,4.626,1.637,0.783,0.909,1.002,0.092,0.487,0.502,0.159,0.66
DQ6-TB12-TH6,6.0,12.0,6.0,3.086,1.311,4.261,2.95,2.382,1.117,2.194,3.311,3.07,1.327,4.244,2.917
DQ6-TB12-TH12,12.0,12.0,6.0,9.842,13.094,10.633,2.462,1.372,1.292,0.607,1.899,3.598,0.044,4.428,4.385
DQ6-TB12-TH24,24.0,12.0,6.0,12.061,16.702,11.347,5.355,5.463,7.725,3.859,3.867,7.015,9.39,1.922,7.468
DQ6-TB24-TH3,3.0,24.0,6.0,8.108,2.62,10.977,8.357,3.796,0.072,4.612,4.685,1.015,0.645,0.788,1.433
DQ6-TB24-TH6,6.0,24.0,6.0,10.29,5.945,14.476,8.531,5.419,1.592,7.288,5.696,3.038,1.981,4.293,2.311
DQ6-TB24-TH12,12.0,24.0,6.0,7.586,2.214,10.198,7.984,4.676,5.198,6.14,0.942,3.438,3.295,4.744,1.449
DQ6-TB24-TH24,24.0,24.0,6.0,10.916,0.527,13.098,13.626,9.225,10.961,0.646,11.607,2.293,0.687,3.088,2.401
DQ12-TB3-TH3,3.0,3.0,12.0,4.692,2.884,3.733,6.617,0.721,0.49,1.019,0.53,0.817,0.788,0.338,1.126
DQ12-TB3-TH6,6.0,3.0,12.0,4.666,1.348,4.92,6.268,1.295,1.804,1.174,0.63,1.673,2.317,0.743,1.574
DQ12-TB3-TH12,12.0,3.0,12.0,7.122,8.729,0.012,8.717,3.702,4.679,0.305,4.374,1.656,0.322,1.848,2.17
DQ12-TB3-TH24,24.0,3.0,12.0,5.925,5.811,2.323,8.134,7.641,10.159,1.89,8.269,2.295,1.944,3.223,1.279
DQ12-TB6-TH3,3.0,6.0,12.0,4.03,2.934,2.764,5.698,0.996,0.885,1.392,0.507,1.825,2.564,1.029,1.535
DQ12-TB6-TH6,6.0,6.0,12.0,3.969,3.63,1.892,5.522,2.168,2.753,0.209,2.544,0.077,0.086,0.013,0.1
DQ12-TB6-TH12,12.0,6.0,12.0,4.456,4.126,2.062,6.188,0.089,0.08,0.044,0.124,0.93,0.841,0.456,1.297
DQ12-TB6-TH24,24.0,6.0,12.0,8.623,11.732,2.984,8.748,9.437,10.64,1.656,12.297,4.857,6.573,1.559,5.013
DQ12-TB12-TH3,3.0,12.0,12.0,2.848,4.026,1.897,2.129,0.151,0.072,0.21,0.138,0.815,0.772,0.355,1.128
DQ12-TB12-TH6,6.0,12.0,12.0,5.577,5.739,7.554,1.815,1.413,0.338,1.875,1.537,1.215,0.239,1.593,1.354
DQ12-TB12-TH12,12.0,12.0,12.0,8.101,11.455,5.559,5.896,3.777,0.322,4.779,4.457,0.381,0.306,0.537,0.232
DQ12-TB12-TH24,24.0,12.0,12.0,13.529,19.133,9.714,9.418,1.825,2.472,0.594,1.878,2.179,3.08,1.44,1.64
DQ12-TB24-TH3,3.0,24.0,12.0,4.718,6.269,5.113,1.155,2.394,1.28,3.355,2.074,0.496,0.7,0.381,0.32
DQ12-TB24-TH6,6.0,24.0,12.0,6.329,2.801,5.961,8.763,9.966,4.368,13.788,9.421,6.746,3.585,9.449,5.864
DQ12-TB24-TH12,12.0,24.0,12.0,10.2,13.863,10.386,3.477,7.745,0.651,9.794,9.143,7.641,3.73,10.648,6.917
DQ12-TB24-TH24,24.0,24.0,12.0,13.865,18.84,14.125,4.715,15.812,15.257,21.787,6.53,1.18,0.375,1.221,1.596
DQ24-TB3-TH3,3.0,3.0,24.0,5.704,6.867,0.234,7.1,0.342,0.083,0.454,0.371,2.9,0.991,2.951,3.943
DQ24-TB3-TH6,6.0,3.0,24.0,13.852,16.511,0.875,17.386,4.136,3.902,5.724,1.822,3.181,0.234,3.774,4.008
