NNLS,PLS-R,MLP
0.377,1.523,1.343
1.622,0.847,1.252
2.675,2.044,0.341
3.768,1.136,1.223
0.737,1.825,1.271
3.138,3.398,0.521
4.445,3.924,4.505
3.879,7.801,1.037
5.570,1.699,3.025
6.153,4.008,4.736
7.289,4.095,4.934
9.510,6.954,1.212
8.782,5.524,0.272
8.843,4.233,5.028
7.030,6.124,5.412
16.890,4.689,8.592
0.968,0.846,0.552
0.270,1.698,1.011
2.622,4.925,1.641
3.259,2.880,1.218
0.815,0.516,0.771
0.819,2.713,1.087
4.799,2.105,1.606
7.555,3.038,1.766
3.318,0.783,0.487
3.086,2.382,3.070
9.842,1.372,3.598
12.061,5.463,7.015
8.108,3.796,1.015
10.290,5.419,3.038
7.586,4.676,3.438
10.916,9.225,2.293
4.692,0.721,0.817
4.666,1.295,1.673
7.122,3.702,1.656
5.925,7.641,2.295
4.030,0.996,1.825
3.969,2.168,0.077
4.456,0.089,0.930
8.623,9.437,4.857
2.848,0.151,0.815
5.577,1.413,1.215
8.101,3.777,0.381
13.529,1.825,2.179
4.718,2.394,0.496
6.329,9.966,6.746
10.200,7.745,7.641
13.865,15.812,1.180
5.704,0.342,2.900
13.852,4.136,3.181
19.765,5.891,7.046
17.285,4.636,2.841
2.656,4.660,2.106
13.410,0.445,3.897
11.691,2.323,0.466
18.256,1.362,3.164
5.404,4.545,2.442
12.896,4.792,3.891
20.370,2.239,7.205
20.570,4.679,2.852
5.317,12.228,2.003
11.528,8.203,2.359
26.359,8.125,3.391
23.678,3.321,4.179
