tolerance_fold,NNLS_pct,PLS_pct,MLP_pct
1.0,0.0,0.0,0.0
1.01,1.04,2.08,3.12
1.02,2.08,6.25,7.81
1.03,2.6,9.9,11.46
1.04,3.12,10.94,15.62
1.05,3.12,14.58,17.19
1.06,3.65,16.67,18.75
1.07,4.17,18.75,21.35
1.08,6.25,19.27,22.4
1.09,6.77,19.79,23.96
1.1,6.77,21.35,26.56
1.11,7.81,22.4,27.6
1.12,7.81,23.44,31.25
1.13,7.81,25.0,35.42
1.14,9.38,25.0,38.02
1.15,9.38,26.04,39.06
1.16,9.9,28.65,41.67
1.17,10.94,30.73,43.75
1.18,10.94,32.29,44.79
1.19,13.02,34.38,46.88
1.2,14.06,35.42,49.48
1.21,15.1,36.98,51.56
1.22,16.67,38.02,53.12
1.23,17.71,41.67,55.73
1.24,17.71,43.75,55.73
1.25,18.23,44.27,56.25
1.26,19.27,45.31,57.81
1.27,19.79,46.88,57.81
1.28,21.35,47.4,61.46
1.29,21.35,47.4,61.46
1.3,22.92,47.4,61.98
1.31,22.92,49.48,62.5
1.32,23.96,51.04,64.58
1.33,23.96,52.08,65.62
1.34,25.52,52.6,66.67
1.35,26.56,53.12,68.23
1.36,26.56,54.17,68.75
1.37,26.56,55.21,68.75
1.38,27.08,55.73,70.31
1.39,27.6,56.25,70.83
1.4,27.6,57.29,71.35
1.41,28.12,57.81,71.88
1.42,28.12,58.85,72.92
1.43,28.65,60.42,73.44
1.44,29.17,60.94,73.44
1.45,29.69,60.94,75.0
1.46,29.69,61.46,75.52
1.47,30.21,61.46,75.52
1.48,30.73,62.5,75.52
1.49,31.77,62.5,76.56
1.5,32.81,63.02,77.6
1.51,32.81,63.02,77.6
1.52,33.33,64.58,78.65
1.53,33.33,65.1,79.17
1.54,33.85,65.1,79.69
1.55,34.9,65.62,81.25
1.56,35.42,66.67,81.77
1.57,36.46,67.19,82.81
1.58,36.46,67.71,83.33
1.59,36.46,67.71,84.9
1.6,36.46,68.75,85.42
1.61,36.98,69.79,85.42
1.62,36.98,70.31,85.94
1.63,37.5,70.83,86.98
1.64,37.5,71.88,86.98
1.65,38.02,72.4,88.02
1.66,38.02,72.92,88.02
1.67,38.02,73.44,88.02
1.68,38.02,73.44,88.02
1.69,38.02,73.96,88.02
1.7,39.06,73.96,88.02
1.71,39.58,74.48,88.02
1.72,39.58,75.52,88.02
1.73,40.1,75.52,88.54
1.74,41.67,76.04,89.06
1.75,41.67,76.04,89.06
1.76,41.67,76.04,89.06
1.77,42.19,76.56,89.06
1.78,43.75,76.56,89.06
1.79,44.27,77.08,89.06
1.8,44.79,77.6,89.06
1.81,44.79,77.6,89.58
1.82,44.79,78.12,89.58
1.83,44.79,78.12,89.58
1.84,44.79,78.65,89.58
1.85,45.31,79.17,89.58
1.86,45.83,79.69,90.1
1.87,47.4,80.21,90.1
1.88,48.44,80.21,90.1
1.89,48.44,80.21,90.1
1.9,49.48,80.21,90.62
1.91,50.0,80.73,90.62
1.92,50.0,80.73,90.62
1.93,50.0,81.25,90.62
1.94,50.52,82.29,90.62
1.95,51.04,83.85,90.62
1.96,52.08,84.38,91.15
1.97,53.65,84.9,91.15
1.98,54.17,84.9,91.15
1.99,54.69,84.9,91.67
2.0,56.77,84.9,91.67
2.01,57.29,84.9,91.67
2.02,57.29,84.9,92.19
2.03,57.81,85.42,92.19
2.04,57.81,85.94,92.19
2.05,58.33,85.94,92.19
2.06,58.33,86.46,92.19
2.07,58.85,86.46,92.71
2.08,59.38,86.98,93.23
2.09,59.38,86.98,93.23
2.1,60.42,86.98,93.23
2.11,60.42,86.98,93.23
2.12,60.42,86.98,93.23
2.13,60.42,86.98,93.23
2.14,60.42,86.98,93.23
2.15,60.42,87.5,93.23
2.16,60.94,87.5,93.23
2.17,60.94,87.5,93.23
2.18,60.94,87.5,93.23
2.19,60.94,87.5,93.23
2.2,61.46,88.02,93.23
2.21,61.98,88.02,93.23
2.22,62.5,88.54,93.75
2.23,63.02,88.54,93.75
2.24,63.02,88.54,94.27
2.25,64.06,88.54,94.79
2.26,64.06,88.54,95.31
2.27,64.06,88.54,95.31
2.28,64.06,88.54,95.31
2.29,64.06,88.54,95.31
2.3,64.06,88.54,95.31
2.31,64.06,89.06,95.31
2.32,64.06,89.06,95.31
2.33,64.06,89.06,95.31
2.34,65.1,89.06,95.31
2.35,66.15,89.06,95.31
2.36,66.15,89.06,95.31
2.37,66.15,89.06,95.83
2.38,66.15,89.06,95.83
2.39,66.15,89.06,96.35
2.4,67.19,89.06,96.35
2.41,67.19,89.06,96.35
2.42,67.19,89.06,96.35
2.43,67.71,89.06,96.35
2.44,68.75,89.06,96.35
2.45,68.75,89.06,96.35
2.46,68.75,89.06,96.35
2.47,68.75,89.06,96.35
2.48,68.75,89.06,96.35
2.49,68.75,89.06,96.88
2.5,68.75,89.06,96.88
2.51,68.75,89.58,96.88
2.52,69.27,89.58,96.88
2.53,69.27,89.58,96.88
2.54,69.27,89.58,96.88
2.55,69.27,89.58,96.88
2.56,69.27,89.58,96.88
2.57,69.27,90.1,96.88
2.58,69.79,90.1,96.88
2.59,69.79,90.1,97.4
2.6,69.79,90.62,97.4
2.61,69.79,91.15,97.4
2.62,70.31,91.15,97.4
2.63,70.31,91.15,97.4
2.64,70.83,91.15,97.4
2.65,70.83,91.15,97.4
2.66,70.83,91.15,97.4
2.67,70.83,91.15,97.4
2.68,70.83,91.15,97.4
2.69,70.83,91.15,97.4
2.7,71.35,91.15,97.92
2.71,71.35,91.15,97.92
2.72,71.35,91.15,97.92
2.73,71.35,91.15,97.92
2.74,71.35,91.15,97.92
2.75,71.35,91.67,97.92
2.76,71.88,91.67,97.92
2.77,71.88,91.67,98.44
2.78,72.92,91.67,98.44
2.79,74.48,91.67,98.44
2.8,74.48,91.67,98.44
2.81,74.48,91.67,98.44
2.82,74.48,92.19,98.44
2.83,74.48,92.19,98.44
2.84,75.0,92.19,98.44
2.85,75.0,92.71,98.44
2.86,75.0,93.23,98.44
2.87,75.0,93.23,98.44
2.88,75.0,93.23,98.44
2.89,75.0,93.23,98.44
2.9,75.52,93.75,98.44
2.91,75.52,94.27,98.44
2.92,75.52,94.27,98.44
2.93,75.52,94.27,98.44
2.94,75.52,94.79,98.44
2.95,75.52,94.79,98.44
2.96,75.52,94.79,98.44
2.97,75.52,94.79,98.44
2.98,75.52,94.79,98.44
2.99,75.52,94.79,98.44
3.0,75.52,94.79,98.44
3.01,75.52,94.79,98.44
3.02,75.52,94.79,98.44
3.03,75.52,94.79,98.44
3.04,75.52,94.79,98.44
3.05,75.52,94.79,98.44
3.06,75.52,94.79,98.44
3.07,75.52,94.79,98.44
3.08,75.52,94.79,98.44
3.09,76.04,94.79,98.44
3.1,76.04,94.79,98.44
3.11,77.08,94.79,98.44
3.12,77.08,94.79,98.44
3.13,77.08,94.79,98.44
3.14,77.6,94.79,98.44
3.15,77.6,94.79,98.44
3.16,77.6,94.79,98.44
3.17,77.6,95.83,98.44
3.18,77.6,95.83,98.44
3.19,77.6,95.83,98.44
3.2,77.6,95.83,98.44
3.21,77.6,95.83,98.44
3.22,77.6,96.88,98.44
3.23,77.6,96.88,98.44
3.24,77.6,96.88,98.44
3.25,77.6,96.88,98.44
3.26,77.6,96.88,98.44
3.27,77.6,96.88,98.44
3.28,78.12,96.88,98.44
3.29,79.17,96.88,98.44
3.3,79.17,96.88,98.44
3.31,79.17,96.88,98.44
3.32,79.17,96.88,98.96
3.33,79.17,96.88,98.96
3.34,79.17,96.88,98.96
3.35,79.17,96.88,98.96
3.36,79.69,96.88,98.96
3.37,79.69,97.4,98.96
3.38,79.69,97.4,98.96
3.39,79.69,97.4,98.96
3.4,79.69,97.4,98.96
3.41,79.69,97.4,98.96
3.42,79.69,97.4,98.96
3.43,80.21,97.4,98.96
3.44,80.21,97.4,98.96
3.45,80.21,97.4,98.96
3.46,80.21,97.4,98.96
3.47,80.21,97.4,98.96
3.48,80.21,97.4,98.96
3.49,80.73,97.4,98.96
3.5,81.25,97.4,98.96
3.51,81.25,97.4,98.96
3.52,81.25,97.4,98.96
