method,fpr,tpr
null,0.00000,0.00000
null,0.12821,0.05618
null,0.25641,0.10487
null,0.25641,0.11236
null,0.25641,0.11610
null,0.30769,0.18352
null,0.38462,0.24719
null,0.48718,0.29963
null,0.48718,0.31086
null,0.53846,0.37828
null,0.53846,0.38202
null,0.58974,0.44569
null,0.66667,0.48689
null,0.66667,0.50187
null,0.66667,0.51311
null,0.74359,0.56554
null,0.74359,0.57303
null,0.74359,0.58052
null,0.82051,0.64419
null,0.84615,0.71910
null,0.89744,0.77528
null,0.89744,0.78652
null,0.89744,0.79401
null,0.92308,0.85768
null,1.00000,0.92509
null,1.00000,1.00000
band,0.00000,0.00000
band,0.00000,0.00375
band,0.00000,0.39326
band,0.02564,0.39326
band,0.02564,0.68165
band,0.05128,0.68165
band,0.05128,0.81648
band,0.07692,0.81648
band,0.07692,0.85768
band,0.10256,0.85768
band,0.10256,0.92509
band,0.12821,0.92509
band,0.12821,0.94007
band,0.15385,0.94007
band,0.15385,0.94382
band,0.25641,0.94382
band,0.25641,0.94757
band,0.33333,0.94757
band,0.33333,0.95131
band,0.56410,0.95131
band,0.56410,0.95506
band,0.61538,0.95506
band,0.61538,0.96255
band,0.66667,0.96255
band,0.66667,0.97378
band,0.69231,0.97378
band,0.69231,0.97753
band,0.74359,0.97753
band,0.74359,0.98127
band,0.82051,0.98127
band,0.82051,0.98502
band,0.87179,0.98502
band,0.87179,0.98876
band,0.89744,0.98876
band,0.89744,0.99251
band,0.92308,0.99251
band,0.92308,0.99625
band,0.94872,0.99625
band,0.94872,1.00000
band,1.00000,1.00000
nnls,0.00000,0.00000
nnls,0.00000,0.00375
nnls,0.00000,0.41948
nnls,0.02564,0.41948
nnls,0.02564,0.76779
nnls,0.05128,0.76779
nnls,0.05128,0.85768
nnls,0.07692,0.85768
nnls,0.07692,0.89139
nnls,0.10256,0.89139
nnls,0.10256,0.92509
nnls,0.12821,0.92509
nnls,0.12821,0.94382
nnls,0.20513,0.94382
nnls,0.20513,0.94757
nnls,0.33333,0.94757
nnls,0.33333,0.95131
nnls,0.41026,0.95131
nnls,0.41026,0.96255
nnls,0.51282,0.96255
nnls,0.51282,0.96629
nnls,0.53846,0.96629
nnls,0.53846,0.97004
nnls,0.64103,0.97004
nnls,0.64103,0.97753
nnls,0.74359,0.97753
nnls,0.74359,0.98502
nnls,0.79487,0.98502
nnls,0.79487,0.98876
nnls,0.89744,0.98876
nnls,0.89744,0.99625
nnls,0.92308,0.99625
nnls,0.92308,1.00000
nnls,1.00000,1.00000
nnls_rf,0.00000,0.00000
nnls_rf,0.00000,0.00375
nnls_rf,0.00000,0.60674
nnls_rf,0.02564,0.60674
nnls_rf,0.02564,0.83521
nnls_rf,0.05128,0.83521
nnls_rf,0.05128,0.91386
nnls_rf,0.07692,0.91386
nnls_rf,0.07692,0.92135
nnls_rf,0.12821,0.92135
nnls_rf,0.12821,0.92509
nnls_rf,0.15385,0.92509
nnls_rf,0.15385,0.93258
nnls_rf,0.17949,0.93258
nnls_rf,0.17949,0.94757
nnls_rf,0.30769,0.94757
nnls_rf,0.30769,0.96629
nnls_rf,0.38462,0.96629
nnls_rf,0.38462,0.97004
nnls_rf,0.56410,0.97004
nnls_rf,0.56410,0.97753
nnls_rf,0.69231,0.97753
nnls_rf,0.69231,0.98502
nnls_rf,0.82051,0.98502
nnls_rf,0.82051,0.98876
nnls_rf,0.84615,0.98876
nnls_rf,0.84615,0.99251
nnls_rf,0.87179,0.99251
nnls_rf,0.87179,1.00000
nnls_rf,1.00000,1.00000
mcr,0.00000,0.00000
mcr,0.00000,0.00375
mcr,0.00000,0.43820
mcr,0.02564,0.43820
mcr,0.02564,0.72659
mcr,0.05128,0.72659
mcr,0.05128,0.77154
mcr,0.07692,0.77154
mcr,0.07692,0.79775
mcr,0.10256,0.79775
mcr,0.10256,0.86517
mcr,0.12821,0.86517
mcr,0.12821,0.91386
mcr,0.15385,0.91386
mcr,0.15385,0.93633
mcr,0.23077,0.93633
mcr,0.23077,0.94007
mcr,0.30769,0.94007
mcr,0.30769,0.94382
mcr,0.43590,0.94382
mcr,0.43590,0.94757
mcr,0.46154,0.94757
mcr,0.46154,0.95131
mcr,0.51282,0.95131
mcr,0.51282,0.95880
mcr,0.61538,0.95880
mcr,0.61538,0.96255
mcr,0.69231,0.96255
mcr,0.69231,0.97004
mcr,0.71795,0.97004
mcr,0.71795,0.97378
mcr,0.76923,0.97378
mcr,0.76923,0.97753
mcr,0.89744,0.97753
mcr,0.89744,0.98876
mcr,0.92308,0.98876
mcr,0.92308,0.99251
mcr,0.94872,0.99251
mcr,0.94872,0.99625
mcr,0.97436,0.99625
mcr,0.97436,1.00000
mcr,1.00000,1.00000
pls,0.00000,0.00000
pls,0.00000,0.00375
pls,0.00000,0.72659
pls,0.02564,0.72659
pls,0.02564,0.80524
pls,0.05128,0.80524
pls,0.05128,0.81273
pls,0.07692,0.81273
pls,0.07692,0.84644
pls,0.10256,0.84644
pls,0.10256,0.85393
pls,0.12821,0.85393
pls,0.12821,0.86142
pls,0.15385,0.86142
pls,0.15385,0.88764
pls,0.17949,0.88764
pls,0.17949,0.90262
pls,0.20513,0.90262
pls,0.20513,0.91011
pls,0.23077,0.91011
pls,0.23077,0.91760
pls,0.25641,0.91760
pls,0.25641,0.92509
pls,0.28205,0.92509
pls,0.28205,0.94757
pls,0.41026,0.94757
pls,0.41026,0.95131
pls,0.48718,0.95131
pls,0.48718,0.98127
pls,0.56410,0.98127
pls,0.56410,0.98502
pls,0.58974,0.98502
pls,0.58974,0.98876
pls,0.61538,0.98876
pls,0.61538,0.99251
pls,0.66667,0.99251
pls,0.66667,0.99625
pls,0.74359,0.99625
pls,0.74359,1.00000
pls,1.00000,1.00000
rf,0.00000,0.00000
rf,0.00000,0.00375
rf,0.00000,0.49813
rf,0.02564,0.49813
rf,0.02564,0.66667
rf,0.05128,0.66667
rf,0.05128,0.73783
rf,0.07692,0.73783
rf,0.07692,0.74532
rf,0.10256,0.74532
rf,0.10256,0.75281
rf,0.12821,0.75281
rf,0.12821,0.89139
rf,0.15385,0.89139
rf,0.15385,0.89513
rf,0.17949,0.89513
rf,0.17949,0.90637
rf,0.23077,0.90637
rf,0.23077,0.91760
rf,0.25641,0.91760
rf,0.25641,0.93258
rf,0.28205,0.93258
rf,0.28205,0.94007
rf,0.30769,0.94007
rf,0.30769,0.95131
rf,0.33333,0.95131
rf,0.33333,0.96255
rf,0.43590,0.96255
rf,0.43590,0.96629
rf,0.46154,0.96629
rf,0.46154,0.97378
rf,0.53846,0.97378
rf,0.53846,0.97753
rf,0.61538,0.97753
rf,0.61538,0.98127
rf,0.64103,0.98127
rf,0.64103,0.99625
rf,0.69231,0.99625
rf,0.69231,1.00000
rf,1.00000,1.00000
cnn,0.00000,0.00000
cnn,0.00000,0.00375
cnn,0.00000,0.43820
cnn,0.02564,0.43820
cnn,0.02564,0.55431
cnn,0.05128,0.55431
cnn,0.05128,0.56180
cnn,0.07692,0.56180
cnn,0.07692,0.60674
cnn,0.10256,0.60674
cnn,0.10256,0.69288
cnn,0.15385,0.69288
cnn,0.15385,0.70037
cnn,0.17949,0.70037
cnn,0.17949,0.77528
cnn,0.20513,0.77528
cnn,0.20513,0.78652
cnn,0.23077,0.78652
cnn,0.23077,0.79026
cnn,0.25641,0.79026
cnn,0.25641,0.85019
cnn,0.28205,0.85019
cnn,0.28205,0.86517
cnn,0.33333,0.86517
cnn,0.33333,0.86891
cnn,0.35897,0.86891
cnn,0.35897,0.88764
cnn,0.38462,0.88764
cnn,0.38462,0.89513
cnn,0.41026,0.89513
cnn,0.41026,0.90637
cnn,0.43590,0.90637
cnn,0.43590,0.91760
cnn,0.46154,0.91760
cnn,0.46154,0.93258
cnn,0.48718,0.93258
cnn,0.48718,0.95880
cnn,0.51282,0.95880
cnn,0.51282,0.96255
cnn,0.56410,0.96255
cnn,0.56410,0.97378
cnn,0.61538,0.97378
cnn,0.61538,0.98127
cnn,0.79487,0.98127
cnn,0.79487,0.98502
cnn,0.82051,0.98502
cnn,0.82051,0.98876
cnn,0.84615,0.98876
cnn,0.84615,0.99251
cnn,0.92308,0.99251
cnn,0.92308,0.99625
cnn,0.94872,0.99625
cnn,0.94872,1.00000
cnn,1.00000,1.00000
mlp,0.00000,0.00000
mlp,0.00000,0.00375
mlp,0.00000,0.69288
mlp,0.02564,0.69288
mlp,0.02564,0.77154
mlp,0.05128,0.77154
mlp,0.05128,0.82397
mlp,0.07692,0.82397
mlp,0.07692,0.86891
mlp,0.10256,0.86891
mlp,0.10256,0.88015
mlp,0.12821,0.88015
mlp,0.12821,0.91386
mlp,0.17949,0.91386
mlp,0.17949,0.92509
mlp,0.23077,0.92509
mlp,0.23077,0.93258
mlp,0.25641,0.93258
mlp,0.25641,0.94007
mlp,0.28205,0.94007
mlp,0.28205,0.94382
mlp,0.30769,0.94382
mlp,0.30769,0.96255
mlp,0.33333,0.96255
mlp,0.33333,0.96629
mlp,0.38462,0.96629
mlp,0.38462,0.97378
mlp,0.41026,0.97378
mlp,0.41026,0.98502
mlp,0.48718,0.98502
mlp,0.48718,0.98876
mlp,0.51282,0.98876
mlp,0.51282,0.99251
mlp,0.56410,0.99251
mlp,0.56410,0.99625
mlp,0.69231,0.99625
mlp,0.69231,1.00000
mlp,1.00000,1.00000
