condition,subset,C_total_uM,THI_true_uM,THI_MLP_kt_uM,TBZ_true_uM,TBZ_MLP_kt_uM,DQ_true_uM,DQ_MLP_kt_uM
DQ0-TB50-TH150,binary,200.0,150.0,8728.0,50.0,8914.0,0.0,2358.0
DQ0-TB50-TH250,binary,300.0,250.0,28662.0,50.0,690.0,0.0,648.0
DQ0-TB50-TH500,binary,550.0,500.0,47751.0,50.0,1562.0,0.0,5687.0
DQ0-TB150-TH50,binary,200.0,50.0,8390.0,150.0,9750.0,0.0,1858.0
DQ0-TB250-TH50,binary,300.0,50.0,12795.0,250.0,12156.0,0.0,5052.0
DQ0-TB500-TH50,binary,550.0,50.0,2629.0,500.0,51188.5,0.0,1182.5
DQ0-TB500-TH500,binary,1000.0,500.0,45640.0,500.0,52000.0,0.0,2350.0
DQ3-TB3-TH3,ternary,9.0,3.0,212.4,3.0,290.07,3.0,397.53
DQ3-TB3-TH6,ternary,12.0,6.0,525.0,3.0,375.24,3.0,299.76
DQ3-TB3-TH12,ternary,18.0,12.0,1120.5,3.0,309.42,3.0,370.08
DQ3-TB3-TH24,ternary,30.0,24.0,1759.5,3.0,502.2,3.0,738.3
DQ3-TB6-TH3,ternary,12.0,3.0,495.0,6.0,288.72,3.0,416.28
DQ3-TB6-TH6,ternary,15.0,6.0,595.5,6.0,434.4,3.0,470.1
DQ3-TB6-TH12,ternary,21.0,12.0,1060.5,6.0,538.86,3.0,500.64
DQ3-TB6-TH24,ternary,33.0,24.0,2001.78,6.0,406.23,3.0,891.99
DQ3-TB12-TH3,ternary,18.0,3.0,398.88,12.0,945.72,3.0,455.4
DQ3-TB12-TH6,ternary,21.0,6.0,808.92,12.0,676.2,3.0,614.88
DQ3-TB12-TH12,ternary,27.0,12.0,1448.01,12.0,827.01,3.0,424.98
DQ3-TB12-TH24,ternary,39.0,24.0,2384.07,12.0,1100.97,3.0,414.96
DQ3-TB24-TH3,ternary,30.0,3.0,925.2,24.0,1149.0,3.0,925.5
DQ3-TB24-TH6,ternary,33.0,6.0,299.97,24.0,2646.27,3.0,353.43
DQ3-TB24-TH12,ternary,39.0,12.0,473.07,24.0,3240.51,3.0,186.42
DQ3-TB24-TH24,ternary,51.0,24.0,2262.87,24.0,1876.8,3.0,960.33
DQ6-TB3-TH3,ternary,12.0,3.0,335.88,3.0,277.08,6.0,587.04
DQ6-TB3-TH6,ternary,15.0,6.0,456.75,3.0,552.6,6.0,490.65
DQ6-TB3-TH12,ternary,21.0,12.0,891.03,3.0,490.77,6.0,718.2
DQ6-TB3-TH24,ternary,33.0,24.0,1959.21,3.0,327.03,6.0,1013.76
DQ6-TB6-TH3,ternary,15.0,3.0,393.15,6.0,364.95,6.0,742.05
DQ6-TB6-TH6,ternary,18.0,6.0,313.38,6.0,653.22,6.0,833.4
DQ6-TB6-TH12,ternary,24.0,12.0,937.68,6.0,756.48,6.0,705.84
DQ6-TB6-TH24,ternary,36.0,24.0,2391.12,6.0,672.48,6.0,536.4
DQ6-TB12-TH3,ternary,21.0,3.0,581.49,12.0,619.71,6.0,898.59
DQ6-TB12-TH6,ternary,24.0,6.0,658.32,12.0,964.56,6.0,777.12
DQ6-TB12-TH12,ternary,30.0,12.0,1189.2,12.0,1394.1,6.0,416.7
DQ6-TB12-TH24,ternary,42.0,24.0,2832.9,12.0,1019.34,6.0,347.76
DQ6-TB24-TH3,ternary,33.0,3.0,471.24,24.0,1734.81,6.0,1093.95
DQ6-TB24-TH6,ternary,36.0,6.0,572.04,24.0,1465.2,6.0,1562.76
DQ6-TB24-TH12,ternary,42.0,12.0,1594.32,24.0,2077.74,6.0,527.94
DQ6-TB24-TH24,ternary,54.0,24.0,2601.72,24.0,1945.08,6.0,853.2
DQ10-TB10-TH10,ternary,30.0,10.0,1071.3,10.0,668.1,10.0,1260.6
DQ12-TB3-TH3,ternary,18.0,3.0,484.92,3.0,441.72,12.0,873.18
DQ12-TB3-TH6,ternary,21.0,6.0,598.5,3.0,449.19,12.0,1052.31
DQ12-TB3-TH12,ternary,27.0,12.0,931.23,3.0,473.58,12.0,1294.92
DQ12-TB3-TH24,ternary,39.0,24.0,1592.76,3.0,839.28,12.0,1467.96
DQ12-TB6-TH3,ternary,21.0,3.0,214.41,6.0,1066.38,12.0,819.42
DQ12-TB6-TH6,ternary,24.0,6.0,671.52,6.0,686.64,12.0,1041.84
DQ12-TB6-TH12,ternary,30.0,12.0,930.3,6.0,1022.7,12.0,1047.0
DQ12-TB6-TH24,ternary,42.0,24.0,1503.18,6.0,804.72,12.0,1892.1
DQ12-TB12-TH3,ternary,27.0,3.0,201.42,12.0,893.7,12.0,1604.88
DQ12-TB12-TH6,ternary,30.0,6.0,469.5,12.0,1085.1,12.0,1445.1
DQ12-TB12-TH12,ternary,36.0,12.0,1381.68,12.0,1276.2,12.0,942.12
DQ12-TB12-TH24,ternary,48.0,24.0,2066.88,12.0,2223.36,12.0,509.76
DQ12-TB24-TH3,ternary,39.0,3.0,514.41,24.0,2407.86,12.0,977.73
DQ12-TB24-TH6,ternary,42.0,6.0,138.6,24.0,3034.08,12.0,1027.32
DQ12-TB24-TH12,ternary,48.0,12.0,1153.44,24.0,3432.48,12.0,214.08
DQ12-TB24-TH24,ternary,60.0,24.0,1493.4,24.0,4208.4,12.0,298.2
DQ24-TB3-TH3,ternary,30.0,3.0,237.6,3.0,484.8,24.0,2277.3
DQ24-TB3-TH6,ternary,33.0,6.0,527.67,3.0,453.75,24.0,2318.58
DQ24-TB3-TH12,ternary,39.0,12.0,1810.38,3.0,675.09,24.0,1414.53
DQ24-TB3-TH24,ternary,51.0,24.0,3058.47,3.0,1061.82,24.0,979.71
DQ24-TB6-TH3,ternary,33.0,3.0,421.08,6.0,1161.6,24.0,1717.32
DQ24-TB6-TH6,ternary,36.0,6.0,606.24,6.0,734.76,24.0,2259.0
DQ24-TB6-TH12,ternary,42.0,12.0,916.86,6.0,449.82,24.0,2833.32
DQ24-TB6-TH24,ternary,54.0,24.0,2844.72,6.0,1417.5,24.0,1137.78
DQ24-TB12-TH3,ternary,39.0,3.0,276.12,12.0,1233.18,24.0,2390.7
DQ24-TB12-TH6,ternary,42.0,6.0,608.16,12.0,1866.06,24.0,1725.78
DQ24-TB12-TH12,ternary,48.0,12.0,1464.96,12.0,893.28,24.0,2441.76
DQ24-TB12-TH24,ternary,60.0,24.0,1948.8,12.0,1009.2,24.0,3042.0
DQ24-TB24-TH3,ternary,51.0,3.0,283.56,24.0,3167.61,24.0,1648.83
DQ24-TB24-TH6,ternary,54.0,6.0,786.78,24.0,3596.94,24.0,1016.28
DQ24-TB24-TH12,ternary,60.0,12.0,1485.0,24.0,1008.0,24.0,3507.0
DQ24-TB24-TH24,ternary,72.0,24.0,2694.96,24.0,3197.52,24.0,1307.52
DQ33-TB33-TH33,ternary,99.0,33.0,2464.11,33.0,5336.1,33.0,2098.8
DQ33-TB333-TH333,ternary,699.0,333.0,54354.24,333.0,4529.52,33.0,11016.24
DQ50-TB0-TH150,binary,200.0,150.0,19748.0,0.0,52.0,50.0,200.0
DQ50-TB0-TH250,binary,300.0,250.0,21081.0,0.0,2994.0,50.0,5925.0
DQ50-TB0-TH500,binary,550.0,500.0,47811.5,0.0,291.5,50.0,6897.0
DQ50-TB150-TH0,binary,200.0,0.0,78.0,150.0,14344.0,50.0,5578.0
DQ50-TB250-TH0,binary,300.0,0.0,270.0,250.0,29598.0,50.0,129.0
DQ50-TB500-TH0,binary,550.0,0.0,0.0,500.0,54989.0,50.0,11.0
DQ100-TB100-TH100,ternary,300.0,100.0,29577.0,100.0,66.0,100.0,354.0
DQ150-TB0-TH50,binary,200.0,50.0,3344.0,0.0,1070.0,150.0,15588.0
DQ150-TB50-TH0,binary,200.0,0.0,124.0,50.0,7076.0,150.0,12800.0
DQ250-TB0-TH50,binary,300.0,50.0,12012.0,0.0,1053.0,250.0,16935.0
DQ250-TB50-TH0,binary,300.0,0.0,93.0,50.0,27180.0,250.0,2730.0
DQ333-TB33-TH333,ternary,699.0,333.0,62651.37,33.0,838.8,333.0,6409.83
DQ333-TB333-TH33,ternary,699.0,33.0,13176.15,333.0,21885.69,333.0,34838.16
DQ333-TB333-TH333,ternary,999.0,333.0,75024.9,333.0,5464.53,333.0,19400.58
DQ500-TB0-TH50,binary,550.0,50.0,737.0,0.0,242.0,500.0,54021.0
DQ500-TB0-TH500,binary,1000.0,500.0,63100.0,0.0,12180.0,500.0,24720.0
DQ500-TB50-TH0,binary,550.0,0.0,1243.0,50.0,37603.5,500.0,16153.5
DQ500-TB500-TH0,binary,1000.0,0.0,1010.0,500.0,33730.0,500.0,65260.0
