map,DQ_true,TBZ_true,THI_true,head_DQ,head_TBZ,head_THI,mapknn_DQ,mapknn_TBZ,mapknn_THI,pxknn_DQ,pxknn_TBZ,pxknn_THI
DQ0-TB150-TH50.csv,0.0,150.0,50.0,6.57,14.76,11.41,2.57,117.45,22.43,2.06,134.86,27.58
DQ0-TB250-TH50.csv,0.0,250.0,50.0,19.03,30.54,63.79,2.44,82.22,26.33,0.0,150.0,50.0
DQ0-TB50-TH150.csv,0.0,50.0,150.0,45.48,108.47,276.01,5.55,147.54,161.48,3.0,8.44,24.0
DQ0-TB50-TH250.csv,0.0,50.0,250.0,37.25,37.13,257.85,50.0,0.0,311.83,41.95,74.75,330.38
DQ0-TB50-TH500.csv,0.0,50.0,500.0,38.83,33.5,223.43,4.55,6.05,24.0,40.99,93.5,354.96
DQ0-TB500-TH50.csv,0.0,500.0,50.0,5.17,42.37,6.3,7.0,24.0,8.17,5.12,24.0,10.22
DQ0-TB500-TH500.csv,0.0,500.0,500.0,24.77,46.48,162.01,6.97,10.04,20.08,10.2,27.54,207.49
DQ12-TB12-TH12.csv,12.0,12.0,12.0,5.49,14.36,12.78,17.36,20.57,18.85,15.35,19.16,17.15
DQ12-TB12-TH24.csv,12.0,12.0,24.0,9.59,15.74,20.72,5.32,5.25,12.0,6.0,7.72,13.87
DQ12-TB12-TH3.csv,12.0,12.0,3.0,13.34,12.48,2.37,7.6,5.11,3.8,201.55,201.55,2.11
DQ12-TB12-TH6.csv,12.0,12.0,6.0,8.98,6.8,4.5,11.9,10.34,6.93,16.03,13.16,9.14
DQ12-TB24-TH12.csv,12.0,24.0,12.0,5.44,58.49,23.7,14.75,27.26,19.6,10.93,24.0,14.74
DQ12-TB24-TH24.csv,12.0,24.0,24.0,6.85,40.8,27.25,16.23,20.24,20.24,14.69,19.59,17.61
DQ12-TB24-TH3.csv,12.0,24.0,3.0,8.31,6.09,2.81,27.2,75.21,1.59,41.25,107.32,0.93
DQ12-TB24-TH6.csv,12.0,24.0,6.0,11.08,33.5,4.02,6.52,24.0,12.0,7.43,24.0,10.21
DQ12-TB3-TH12.csv,12.0,3.0,12.0,6.61,4.75,17.39,9.68,6.74,15.56,75.95,66.29,18.78
DQ12-TB3-TH24.csv,12.0,3.0,24.0,9.94,6.88,25.08,12.0,5.13,16.28,12.0,5.14,15.36
DQ12-TB3-TH3.csv,12.0,3.0,3.0,13.44,11.1,4.27,12.0,4.73,4.85,12.0,4.08,4.72
DQ12-TB3-TH6.csv,12.0,3.0,6.0,12.79,9.43,5.33,43.96,14.8,2.31,12.0,3.27,3.0
DQ12-TB6-TH12.csv,12.0,6.0,12.0,7.8,5.21,6.61,122.35,117.58,20.29,10.92,5.09,10.08
DQ12-TB6-TH24.csv,12.0,6.0,24.0,9.84,5.95,27.48,15.44,3.86,18.58,27.88,4.24,17.63
DQ12-TB6-TH3.csv,12.0,6.0,3.0,9.98,7.58,4.24,12.0,3.76,4.7,12.0,3.57,3.24
DQ12-TB6-TH6.csv,12.0,6.0,6.0,5.92,3.89,4.62,120.99,117.95,16.58,9.38,4.19,4.86
DQ150-TB0-TH50.csv,150.0,0.0,50.0,27.09,6.3,32.39,88.0,4.19,31.83,118.62,2.09,27.91
DQ150-TB50-TH0.csv,150.0,50.0,0.0,38.62,30.0,4.02,155.49,149.14,3.23,12.0,3.52,3.0
DQ24-TB12-TH12.csv,24.0,12.0,12.0,7.66,3.02,10.46,10.34,5.75,13.34,17.55,8.57,11.92
DQ24-TB12-TH24.csv,24.0,12.0,24.0,12.04,10.22,19.74,17.05,7.0,7.99,24.0,7.09,9.46
DQ24-TB12-TH3.csv,24.0,12.0,3.0,26.61,7.82,3.5,24.0,8.36,5.04,24.0,10.68,5.44
DQ24-TB12-TH6.csv,24.0,12.0,6.0,28.49,6.66,9.11,24.0,6.83,4.34,24.0,6.55,4.43
DQ24-TB24-TH12.csv,24.0,24.0,12.0,16.04,9.9,13.64,20.93,9.32,6.0,24.0,9.13,6.53
DQ24-TB24-TH24.csv,24.0,24.0,24.0,7.55,10.18,12.45,10.88,18.83,18.83,8.31,21.88,17.44
DQ24-TB24-TH3.csv,24.0,24.0,3.0,12.45,12.63,4.44,20.75,17.6,5.21,21.92,24.0,6.0
DQ24-TB24-TH6.csv,24.0,24.0,6.0,12.45,13.34,9.04,23.12,26.51,13.9,24.0,21.72,3.0
DQ24-TB3-TH12.csv,24.0,3.0,12.0,11.6,11.68,38.24,24.0,4.06,14.92,24.0,3.66,14.77
DQ24-TB3-TH24.csv,24.0,3.0,24.0,3.31,6.59,16.26,18.68,4.21,16.83,21.83,5.47,21.87
DQ24-TB3-TH3.csv,24.0,3.0,3.0,17.05,8.25,3.24,24.0,8.09,6.6,24.0,10.47,6.0
DQ24-TB3-TH6.csv,24.0,3.0,6.0,19.33,9.73,7.58,24.0,4.04,5.59,24.0,3.0,10.02
DQ24-TB6-TH12.csv,24.0,6.0,12.0,20.01,6.31,10.95,24.0,6.11,17.09,24.0,7.42,20.78
DQ24-TB6-TH24.csv,24.0,6.0,24.0,8.74,6.59,21.94,17.05,3.86,20.51,21.42,3.51,21.71
DQ24-TB6-TH3.csv,24.0,6.0,3.0,15.05,4.52,2.54,24.0,8.38,3.87,24.0,7.49,3.24
DQ24-TB6-TH6.csv,24.0,6.0,6.0,12.46,8.1,9.12,20.95,16.23,8.11,24.0,12.0,11.49
DQ250-TB0-TH50.csv,250.0,0.0,50.0,30.09,15.67,159.88,72.21,2.78,30.25,204.23,26.28,305.52
DQ250-TB50-TH0.csv,250.0,50.0,0.0,85.01,78.2,3.09,192.55,23.37,1.88,56.52,9.62,2.73
DQ3-TB12-TH12.csv,3.0,12.0,12.0,3.49,5.33,9.98,3.76,5.24,8.94,3.0,6.0,7.33
