condition,substance,E,thi_share_pct,total_uM,regimes
DQ0-TB50-TH150,THI,1.1733,75.0,200.0,THI majority (share>45%);saturated (total>50uM)
DQ0-TB50-TH150,TBZ,0.48,75.0,200.0,THI majority (share>45%);saturated (total>50uM)
DQ0-TB50-TH250,THI,1.2,83.33,300.0,THI majority (share>45%);saturated (total>50uM)
DQ0-TB50-TH250,TBZ,0.0,83.33,300.0,THI majority (share>45%);saturated (total>50uM)
DQ0-TB50-TH500,THI,1.1,90.91,550.0,THI majority (share>45%);saturated (total>50uM)
DQ0-TB50-TH500,TBZ,0.0,90.91,550.0,THI majority (share>45%);saturated (total>50uM)
DQ0-TB150-TH50,THI,2.04,25.0,200.0,THI minority (share<=45%);saturated (total>50uM)
DQ0-TB150-TH50,TBZ,0.6533,25.0,200.0,THI minority (share<=45%);saturated (total>50uM)
DQ0-TB250-TH50,THI,4.3191,16.67,300.0,THI minority (share<=45%);saturated (total>50uM)
DQ0-TB250-TH50,TBZ,0.336,16.67,300.0,THI minority (share<=45%);saturated (total>50uM)
DQ0-TB500-TH50,THI,1.6502,9.09,550.0,THI minority (share<=45%);saturated (total>50uM)
DQ0-TB500-TH50,TBZ,0.935,9.09,550.0,THI minority (share<=45%);saturated (total>50uM)
DQ0-TB500-TH500,THI,1.76,50.0,1000.0,THI majority (share>45%);saturated (total>50uM)
DQ0-TB500-TH500,TBZ,0.24,50.0,1000.0,THI majority (share>45%);saturated (total>50uM)
DQ3-TB3-TH3,THI,2.1602,33.33,9.0,THI minority (share<=45%)
DQ3-TB3-TH3,TBZ,0.18,33.33,9.0,THI minority (share<=45%)
DQ3-TB3-TH3,DQ,0.6601,33.33,9.0,THI minority (share<=45%)
DQ3-TB3-TH6,THI,1.2,50.0,12.0,THI majority (share>45%)
DQ3-TB3-TH6,TBZ,0.4,50.0,12.0,THI majority (share>45%)
DQ3-TB3-TH6,DQ,1.2,50.0,12.0,THI majority (share>45%)
DQ3-TB3-TH12,THI,1.1099,66.67,18.0,THI majority (share>45%)
DQ3-TB3-TH12,TBZ,0.4799,66.67,18.0,THI majority (share>45%)
DQ3-TB3-TH12,DQ,1.0798,66.67,18.0,THI majority (share>45%)
DQ3-TB3-TH24,THI,1.175,80.0,30.0,THI majority (share>45%)
DQ3-TB3-TH24,TBZ,0.1,80.0,30.0,THI majority (share>45%)
DQ3-TB3-TH24,DQ,0.5,80.0,30.0,THI majority (share>45%)
DQ3-TB6-TH3,THI,2.32,25.0,12.0,THI minority (share<=45%)
DQ3-TB6-TH3,TBZ,0.84,25.0,12.0,THI minority (share<=45%)
DQ3-TB6-TH3,DQ,0.0,25.0,12.0,THI minority (share<=45%)
DQ3-TB6-TH6,THI,1.425,40.0,15.0,THI minority (share<=45%)
DQ3-TB6-TH6,TBZ,0.25,40.0,15.0,THI minority (share<=45%)
DQ3-TB6-TH6,DQ,1.65,40.0,15.0,THI minority (share<=45%)
DQ3-TB6-TH12,THI,1.2426,57.14,21.0,THI majority (share>45%)
DQ3-TB6-TH12,TBZ,0.14,57.14,21.0,THI majority (share>45%)
DQ3-TB6-TH12,DQ,1.8195,57.14,21.0,THI majority (share>45%)
DQ3-TB6-TH24,THI,1.1275,72.73,33.0,THI majority (share>45%)
DQ3-TB6-TH24,TBZ,0.11,72.73,33.0,THI majority (share>45%)
DQ3-TB6-TH24,DQ,1.7602,72.73,33.0,THI majority (share>45%)
DQ3-TB12-TH3,THI,2.8194,16.67,18.0,THI minority (share<=45%)
DQ3-TB12-TH3,TBZ,0.705,16.67,18.0,THI minority (share<=45%)
DQ3-TB12-TH3,DQ,0.3599,16.67,18.0,THI minority (share<=45%)
DQ3-TB12-TH6,THI,1.4351,28.57,21.0,THI minority (share<=45%)
DQ3-TB12-TH6,TBZ,0.63,28.57,21.0,THI minority (share<=45%)
DQ3-TB12-TH6,DQ,1.6095,28.57,21.0,THI minority (share<=45%)
DQ3-TB12-TH12,THI,1.4851,44.44,27.0,THI minority (share<=45%)
DQ3-TB12-TH12,TBZ,0.3825,44.44,27.0,THI minority (share<=45%)
DQ3-TB12-TH12,DQ,1.5302,44.44,27.0,THI minority (share<=45%)
DQ3-TB12-TH24,THI,1.3,61.54,39.0,THI majority (share>45%)
DQ3-TB12-TH24,TBZ,0.195,61.54,39.0,THI majority (share>45%)
DQ3-TB12-TH24,DQ,1.8205,61.54,39.0,THI majority (share>45%)
DQ3-TB24-TH3,THI,2.1,10.0,30.0,THI minority (share<=45%)
