condition,substance,E_pixel,thi_share_pct,total_uM
DQ0-TB50-TH150,TBZ,0.0004,75.0,200.0
DQ0-TB50-TH150,TBZ,0.018,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0252,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0683,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1046,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2313,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6796,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9291,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4871,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4931,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4697,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4085,75.0,200.0
DQ0-TB50-TH150,TBZ,0.288,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3211,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1506,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2644,75.0,200.0
DQ0-TB50-TH150,TBZ,0.227,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1671,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0977,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3295,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2851,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3174,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1955,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1617,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1442,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1954,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0904,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2544,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6885,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3001,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4955,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3365,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5812,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4452,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3753,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2127,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1815,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0558,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0286,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0,75.0,200.0
DQ0-TB50-TH150,TBZ,0.023,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0434,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0991,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9889,75.0,200.0
DQ0-TB50-TH150,TBZ,0.572,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4869,75.0,200.0
DQ0-TB50-TH150,TBZ,0.46,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5732,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3695,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4437,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3841,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3125,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1578,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1785,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1526,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1919,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2356,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1231,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2478,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1124,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1919,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1057,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1319,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1924,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1241,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1564,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3171,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3031,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4056,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6562,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9871,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3464,75.0,200.0
DQ0-TB50-TH150,TBZ,0.382,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2469,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4224,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8923,75.0,200.0
DQ0-TB50-TH150,TBZ,1.9574,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8282,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2975,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4371,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7676,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7801,75.0,200.0
DQ0-TB50-TH150,TBZ,0.952,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9648,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7507,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8046,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5756,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4108,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3915,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6062,75.0,200.0
DQ0-TB50-TH150,TBZ,0.671,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5369,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3501,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3256,75.0,200.0
DQ0-TB50-TH150,TBZ,0.212,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2891,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1892,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1281,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0545,75.0,200.0
DQ0-TB50-TH150,TBZ,0.196,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1378,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1071,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1798,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2151,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3587,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4781,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5515,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3177,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2793,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3841,75.0,200.0
DQ0-TB50-TH150,TBZ,0.459,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7467,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6097,75.0,200.0
DQ0-TB50-TH150,TBZ,1.4535,75.0,200.0
