method,subset,n,mean_deviation_pp,se_deviation_pp,accuracy_at_10pp,component,recovery_mean_pct,recovery_sd_pct,recovery_se_pct,recovery_median_pct,recovery_within_80_120
pls,all,89,15.258812169039938,1.0845013918610886,0.3707865168539326,DQ,117.49980371460694,67.9276986805116,7.501359428041235,101.05231305623509,0.45121951219512196
pls,all,89,15.258812169039938,1.0845013918610886,0.3707865168539326,TBZ,122.79006853339762,82.57492793276077,9.118875307135244,105.09586016268645,0.36585365853658536
pls,all,89,15.258812169039938,1.0845013918610886,0.3707865168539326,THI,121.83506451193605,59.83053957224654,6.607177790844681,98.52698489828018,0.5
pls,binary,21,24.737360787193282,2.603177885955364,0.047619047619047616,DQ,114.77556274503955,104.20855276654916,27.85090723028434,83.61068533208629,0.21428571428571427
pls,binary,21,24.737360787193282,2.603177885955364,0.047619047619047616,TBZ,144.95071445215552,141.6732222309847,37.86376131918786,91.22960684538019,0.14285714285714285
pls,binary,21,24.737360787193282,2.603177885955364,0.047619047619047616,THI,122.13405143394509,68.35205012394326,18.267853803385357,94.20696255909985,0.42857142857142855
pls,ternary,68,12.331613331080817,0.924741765601206,0.47058823529411764,DQ,118.06067685540023,58.90165947920591,7.142875398733226,102.67494482022434,0.5
pls,ternary,68,12.331613331080817,0.924741765601206,0.47058823529411764,TBZ,118.22758260894744,65.00176413558661,7.8826217465443955,106.30099451493956,0.4117647058823529
pls,ternary,68,12.331613331080817,0.924741765601206,0.47058823529411764,THI,121.77350838093416,58.49067098837252,7.093035723479718,99.59807333987908,0.5147058823529411
nnls,all,89,20.08713584637385,1.6016709549510704,0.25842696629213485,DQ,99.64421009140104,70.73170144372591,7.811009732301078,86.32328209393509,0.24390243902439024
nnls,all,89,20.08713584637385,1.6016709549510704,0.25842696629213485,TBZ,120.58780582443663,104.54234479455467,11.544770675105461,97.30706918540724,0.36585365853658536
nnls,all,89,20.08713584637385,1.6016709549510704,0.25842696629213485,THI,144.6282240016623,107.84381278095928,11.909356823131374,110.54549495046874,0.4024390243902439
nnls,binary,21,28.664071506391128,4.605540757514457,0.2857142857142857,DQ,69.35024458265882,71.17534744107208,19.02241175064922,40.537311163875046,0.14285714285714285
nnls,binary,21,28.664071506391128,4.605540757514457,0.2857142857142857,TBZ,133.77307805914612,216.41047316242603,57.838131820245366,63.85379724307694,0.21428571428571427
nnls,binary,21,28.664071506391128,4.605540757514457,0.2857142857142857,THI,223.0453512151179,151.45405539963136,40.477798938778605,169.65286163283866,0.2857142857142857
nnls,ternary,68,17.438376304309685,1.4180321732030914,0.25,DQ,105.88120299025972,69.52830662886741,8.431545652975085,87.20639342586048,0.2647058823529412
nnls,ternary,68,17.438376304309685,1.4180321732030914,0.25,TBZ,117.87319095258471,63.88969293927388,7.747763305203089,105.87000338290113,0.39705882352941174
nnls,ternary,68,17.438376304309685,1.4180321732030914,0.25,THI,128.4835213400685,89.77927195745279,10.887335919753866,108.78386980832376,0.4264705882352941
rf,all,89,16.920684652819048,1.0570383577071973,0.24719101123595505,DQ,128.40370096550936,78.24258801021767,8.640448398013827,107.39598262837046,0.35365853658536583
