endpoint,method,variant,subset,component,n,mean_recovery_pct,median_recovery_pct,q1_pct,q3_pct,within80_120_pct
composition,MLP_old4class,pie,binary,DQ,14,98.95902078327605,92.8811247556958,52.59112400136425,113.39316329828704,35.714285714285715
composition,MLP_old4class,pie,binary,TBZ,14,150.22391082833005,92.2343182423451,79.82474504367823,141.23834633910218,35.714285714285715
composition,MLP_old4class,pie,binary,THI,14,119.50627751673262,100.56728780747846,84.53029513741544,139.81004299276597,50.0
composition,MLP_old4class,pie,binary,ALL,42,122.89640304277957,95.58468586781468,77.70719805667723,141.23834633910218,40.476190476190474
composition,MLP_old4class,pie,ternary,DQ,71,124.70819618136187,104.55311207896325,77.78268525898723,132.40278103524082,33.80281690140845
composition,MLP_old4class,pie,ternary,TBZ,71,123.55196681607782,102.46756567349762,81.00638134580043,151.3551141070596,38.028169014084504
composition,MLP_old4class,pie,ternary,THI,71,122.38960475171706,108.74424871873451,80.9314072031044,154.86647442311244,38.028169014084504
composition,MLP_old4class,pie,ternary,ALL,213,123.54992258305224,104.9242485431786,80.45458914513732,148.04490394568566,36.61971830985916
composition,PLS8_4class,pie,binary,DQ,14,102.98323855708047,76.23392027905703,65.63338395439405,122.2225280832995,14.285714285714285
composition,PLS8_4class,pie,binary,TBZ,14,140.34475210312235,85.00909996427187,66.95246556082735,152.25536498432345,28.57142857142857
composition,PLS8_4class,pie,binary,THI,14,142.37981720043345,102.46618404024551,78.79733469933778,206.8642537318442,28.57142857142857
composition,PLS8_4class,pie,binary,ALL,42,128.56926928687875,84.95177765663286,70.16584516826619,161.06968954207167,23.809523809523807
composition,PLS8_4class,pie,ternary,DQ,71,120.49847666761544,104.89015324553093,78.41404791550681,136.0459841080729,33.80281690140845
composition,PLS8_4class,pie,ternary,TBZ,71,121.41022916704378,106.13075933735495,71.24005366404707,149.2591109619812,26.76056338028169
composition,PLS8_4class,pie,ternary,THI,71,124.89265220784671,100.7217728133566,79.66943798698375,154.97080047593437,33.80281690140845
