method,fpr,tpr,threshold
nnls,0.0,0.0,inf
nnls,0.0,0.023809523809523808,0.9999999999989994
nnls,0.0,0.8333333333333334,0.15209914277021824
nnls,0.09523809523809523,0.8333333333333334,0.08730191565171241
nnls,0.09523809523809523,0.8571428571428571,0.08395059922198413
nnls,0.19047619047619047,0.8571428571428571,0.06366359379998843
nnls,0.19047619047619047,0.8809523809523809,0.055606155506854875
nnls,0.5238095238095238,0.8809523809523809,0.022411938346231442
nnls,0.5238095238095238,0.9047619047619048,0.018234415367744575
nnls,0.5714285714285714,0.9047619047619048,0.014288434515296608
nnls,0.5714285714285714,0.9285714285714286,0.014208820972787242
nnls,0.6666666666666666,0.9285714285714286,0.008476261272591625
nnls,0.6666666666666666,0.9523809523809523,0.005467619780268068
nnls,0.7142857142857143,0.9523809523809523,0.0034094766465473155
nnls,0.7142857142857143,0.9761904761904762,0.0019376715636290542
nnls,0.7619047619047619,0.9761904761904762,0.001752543706021404
nnls,1.0,1.0,0.0
pls,0.0,0.0,inf
pls,0.0,0.023809523809523808,0.8451037120865271
pls,0.0,0.8333333333333334,0.23929101165885278
pls,0.09523809523809523,0.8333333333333334,0.211989768457995
pls,0.09523809523809523,0.8809523809523809,0.20336576617938726
pls,0.38095238095238093,0.8809523809523809,0.1625457344847756
pls,0.38095238095238093,0.9047619047619048,0.159873510344067
pls,0.42857142857142855,0.9047619047619048,0.14589962872391832
pls,0.42857142857142855,0.9285714285714286,0.1447655792867992
pls,0.5238095238095238,0.9285714285714286,0.1156135386619044
pls,0.5238095238095238,0.9761904761904762,0.10299057915123062
pls,0.9047619047619048,0.9761904761904762,0.05124648723360579
pls,0.9047619047619048,1.0,0.024028971545293806
pls,1.0,1.0,0.008226780127299441
rf,0.0,0.0,inf
rf,0.0,0.023809523809523808,0.7363730192289685
rf,0.0,0.6666666666666666,0.35006375512312765
rf,0.047619047619047616,0.6666666666666666,0.349978685522996
rf,0.047619047619047616,0.8809523809523809,0.252308097527503
rf,0.09523809523809523,0.8809523809523809,0.23213087070804225
rf,0.09523809523809523,0.9047619047619048,0.22887926390918412
rf,0.2857142857142857,0.9047619047619048,0.20710133220887364
rf,0.2857142857142857,0.9285714285714286,0.20479871981444853
rf,0.3333333333333333,0.9285714285714286,0.19970182939857117
rf,0.3333333333333333,0.9523809523809523,0.19028329104170147
rf,0.6666666666666666,0.9523809523809523,0.14475286593219389
rf,0.6666666666666666,1.0,0.10611118232040372
rf,1.0,1.0,0.043277835255770475
cnn,0.0,0.0,inf
cnn,0.0,0.023809523809523808,0.8602245772878329
cnn,0.0,0.35714285714285715,0.4984303545206785
cnn,0.09523809523809523,0.35714285714285715,0.46265957690775394
cnn,0.09523809523809523,0.38095238095238093,0.4463604340950648
cnn,0.19047619047619047,0.38095238095238093,0.4202329870313406
cnn,0.19047619047619047,0.7619047619047619,0.2404960246446232
cnn,0.23809523809523808,0.7619047619047619,0.22334866411983967
cnn,0.23809523809523808,0.9047619047619048,0.20258054820199808
cnn,0.38095238095238093,0.9047619047619048,0.16470108910774192
cnn,0.38095238095238093,0.9285714285714286,0.1597328606682519
cnn,0.6666666666666666,0.9285714285714286,0.11902098264545202
cnn,0.6666666666666666,0.9523809523809523,0.10258297886078556
cnn,1.0,0.9523809523809523,0.03719244303647429
cnn,1.0,1.0,0.018058207409922034
mlp,0.0,0.0,inf
mlp,0.0,0.023809523809523808,0.9875157078107198
mlp,0.0,0.6190476190476191,0.416729886084795
mlp,0.047619047619047616,0.6190476190476191,0.36333322431892157
mlp,0.047619047619047616,0.8333333333333334,0.20743906125426292
mlp,0.19047619047619047,0.8333333333333334,0.16737199559186897
mlp,0.19047619047619047,0.8571428571428571,0.14884161793937287
mlp,0.42857142857142855,0.8571428571428571,0.11643530769894521
mlp,0.42857142857142855,0.9047619047619048,0.11190322786569595
mlp,0.47619047619047616,0.9047619047619048,0.09350077955362697
mlp,0.47619047619047616,0.9523809523809523,0.09037922838858019
mlp,0.6666666666666666,0.9523809523809523,0.03699890481463323
mlp,0.6666666666666666,0.9761904761904762,0.0324982088447238
mlp,0.8571428571428571,0.9761904761904762,0.01027544184277455
mlp,0.8571428571428571,1.0,0.008462533330506025
mlp,1.0,1.0,0.0011000716828372485
