method,fpr,tpr,threshold
nnls,0.0,0.0,inf
nnls,0.0,0.07142857142857142,0.9999999999989994
nnls,0.0,0.7857142857142857,0.08395059922198413
nnls,0.5714285714285714,0.7857142857142857,0.02854314719293241
nnls,0.5714285714285714,0.8571428571428571,0.005467619780268068
nnls,0.7142857142857143,0.8571428571428571,0.0034094766465473155
nnls,0.7142857142857143,0.9285714285714286,0.0019376715636290542
nnls,1.0,1.0,0.0
pls,0.0,0.0,inf
pls,0.0,0.07142857142857142,0.6869697848195228
pls,0.0,0.7857142857142857,0.29332880797812605
pls,0.14285714285714285,0.7857142857142857,0.211989768457995
pls,0.14285714285714285,0.9285714285714286,0.20336576617938726
pls,0.7142857142857143,0.9285714285714286,0.12741700943675768
pls,0.7142857142857143,1.0,0.11329137596494489
pls,1.0,1.0,0.009168820045786237
