bucket_total_uM,method,n_maps,n_components,median_recovery_pct,mean_recovery_pct,rec_80_120_pct,rec_50_150_pct,within_2x_pct,mae_uM,rmse_uM,rmse_log10,median_fold_error_x,euclid_mean_uM,euclid_median_uM,loglog_slope,loglog_intercept,loglog_r2
<=30,pure_calibration,29,87,36.2131,54.4847,9.1954,24.1379,26.4368,5.7330,10.6963,0.5665,2.8588,12.9452,11.2203,0.5995,-0.1258,0.1749
<=30,residual,29,87,112.2237,133.7070,26.4368,68.9655,80.4598,3.3228,5.1551,0.2444,1.4246,6.8022,6.1988,0.4939,0.4464,0.3153
<=30,residual_cap,29,87,112.2237,131.7384,26.4368,70.1149,81.6092,3.0332,4.1228,0.2394,1.4175,6.1768,6.1988,0.4742,0.4576,0.3183
<=30,known_total,29,87,103.6669,116.5273,48.2759,82.7586,91.9540,1.8322,2.5190,0.1623,1.2504,3.5519,3.2161,0.6385,0.3125,0.6501
<=100,pure_calibration,64,192,36.8683,64.7856,10.4167,25.5208,29.1667,8.8062,14.2378,0.5920,2.8548,19.1309,14.9390,0.7488,-0.1774,0.2667
<=100,residual,64,192,104.2324,120.0446,31.7708,67.7083,78.1250,5.0075,7.4962,0.2627,1.4572,10.4840,8.3348,0.5674,0.4033,0.4327
<=100,residual_cap,64,192,104.2324,118.8944,31.7708,68.7500,79.1667,4.8143,6.9597,0.2599,1.4464,10.0305,8.3348,0.5622,0.4058,0.4384
<=100,known_total,64,192,104.4812,117.5740,41.1458,78.6458,90.6250,3.1166,4.3478,0.1807,1.2750,6.0389,4.7423,0.7071,0.3042,0.7211
<=500,pure_calibration,76,216,35.2608,60.5857,9.2593,23.1481,27.3148,19.6068,45.4811,0.7437,2.9248,43.7289,17.6517,0.4735,0.0481,0.1733
<=500,residual,76,216,99.7764,117.4647,28.7037,63.8889,74.0741,16.0318,49.9172,0.3013,1.4920,38.1310,10.1328,0.6722,0.3185,0.6032
<=500,residual_cap,76,216,99.7764,114.6532,29.1667,66.2037,75.9259,12.4828,33.3272,0.2955,1.4778,29.1767,9.9167,0.6489,0.3368,0.6144
<=500,known_total,76,216,103.9712,117.9350,37.9630,75.0000,87.5000,9.8835,25.4920,0.2025,1.3239,21.1989,6.0950,0.8105,0.2231,0.8188
all,pure_calibration,89,246,30.9623,55.5664,8.5366,20.7317,24.7967,51.6176,123.8443,0.9385,3.3860,109.7934,21.4466,0.3520,0.1528,0.1329
all,residual,89,246,91.8757,109.2023,28.0488,61.3821,70.3252,38.0188,103.8538,0.4008,1.5010,86.2969,12.1329,0.6147,0.3718,0.6168
all,residual_cap,89,246,91.8757,106.7336,28.4553,63.4146,71.9512,34.9026,97.8417,0.3970,1.4918,78.6505,12.1021,0.6053,0.3778,0.6278
all,known_total,89,246,103.5576,118.4008,36.9919,72.3577,84.5528,26.2076,67.5216,0.2589,1.3541,53.6849,7.3622,0.8473,0.1913,0.8317
