frac,n_conditions,rep,model,dev_pp
0.15,13,0,mlp,21.051
0.15,13,0,pls,19.44
0.15,13,1,mlp,24.959
0.15,13,1,pls,22.227
0.15,13,2,mlp,23.862
0.15,13,2,pls,22.749
0.3,26,0,mlp,20.025
0.3,26,0,pls,19.103
0.3,26,1,mlp,21.342
0.3,26,1,pls,20.342
0.3,26,2,mlp,21.57
0.3,26,2,pls,18.907
0.45,40,0,mlp,20.475
0.45,40,0,pls,17.626
0.45,40,1,mlp,20.838
0.45,40,1,pls,17.707
0.45,40,2,mlp,21.897
0.45,40,2,pls,17.436
0.6,53,0,mlp,19.082
0.6,53,0,pls,16.742
0.6,53,1,mlp,19.321
0.6,53,1,pls,16.591
0.6,53,2,mlp,21.714
0.6,53,2,pls,17.049
0.75,66,0,mlp,18.822
0.75,66,0,pls,16.039
0.75,66,1,mlp,17.945
0.75,66,1,pls,15.644
0.75,66,2,mlp,19.759
0.75,66,2,pls,16.004
0.9,80,0,mlp,17.904
0.9,80,0,pls,15.439
0.9,80,1,mlp,18.616
0.9,80,1,pls,16.101
0.9,80,2,mlp,19.1
0.9,80,2,pls,15.338
1.0,89,0,mlp,17.485
1.0,89,0,pls,15.259
