name,hidden,act,drop,beta,prior,wd,lr,epochs,ensemble,within_2x_pct,within_1_5x_pct,within_1_25x_pct,mae_uM,rmse_log2,median_recovery_pct,pearson_r
DL05,"(32, 16)",gelu,0.1,0.25,0.01,0.01,0.003,400,5,93.22916666666666,73.4375,47.39583333333333,2.887796039881387,0.5427616381604307,99.18086020832224,0.8721860670194651
DL07,"(32, 16)",relu,0.1,0.5,0.01,0.01,0.003,400,5,92.70833333333334,70.83333333333334,47.39583333333333,3.049792480414851,0.5645411901715551,97.14558798564718,0.8363446901505002
DL06,"(64, 32, 16)",gelu,0.15,0.25,0.02,0.02,0.003,400,5,92.1875,73.95833333333334,47.39583333333333,2.8304799769733733,0.5478727553844949,98.11834243916972,0.8695585481652195
DL08,"(64, 32)",relu,0.2,0.5,0.02,0.02,0.003,400,5,91.66666666666666,70.3125,46.35416666666667,3.130056409165689,0.5746518641301195,97.46759571558144,0.8291576085389472
DL02,"(32, 16)",tanh,0.1,0.25,0.02,0.02,0.003,400,5,90.625,67.1875,38.02083333333333,3.5997107206477494,0.6292412681855386,102.6696289348366,0.8120302788657495
DL11,"(64, 32)",gelu,0.1,1.0,0.005,0.05,0.003,400,5,89.58333333333334,72.91666666666666,47.39583333333333,2.8104334617526945,0.5612591873584393,98.58691894698498,0.8728466874634636
DL04,"(64, 32)",tanh,0.15,0.25,0.02,0.02,0.003,400,5,89.58333333333334,65.625,38.54166666666667,3.4517291205886385,0.6264926548618573,100.05113742917726,0.8207481104285902
DL03,"(32, 16, 8)",tanh,0.1,0.25,0.01,0.01,0.003,400,5,89.0625,66.66666666666666,39.0625,3.452218263072113,0.6358172781412229,99.28422802957977,0.8209868069357001
DL12,"(16,)",tanh,0.1,0.25,0.05,0.05,0.003,400,5,89.0625,66.14583333333334,38.02083333333333,3.5523718853490593,0.6278577731087082,100.72569775353755,0.8042053686465372
DL01,"(16, 8)",tanh,0.1,0.25,0.02,0.02,0.003,400,5,88.02083333333334,67.1875,43.22916666666667,3.4468800453418837,0.6292025901902584,99.0474491730546,0.8172798311955555
DL09,"(16, 8)",tanh,0,0.5,0,0.01,0.003,400,5,83.85416666666666,60.9375,34.375,4.2753990107222,0.7407560448775533,103.03521332094046,0.7371654686529604
DL10,"(32, 16)",tanh,0,1.0,0.005,0.02,0.003,400,5,83.33333333333334,57.8125,31.770833333333332,4.521586852334793,0.7498271454068578,103.69799541229192,0.7463019743516897
