model,subset,n_components,mean_recovery_pct,median_recovery_pct,q1_recovery_pct,q3_recovery_pct,within80_120_pct,mae_uM,rmse_log2,median_fold_error,euclidean_mean_uM,euclidean_median_uM,pearson_r,spearman_rho,ccc
Ridge,binary,42.0,128.19267698587458,96.98569356039539,38.28316325019338,165.03352288004513,11.904761904761903,155.65402042671607,1.5497533244305228,2.2324957569139987,252.77672658840044,166.39838016095632,0.28908183479229127,0.3108143411776473,0.28054794990442805
Ridge,ternary,213.0,142.08568353814255,117.95374067744007,83.97017846306177,181.22401689840385,29.107981220657276,14.440588634259054,0.8944626788858464,1.4682254329257904,30.313470412061704,8.313707387359193,0.7200332998087688,0.8109872202373135,0.5988654864482013
Ridge,all,255.0,139.79742363541607,113.88966458885037,79.17698020399183,178.67788282160464,26.27450980392157,37.69927151772256,1.0314398986822666,1.5017335708148256,81.09312671318249,11.183067295001191,0.5952661011192872,0.8760800346710916,0.5807322424610063
PLS5,binary,42.0,153.61693022872188,101.64452509931454,40.960868356269025,218.36329343849442,19.047619047619047,169.71588194375965,1.5876469378877889,2.42366758442876,278.26760168318225,200.86887487819502,0.23762396717729764,0.30978515461745637,0.235734402788364
PLS5,ternary,213.0,137.4986797740163,115.66119460179185,76.88206764716521,178.079313339153,28.638497652582164,14.716642399653919,0.8917347222073393,1.4867832459198425,31.096054350900168,8.86779483332281,0.7272890620250716,0.7963915021403887,0.6103999795923809
PLS5,all,255.0,140.15345043714427,112.8317449505981,74.1112116725499,178.76414113006604,27.058823529411764,40.24592891280074,1.038931957470164,1.5405914712016302,87.51564667674715,11.493789724426993,0.5795252959999441,0.8665209128205669,0.5749861137462954
RandomForest,binary,42.0,101.15517162893597,68.26833956371712,29.411357352512585,141.79103241468331,16.666666666666664,151.70292633999293,1.6386290611804657,2.607726744535432,252.620757154547,193.78754959762531,0.26988623803363415,0.39263467271282265,0.19226723541941015
RandomForest,ternary,213.0,164.5162011833532,117.77166431792114,84.25569131928931,179.8676951868645,31.455399061032864,15.217549264203694,1.0528263836480236,1.4824084960877613,31.042596783425786,8.195873173584577,0.7310555870611772,0.7325910134588085,0.5980036752892105
RandomForest,all,255.0,154.0802669038021,112.83424895208624,79.28725832495932,173.02594043762863,29.01960784313726,37.697493723745445,1.1696704100050332,1.5467144917419329,81.62022034639911,11.30105111265944,0.6407977100221158,0.8119409135752395,0.5270873526586337
ExtraTrees,binary,42.0,119.25027219874012,80.67094565728209,28.206140414249514,155.12491663196656,23.809523809523807,157.49304366922277,1.6018231904084417,2.2754145222519804,259.7190667191483,213.72416883249335,0.1864108616288907,0.3514672103051873,0.1480492043373138
ExtraTrees,ternary,213.0,141.8735759216665,117.01473101050728,82.60766720804463,172.32820230720975,30.046948356807512,13.84182150102533,0.8927365107683818,1.434831570665952,28.854668511814236,7.717348855271693,0.7502035306461625,0.8046828768837162,0.6239885668364159
ExtraTrees,all,255.0,138.14738472024334,110.71524691530222,78.05716641067963,167.4910746079675,29.01960784313726,37.502022799316684,1.0432257517820622,1.4777804404757482,81.55197679827091,10.280434535405604,0.6144682239037611,0.8608052513617557,0.535556781904328
HistGradientBoosting,binary,42.0,140.18855580271543,80.29200390883028,32.53127592530499,188.01327707398343,16.666666666666664,164.9441310442826,1.6988917378372466,2.2886047837195047,268.47555417471295,226.87426068102118,0.12544995785157892,0.28096793093211164,0.10885667628953027
HistGradientBoosting,ternary,213.0,156.22207502549082,115.52122194159232,81.14272207959941,174.96979631013176,30.046948356807512,14.166761330028935,1.00167472374357,1.4614579609726546,28.759769373453715,8.119025655019966,0.7975557096771398,0.7345494407498382,0.6762982672923213
HistGradientBoosting,all,255.0,153.58126009468077,108.9014962521839,75.04161568144201,177.2136941783678,27.84313725490196,39.00068104767072,1.146068850317277,1.5696497592501242,83.47750286069765,12.69806310610235,0.6012546456508909,0.8179031200305408,0.5496533264003344
MLP_32_16,binary,42.0,19.865031435129104,3.9486691528478848,0.841414441932826,15.571522330282026,0.0,203.21005209993604,5.7696930462808975,25.343709203621376,334.1230733784499,244.38267748965367,0.1830500686186039,0.3329418522217513,0.04089922450000718
MLP_32_16,ternary,213.0,95.70274566255502,61.537131442824176,16.38611788789784,133.32149505079218,10.328638497652582,22.157929265451074,2.6891921361944644,2.399798942240785,43.24073362894728,13.977870397289564,0.3562112602951339,0.43355041706405206,0.14765295748558313
MLP_32_16,all,255.0,83.21182802509665,46.18607410207572,8.723888335670432,122.18571444416466,8.627450980392156,51.978278908778016,3.3946420904601493,3.013890127642775,109.63778944133375,17.47132954274845,0.3261682886825885,0.3403102411152075,0.10745059152064865
