component,diagnostic_band_cm_1,concentration_uM,log10_concentration,mean_intensity_au,sd_intensity_au,in_selected_linear_range_1_to_100_uM
TBZ,1270,0.1,-1,891.227,41.78908,0
DQ,1570,0.1,-1,3194.96925,435.48431,0
THI,1367,0.1,-1,939.31277,488.82545,0
TBZ,1270,0.5,-0.3010299956639812,1037.4672,192.61986,0
DQ,1570,0.5,-0.3010299956639812,3474.52651,592.33939,0
THI,1367,0.5,-0.3010299956639812,644.5133,267.74897,0
TBZ,1270,1,0,1016.49119,222.74361,1
DQ,1570,1,0,3543.76205,1021.45,1
THI,1367,1,0,924.93707,184.55535,1
TBZ,1270,5,0.6989700043360189,2004.08258,238.42462,1
DQ,1570,5,0.6989700043360189,5059.95524,1325.31568,1
THI,1367,5,0.6989700043360189,3878.15478,1589.20373,1
TBZ,1270,10,1,2478.36658,482.65537,1
DQ,1570,10,1,6636.55447,417.27348,1
THI,1367,10,1,5129.26075,1193.70204,1
TBZ,1270,18,1.255272505103306,5928.96825,274.96572,1
DQ,1570,18,1.255272505103306,7878.51084,718.70429,1
THI,1367,18,1.255272505103306,7010.60222,1432.07219,1
TBZ,1270,36,1.5563025007672873,6859.68989,307.23183,1
DQ,1570,36,1.5563025007672873,8263.86186,760.70235,1
THI,1367,36,1.5563025007672873,7589.35252,1298.32897,1
TBZ,1270,72,1.8573324964312685,7951.85567,765.58265,1
DQ,1570,72,1.8573324964312685,11509.23332,487.97759,1
THI,1367,72,1.8573324964312685,10113.65884,1597.37439,1
TBZ,1270,144,2.1583624920952498,9682.71612,817.40976,0
DQ,1570,144,2.1583624920952498,12159.87529,615.8411,0
THI,1367,144,2.1583624920952498,15025.50236,2122.04289,0
TBZ,1270,500,2.6989700043360187,10292.00139,902.11716,0
DQ,1570,500,2.6989700043360187,15988.19783,1714.52845,0
THI,1367,500,2.6989700043360187,17371.61645,2239.07943,0
