condition,regime,pair,component,DQ_uM,TBZ_uM,THI_uM,nominal_component_uM,apparent_single_calibration_uM,effective_response_factor_Q,log10_effective_response_factor
DQ12-TB12-TH6,low_ternary_64,DQ-TBZ-THI,DQ,12,12,6,12,6.771076088656801,0.5642563407214001,-0.2485235519226098
DQ12-TB12-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,12,12,6,12,2.0849901208061836,0.17374917673384863,-0.7600772445265894
DQ12-TB12-TH6,low_ternary_64,DQ-TBZ-THI,THI,12,12,6,6,5.1070340570288275,0.8511723428381379,-0.06998249636002594
DQ12-TB6-TH3,low_ternary_64,DQ-TBZ-THI,DQ,12,6,3,12,1.011386364466961,0.08428219703891342,-1.074264151879313
DQ12-TB6-TH3,low_ternary_64,DQ-TBZ-THI,TBZ,12,6,3,6,1.3595743424236295,0.22659572373727158,-0.6447482903015268
DQ12-TB6-TH3,low_ternary_64,DQ-TBZ-THI,THI,12,6,3,3,0.9167464364309285,0.30558214547697615,-0.5148720242696145
DQ24-TB6-TH12,low_ternary_64,DQ-TBZ-THI,DQ,24,6,12,24,7.176297152208716,0.29901238134202984,-0.5243108282735852
DQ24-TB6-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,24,6,12,6,1.022833487799188,0.17047224796653135,-0.7683463118972417
DQ24-TB6-TH12,low_ternary_64,DQ-TBZ-THI,THI,24,6,12,12,14.585695925094926,1.2154746604245772,0.08474590933115164
DQ24-TB6-TH3,low_ternary_64,DQ-TBZ-THI,DQ,24,6,3,24,8.346576784471347,0.34777403268630613,-0.45870284867621847
DQ24-TB6-TH3,low_ternary_64,DQ-TBZ-THI,TBZ,24,6,3,6,1.4481113081483603,0.24135188469139338,-0.6173493054722774
DQ24-TB6-TH3,low_ternary_64,DQ-TBZ-THI,THI,24,6,3,3,2.3757497880543643,0.7919165960181215,-0.10132055552725007
DQ250-TB50-TH0,high_binary_21,DQ-TBZ,DQ,250,50,0,250,3.3200958146958617,0.013280383258783448,-1.8767893914760572
DQ250-TB50-TH0,high_binary_21,DQ-TBZ,TBZ,250,50,0,50,4.364236103694405,0.0872847220738881,-1.059061766599839
DQ3-TB12-TH24,low_ternary_64,DQ-TBZ-THI,DQ,3,12,24,3,1.1885867904209315,0.3961955968069772,-0.4020903553826781
DQ3-TB12-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,3,12,24,12,0.9960290679838353,0.08300242233198628,-1.0809092330448413
DQ3-TB12-TH24,low_ternary_64,DQ-TBZ-THI,THI,3,12,24,24,23.143558978148466,0.9643149574228528,-0.01578109687454119
DQ3-TB24-TH12,low_ternary_64,DQ-TBZ-THI,DQ,3,24,12,3,9.323165923456603,3.1077219744855342,0.49244215866565577
DQ3-TB24-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,3,24,12,24,12.629441451377724,0.5262267271407385,-0.2788270978030284
DQ3-TB24-TH12,low_ternary_64,DQ-TBZ-THI,THI,3,24,12,12,4.538694253762157,0.3782245211468464,-0.42225031828964216
DQ3-TB24-TH24,low_ternary_64,DQ-TBZ-THI,DQ,3,24,24,3,2.7653006895497905,0.9217668965165968,-0.035378892781606636
